IC1::time,IC1::x1,
0.00000E+000,2.0480300000E+004,
1.00000E+000,2.0582701500E+004,
2.00000E+000,2.0685615007E+004,
3.00000E+000,2.0789043083E+004,
4.00000E+000,2.0892988298E+004,
5.00000E+000,2.0997453239E+004,
6.00000E+000,2.1102440506E+004,
7.00000E+000,2.1207952708E+004,
8.00000E+000,2.1313992472E+004,
9.00000E+000,2.1420562434E+004,
1.00000E+001,2.1527665246E+004,
1.10000E+001,2.1635303572E+004,
1.20000E+001,2.1743480090E+004,
1.30000E+001,2.1852197491E+004,
1.40000E+001,2.1961458478E+004,
1.50000E+001,2.2071265771E+004,
1.60000E+001,2.2181622099E+004,
1.70000E+001,2.2292530210E+004,
1.80000E+001,2.2403992861E+004,
1.90000E+001,2.2516012825E+004,
2.00000E+001,2.2628592889E+004,
