Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Digital ID	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Acto patriótico cubano en conmemoración del Grito de Baire	Cuban patriotic commemoration of the Grito de Baire	Agrupación Abdala			Written on verso: "Gainesville, FL, ca. 1972."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1972	1970-1980	Gainesville (Florida)	1 color poster; 35.5 x 21.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000030001001	Image					image/tiff	131603264 Bytes	5163	8495	3904592545	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000030001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/0	0	4.jp2	/chc5143/image/4.jp2
Boniato, Cuba '75. Massacre		Agrupación Abdala			Written on verso: "Artist, Luis Fernández-Puente. Elizabeth, NJ, 1975."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1975	1970-1980	Elizabeth (New Jersey)	1 color poster; 56 x 42 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000110001001	Image					image/tiff	105448200 Bytes	5223	6728	309187935	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000110001001.tif		2010-03-03	2012-11-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/1	1	9.jp2	/chc5143/image/9.jp2
3er Congreso Nacional, Agosto 2-5, 1973	Third National Congress, August 2-5, 1973	Agrupación Abdala			Written on verso: "1973."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1973	1970-1980	United States	1 color poster; 28 x 21.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000090001001	Image					image/tiff	104152556 Bytes	5196	6680	191792241	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000090001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/2	2	6.jp2	/chc5143/image/6.jp2
2do Congreso Nacional Abdala, Agosto 3-6.	Second National Congress of Abdala, August 3-6.	Agrupación Abdala			Written on verso: "1972"	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1972	1970-1980	United States	1 color poster; 91 x 60 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000040001001	Image					image/tiff	243761976 Bytes	7402	10976	275122576	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000040001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/3	3	10.jp2	/chc5143/image/10.jp2
A Cuba, con el fusil en la mano	To Cuba, with gun in hand	Agrupación Abdala			Written on verso: "Artist, Luis Fernández-Puente, 1970? Hand colored poster."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1970	1970-1980	United States	1 color poster; 28 x 21.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000020001001	Image					image/tiff	104417600 Bytes	5203	6688	4019131875	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000020001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/4	4	3.jp2	/chc5143/image/3.jp2
Luis Crespo, un año de martirio, preso y mutilado por luchar por Cuba, apoyarlo es deber	Luis Crespo, one year of martyrdom, imprisoned and maimed by fighting for Cuba's support duty	Agrupación Abdala			Written on verso: "New Jersey, 1974."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1974	1970-1980	New Jersey	1 b&w poster; 43 x 28 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000100001001	Image					image/tiff	200614900 Bytes	6585	10154	3785624036	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000100001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/5	5	5.jp2	/chc5143/image/5.jp2
Cubano, por la libertad marcha a Washington, 20 de Mayo, 1972	Cuban freedom march to Washington, May 20, 1972	Agrupación Abdala			Written on verso: "New Jersey, 1972."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1972	1970-1980	New Jersey	1 b&w poster; 28 x 21.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000050001001	Image					image/tiff	104041056 Bytes	5192	6678	2557304391	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000050001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/6	6	7.jp2	/chc5143/image/7.jp2
Agosto 2-5, Congreso Nacional 1973 Abdala III	Third National Congress of Abdala, August 2-5, 1973	Agrupación Abdala			Written on verso: "Design by Luis Fernández-Puente. Poster Conmemorativo. Limited edition, 1973."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1973	1970-1980	United States	1 color poster; 87 x 58 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000070001001	Image					image/tiff	217392688 Bytes	7006	10342	356807756	RGB	8 Bits Per Pixel	297 Pixels Per Inch	chc51430000070001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/7	7	2.jp2	/chc5143/image/2.jp2
Cubanos, con tres actos conmemorara "Abdala" el 27 de Noviembre	Cubans, commemorate Abdala with three acts on November 27	Agrupación Abdala			Written on verso: "Designer, Luis Fernández-Puente, New York, ca. 1973."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1973	1970-1980	New York (New York)	1 b&w poster; 42 x 28 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000080001001	Image					image/tiff	200250464 Bytes	6573	10154	153690359	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000080001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/8	8	8.jp2	/chc5143/image/8.jp2
Si necesitas ayuda en: matricula, orientación, ayuda financiera	If you need help in: enrollment, orientation, financial aid	Agrupación Abdala			Written on verso: "Queens College, New York, ca. 1967."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1967	1960-1970	New York (New York)	1 b&w poster; 35 x 21.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000010001001	Image					image/tiff	131313964 Bytes	5192	8429	739262571	RGB	8 Bits Per Pixel	600 Pixels Per Inch	chc51430000010001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/9	9	1.jp2	/chc5143/image/1.jp2
Un niño de su cariño me dió un beso tan sincero, que al morir si acaso muero, sentiré el beso del niño, José Martí	A child of its love gave me a kiss so sincere, when I die if I die, I will feel the kiss of the child, José Martí	Agrupación Abdala			Written on verso: "Chicago, IL, 1976. Reproduction of revista Areito, Ano II, number 4, Primavera 1976, on verso of title page.  For the fund raising of Abdala Chicago Delegation."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1976	1970-1980	Chicago (Illinois)	1 sepia poster; 39 x 44 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000120001001	Image					image/tiff	111527700 Bytes	5328	6976	2959781546	RGB	8 Bits Per Pixel	297 Pixels Per Inch	chc51430000120001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/10	10	30.jp2	/chc5143/image/30.jp2
Octubre 10, 1868/ Judith Acosta	October 10, 1868/ Judith Acosta	Agrupación Abdala			Written on verso: "1978?"	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1978	1970-1980	United States	1 b&w poster; 43 x 28 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000190001001	Image					image/tiff	53273116 Bytes	3388	5239	1666475262	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000190001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/11	11	34.jp2	/chc5143/image/34.jp2
Cuba: 28,000 fusilados. ¡Basta ya!	Cuba: 28,000 shot. Enough!	Agrupación Abdala				Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters				United States	1 color poster; 53.0 x 40.1 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000340001001	Image					image/tiff	93760012 Bytes	4888	6392	1921046949	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000340001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/12	12	23.jp2	/chc5143/image/23.jp2
En respaldo al "Dia de Lucha Nacional" en Polonia	In support the "National Day of Struggle" in Poland	Agrupación Abdala				Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1982	1980-1990	United States	1 b&w poster; 42.5 x 27.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000350001001	Image					image/tiff	53980204 Bytes	3462	5195	219823070	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000350001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/13	13	33.jp2	/chc5143/image/33.jp2
Agrupación Abdala XI Congreso Internacional. Julio 30 - Agosto 2, 1981	Eleventh International Congress of Abdala, July 30 - August 2, 1981	Agrupación Abdala				Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1981	1980-1990	United States	1 color poster; 76.4 x 55.0 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000300001001	Image					image/tiff	184257004 Bytes	6694	9174	3157035562	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000300001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/14	14	26.jp2	/chc5143/image/26.jp2
Abdala, XI Congreso Nacional, Julio 31-Agosto 2	Tenth National Congress of Abdala, July 31-August 2	Agrupación Abdala			Written on verso: "Designer, David Medina, Miami, FL, 1980."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1980	1980-1990	Miami (Florida)	1 b&w poster; 43 x 28 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000250001001	Image					image/tiff	52479208 Bytes	3369	5190	4046633874	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000250001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/15	15	27.jp2	/chc5143/image/27.jp2
Velada patriótica 126 aniversario del natalicio de José Martí	Patriotic evening, the 126 anniversary of the birth of José Martí	Agrupación Abdala			Written on verso: "Miami, FL, 1979"	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1979	1970-1980	Miami (Florida)	1 b&w poster; 27 x 20.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000220001001	Image					image/tiff	23896740 Bytes	2456	3240	3364451509	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000220001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/16	16	16.jp2	/chc5143/image/16.jp2
Diciembre 9, Día Internacional de los Derechos Humanos	December 9, International Day for Human Rights	Agrupación Abdala			Written on verso: "New Jersey, ca. 1976."	Anti-Communist movements -- United States; Political posters, Cuban; Student activities	Posters		1976	1970-1980	New Jersey	1 color poster; 46 x 31 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Agrupación Abdala Poster Collection	CHC5143						MJC			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc51430000140001001	Image					image/tiff	61090328 Bytes	3697	5506	1097494277	RGB	8 Bits Per Pixel	300 Pixels Per Inch	chc51430000140001001.tif		2010-03-03	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5143/id/17	17	22.jp2	/chc5143/image/22.jp2
