Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Program of the Fourth Annual Dancing Festival at Swastika						Munroe, Patty; Ballet programs	Programs		1926-03-20	1920-1930	Coconut Grove (Miami, Florida)	1 program	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000100001001	Image	0000-00-00	image/tiff				25657200 Bytes	2576	3320	4155644386	RGB	8 Bits Per Sample	300 Pixels Per Inch	asm04470000100001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/0	0	4.jp2	/asm0447/image/4.jp2
Ralph Middleton Munroe					Written on "Ralph Middleton Munroe"	Munroe, Ralph Middleton, 1851-1933	Portrait photographs					1 b&w photograph; 21.7 x 14.2			University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 3			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000020001001	Image	0000-00-00	image/tiff				53924040 Bytes	3470	5180	1118198135	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000020001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/1	1	9.jp2	/asm0447/image/9.jp2
Poem titled, "Sailing on Biscayne Bay"		DeGarmo, Charles			The author dedicated this poem to Commodore R. M. Munroe	Biscayne Bay (Florida); Poems; Poetry	Poetry					1 printed sheet	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000110001001	Image	0000-00-00	image/tiff				20339538 Bytes	2022	3353	356523566	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000110001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/2	2	6.jp2	/asm0447/image/6.jp2
Recipe of Yacht Club Chowder					Written on verso: "Alligator 1923", "Charlie ____ 1915", "Patty and ____ 1928"	Recipes	Recipes					1 printed sheet	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000090001001	Image	0000-00-00	image/tiff				25811760 Bytes	2576	3340	3169986186	RGB	8 Bits Per Sample	300 Pixels Per Inch	asm04470000090001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/3	3	10.jp2	/asm0447/image/10.jp2
Schedule of races at Biscayne Bay Yacht Club						Biscayne Bay, Florida; Yachting; Munroe, Patty; Munroe Wirth	Schedules (time plans)				Coconut Grove (Miami, Florida)	1 typewritten sheet	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000070001001	Image	0000-00-00	image/tiff				91593420 Bytes	5166	5910	1292749589	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000070001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/4	4	3.jp2	/asm0447/image/3.jp2
John S. Clapp telegram to Vincent Gilpin, regarding the printing of the book "The Commodore Story"					"The Commodore Story" is a biographical account of the life of Ralph M. Munroe	Munroe, Ralph Middleton, 1851-1933; Telegrams	Telegrams					1 typewritten sheet			University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000160001001	Image	0000-00-00	image/tiff				56867127 Bytes	4827	3927	3751605472	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000160001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/5	5	5.jp2	/asm0447/image/5.jp2
Receipt for the book "The Commodore Story", from the University Club of Philadelphia					Card addressed to Mr. Vincent Gilpin	Munroe, Ralph, 1851-1933	Postcards		1931-08-04	1930-1940	Philadelphia (Pennsylvania)	1 postcard	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000140001001	Image	0000-00-00	image/tiff				20418396 Bytes	3366	2022	985309636	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000140001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/6	6	7.jp2	/asm0447/image/7.jp2
Vincent Gilpin letter to Patty Munroe, June 15, 1931		Gilpin, Vincent		Gilpin talks about sale of "The Commodore's Story"; Patty Munroe visiting the Gilpins at Fairlee, Vermont; his dream about a sailboat; and about cameras	"The Commodore's Story" is a biographical account of the life of Ralph Munroe	Gilpin, Vincent; Munroe, Patty; Munroe, Ralph (1851-1933); Letters	Correspondence		1931-06-15	1930-1940		1 letter	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000190001001	Image	0000-00-00	image/tiff				100773168 Bytes	5088	6602	3286430624	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000190001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/7	7	2.jp2	/asm0447/image/2.jp2
Bob Graham letter to Mr. and Mrs. W. R. Catlow, Jr., August 28, 1979		Graham, Bob, 1936-		Letter from Governor Bob Graham to Mr. and Mrs. W. R. Catlow and Marilyn regarding the dedication of the Barnacle State Historical site.		Barnacle (Miami, Florida); Graham, Bob, 1936-; Letters	Correspondence		1979-08-28	1970-1980	Miami (Florida)	1 letter; 25.6 x 18.2 cm	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 3						http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000030001001	Image	0000-00-00	image/tiff				82789890 Bytes	4370	6315	3960476177	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000030001001.tif		2010-03-29	2012-03-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/8	8	8.jp2	/asm0447/image/8.jp2
Indian dugout in front of Peacock Inn docks					Written on verso: "Indian dugout in front of Peacock Inn docks, (Bay View House 1886)"	Dugout canoes; Miami (Florida); Piers	Photographs		1886	1880-1890	Miami (Florida)	1 photograph			University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html			asm04470000050001001	Image	0000-00-00	image/tiff				16513836 Bytes	2244	2453	4062016038	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000050001001.tif		2010-03-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/9	9	1.jp2	/asm0447/image/1.jp2
