Title	Creator	Contibutors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Rights	Copyright	Editor	Attention	Object No.	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Cover												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070001001	Text	image/tiff					3267	4247	0x9E508F1E			00150000070001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/57	57	58.jp2	/chc0015/image/58.jp2
Table of contents												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070002001	Text	image/tiff					3243	4180	0x3DFCAF54			00150000070002001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/58	58	59.jp2	/chc0015/image/59.jp2
Page [1]												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070003001	Text	image/tiff					3310	4235	0x4E22D5F7			00150000070003001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/59	59	60.jp2	/chc0015/image/60.jp2
Page 2												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070004001	Text	image/tiff					3294	4235	0xBFA9190C			00150000070004001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/60	60	61.jp2	/chc0015/image/61.jp2
Page 3												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070005001	Text	image/tiff					3281	4158	0xCEFA07DF			00150000070005001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/61	61	62.jp2	/chc0015/image/62.jp2
Page 4												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070006001	Text	image/tiff					3269	4180	0x19A4488D			00150000070006001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/62	62	63.jp2	/chc0015/image/63.jp2
Page 5												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070007001	Text	image/tiff					3281	4207	0x98653B1F			00150000070007001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/63	63	64.jp2	/chc0015/image/64.jp2
Page 6												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070008001	Text	image/tiff					3307	4158	0xBB08FC3E			00150000070008001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/64	64	65.jp2	/chc0015/image/65.jp2
Page 7												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070009001	Text	image/tiff					3258	4180	0x1E441C92			00150000070009001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/65	65	66.jp2	/chc0015/image/66.jp2
Page 8												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070010001	Text	image/tiff					3269	4180	0xBD9D282C			00150000070010001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/66	66	67.jp2	/chc0015/image/67.jp2
