Title	Translated Title	Movements Title	Uniform Title	Composer	Lyricist	Arranger	Performer	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sheet  1		Conga, Bembé and Guaguancó																																													2011-03-01	2011-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/3	3	4.pdfpage	/asm0038/image/4.pdfpage
Sheet  2																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/4	4	5.pdfpage	/asm0038/image/5.pdfpage
Sheet  3																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/5	5	6.pdfpage	/asm0038/image/6.pdfpage
Sheet  4																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/6	6	7.pdfpage	/asm0038/image/7.pdfpage
Sheet  5																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/7	7	8.pdfpage	/asm0038/image/8.pdfpage
Sheet  6																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/8	8	9.pdfpage	/asm0038/image/9.pdfpage
Sheet  7																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/9	9	10.pdfpage	/asm0038/image/10.pdfpage
Sheet  8																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/10	10	11.pdfpage	/asm0038/image/11.pdfpage
Sheet  9																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/11	11	12.pdfpage	/asm0038/image/12.pdfpage
Sheet  10																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/12	12	13.pdfpage	/asm0038/image/13.pdfpage
