Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spaital	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Orange tree filled with blossoms at the Bee Ranch				Photographic postcard of an orange tree filled with blossoms at the Bee Ranch in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "... [illegible]. Orange blossoms at the 'Bee Ranch' La Gloria, c. 1905"<br>On recto: "Orange ... [illegible] at Bee Ranch"	La Gloria Co.; Bee Ranch (Cuba); Orange trees; Oranges; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1905		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000250001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000250001001	image/tiff	244.076 KB	530	768	0x9A5656B6	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/45	45	70.jpg	/chc5209/image/70.jpg
Man with his daughter and granddaughters				A man wearing a suit and tie with his daughter, left, and granddaughters in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Pa and I and the kids"	Colonists; Families; La Gloria (Camagüey, Cuba); Cuba	Group photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000420001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000420001001	image/tiff	233.493 KB	784	768	0x53C52841	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/46	46	87.jpg	/chc5209/image/87.jpg
American colonists in La Gloria clearing a site for the school house				The land clearing crew posing for a photograph on the spot selected for the construction of the school house in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Colonists cleaning this site for the school house. La Gloria Dec, 1904"	La Gloria Co.; Colonists; Clearing of land;  Schools; La Gloria (Camagüey, Cuba); Cuba	Group photographs		1904	1904		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000440001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000440001001	image/tiff	437.528 KB	983	768	0x2A8F0FE6	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/47	47	89.jpg	/chc5209/image/89.jpg
Augustus C. Mayhew with two men				Augustus C. Mayhew, left, with two unidentified men in front of a dwelling at the Bee Ranch, in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Augustus C. (26 yrs old). Bee Ranch c. 1905"	Mayhew, Augustus C., b. 1879;  Bee Ranch (Cuba); Dwellings; La Gloria (Camagüey, Cuba); Cuba	Group photographs			1905		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000450001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000450001001	image/tiff	471.273 KB	985	768	0x7676F9B2	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/48	48	90.jpg	/chc5209/image/90.jpg
Man on a ladder				View of a man on a ladder with a bag around his shoulders picking oranges in the American colony of La Gloria in the province of Camagüey, Cuba		La Gloria Co.; Colonists; Orange trees; La Gloria (Camagüey, Cuba); Cuba	Photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000380001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000380001001	image/tiff	147.835 KB	514	768	0xE93C5F1E	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/49	49	83.jpg	/chc5209/image/83.jpg
Sawmill in the American colony of La Gloria				Photographic postcard of the sawmill in the American colony of La Gloria, in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Old Sawmill hill"<br>On recto: "Sawmill 1903"	La Gloria  Co.; Colonists; Woodcutting; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;		1903	1903		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000090001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000090001001	image/tiff	429.887 KB	1023	665	0x4261F6A8	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/50	50	54.jpg	/chc5209/image/54.jpg
Augustus C. Mayhew, owner of the Bee Ranch				Photographic postcard of Augustus Mayhew, owner of the Bee Ranch in the American colony of La Gloria in the province of Camagüey, Cuba. He is standing next to a citrus tree	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Augustus C. Mayhew, La Gloria c. 1915"	Mayhew, Augustus C., b. 1879;  Bee Ranch (Cuba); La Gloria Co.; Colonists; Trees; Citrus fruit; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards			1915		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000280001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000280001001	image/tiff	455.776 KB	1022	650	0x11A660B3	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/51	51	73.jpg	/chc5209/image/73.jpg
J.C. Francis store owned by the McAbee family				Photographic postcard of the J.C. Francis store owned by the McAbee family, located in the American colony of La Gloria in the province of Camagüey, Cuba. There are people standing outside the store	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "J.C. Francis store, La Gloria, located on Central Ave, the store was owned by the McAbees. Augustus C. Mayhew married Beulah McAbee c. 1915"	La Gloria Co.; J. C. Francis (Store : La Gloria, Cuba); Stores & shops; Colonists; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000030001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000030001001	image/tiff	344.26 KB	1022	648	0xD53044D8	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/52	52	48.jpg	/chc5209/image/48.jpg
Augustus C. Mayhew with his wife and children				Augustus C. Mayhew, right, with his wife Beulah, and their children Lucille, left, William, and Augustus C. Jr,. at their barn in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "La Gloria, 1928.  Mayhew barn. Augustus and Beulah Mayhew with their children Lucille, William and Augustus C. Jr."<br>On recto: "Mayhew barn"	Mayhew, Augustus, b. 1879; Mayhew, Beulah McAbee; Mayhew, Lucille; Mayhew, William; Mayhew, Augustus C. Jr.; Colonists; Barns; Families; La Gloria (Camagüey, Cuba); Cuba	Group photographs		1928	1928		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000320001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000320001001	image/tiff	218.224 KB	1023	619	0xC5C0D9B6	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/53	53	77.jpg	/chc5209/image/77.jpg
Three children in front of a house				View of three children of American colonists of La Gloria in front of a house with a covered porch	Notation on verso: " ...[illegible]"<br>Stamp (mark) on verso: "B 180"	Colonists; Children; Houses; La Gloria (Camagüey, Cuba); Cuba	Photographs; Group photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000340001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000340001001	image/tiff	233.235 KB	1023	736	0x1427A925	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/54	54	79.jpg	/chc5209/image/79.jpg
