Title	Translated Title	Watch Video	Speakers	Host	Summary	Note	Subjects	Genre	Publisher	Date	Physical Description	Language	Full Text	Web Site	Repository	Collection Title	Collection No.	Series	Container	Program	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Date Digital	Type	Format	Original Source	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Orisha Aesthetics			Maldonado, Michelle González	University of Miami Libraries. Cuban Heritage Collection.		Lecture was co-sponsored by the Tribal Arts Society	Maldonado, Michelle González; Santeria; Orishas; Orichas	Public speaking		2009-09-23	1 streaming video (46:25 min.)	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000007			Moving Image; Text	video/mp4		0.url		2012-09-04	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/11	11		
Program													THE GEORGETOWN CLUB OF MIAMI  ANNUAL VISITING PROFESSOR LECTURE  Thursday, March 3rd, 2011  Reception at 6:00 p.m. Lecture and Q&A session at 7:00 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library 1300 Memorial Drive (Second Floor), Coral Gables Seating is limited. RSVP by February 28 to 305-284-4900 or chc@miami.edu.  Many of the Cuban-American literary writers who have risen to national and even international prominence since the nineties grew up outside of the island and often outside of the diaspora’s epicenter in South Florida as well. Dr. Ortíz will explore this phenomenon of dislocation and whether it impacts any claim that Cuban-American literature might have of representing the Cuban-American experience. Dr. Ortíz will also address how the Cuban-American experience and its cultural representation might evolve as Miami’s Latino population becomes more diversified and as more Cuban-Americans settle well beyond the boundaries of the enclave.  Dr. Ricardo Ortíz is Associate Professor in the English Department at Georgetown University. He is the author of Testimonial Fictions: the Post-Dictatorship Mode in US Latino Literature and Culture (forthcoming) and Cultural Erotics in Cuban America (University of Minnesota Press, 2007).  University of Miami Co-Sponsors  Cuban Heritage Collection, University of Miami Libraries  Center for Latin American Studies  Creative Writing Program, Department of English  Hemispheric Studies Research Group, Center for the Humanities  Department of Modern Languages and Literatures  RICARDO ORTÍZ, PH.D.  Cuban-American Literature  and the Cuban-American Experience														chc5229000011	chc52290000110001001			application/pdf		chc5229000011.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/13	13	19.pdf	/chc5229/image/19.pdf
Cuban-American Literature and the Cuban-American Experience			Ortiz, Ricardo	University of Miami Libraries. Cuban Heritage Collection.		Dr. Ricardo Ortíz is Associate Professor in the English Department at Georgetown University. He is the author of Testimonial Fictions: the Post-Dictatorship Mode in US Latino Literature and Culture (forthcoming) and Cultural Erotics in Cuban America (University of Minnesota Press, 2007).	Ortiz, Ricardo L.; Cuban Americans -- Cultural assimilation	Public speaking		2011-03-03	1 streaming video (42:43 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000011			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/15	15	21.cpd	/chc5229/image/21.cpd
Program													Monday, November 22, 2010  Reception at 6:00 p.m. and lecture at 6:30 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library 1300 Memorial Drive (Second Floor), Coral Gables  This presentation provides an overview of the afrocubanismo movement, a pan-artistic phenomenon in the 1920s and 1930s, similar to the Harlem Renaissance. Dr. Moore explores the fundamentally ambivalent attitudes about Afro-Cuban culture associated with the period, and the ways in which composers created highly stylized and often stereotyped representations of working-class Afro-Cuban music for circulation in the concert hall and commercial marketplace.  Dr. Robin Moore is Professor of Ethnomusicology at the University of Texas at Austin. He is the author of Nationalizing Blackness: Afrocubanismo and Artistic Revolution in Havana, 1920–1940 (University of Pittsburgh Press, 1997) and Music of the Hispanic Caribbean (Oxford Press, 2010). He is currently editor of the Latin American Music Review.  RSVP to chc@miami.edu or 305-284-4900  A Lecture by Dr. Robin Moore  University of Texas at Austin  THE CONTRADICTIONS OF AFROCUBANISMO NATIONALISM  Sponsored by  Department of Musicology, Frost School of Music  Cuban Heritage Collection, University of Miami Libraries  Institute for Cuban and Cuban-American Studies  Center for Latin American Studies  Funded in part by The Goizueta Foundation  Header image from the Tom Pohrt Photograph Collection 														chc5229000010	chc52290000100001001			application/pdf		chc5229000010.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/16	16	22.pdf	/chc5229/image/22.pdf
The Contradictions of Afrocubanismo Nationalism			Moore, Robin	University of Miami Libraries. Cuban Heritage Collection.		Dr. Robin Moore is Professor of Ethnomusicology at the University of Texas at Austin. He is the author of Nationalizing Blackness: Afrocubanismo and Artistic Revolution in Havana, 1920–1940 (University of Pittsburgh Press, 1997) and Music of the Hispanic Caribbean (Oxford Press, 2010). He is currently editor of the Latin American Music Review.	Ethnomusicology; Moore, Robin, 1964-	Public speaking		2010-11-22	1 streaming video (59:32 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000010			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/18	18	24.cpd	/chc5229/image/24.cpd
Program													The Cuban Heritage Collection y el Instituto Cultural René Ariza (ICRA)  invitan a la entrega de los  Premios René Ariza 2010  que otorga el ICRA a los dramaturgos  Raul de Cárdenas y Héctor Santiago  y la actriz y productora  Magali Boix  Jueves, 18 de noviembre de 2010  6:00 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library  1300 Memorial Drive, 2º piso, Coral Gables, Florida  El Instituto Cultural René Ariza tiene como misión fundamental promover el arte y el teatro cubano fuera de la isla. Creados en 2005, los “Premios René Ariza” están destinados a reconocer la trayectoria de destacadas personalidades que han dejado una huella en nuestra cultura. Los ganadores del “Premio René Ariza 2010” realzan la dramaturgia y el teatro cubano en el exilio con sus obras y su trayectoria sobre las tablas.  RSVP al 305-284-4900 ó chc@miami.edu antes del viernes, 12 de noviembre 														chc5229000009	chc52290000090001001			application/pdf		chc5229000009.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/22	22	28.pdf	/chc5229/image/28.pdf
2010 "Premios René Ariza"	2010 René Ariza Awards			University of Miami Libraries. Cuban Heritage Collection.		CHC and the Instituto Cultural René Ariza presented the 2010 “Premios René Ariza,” awarded this year to playwrights Raul de Cárdenas and Héctor Santiago, and actress Magali Boix. 	Ariza, René, 1940- ; Theater -- Cuba; Theater Awards; Cuban Heritage Collection	Public speaking		2010-11-18	1 streaming video (01:13:50 hr.); 1 PDF, 1 page	spa			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000009			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/24	24	30.cpd	/chc5229/image/30.cpd
Watch the Video																											CHC5229000009				video/mp4	Betacam	63.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/28	28		
Watch the Video																											CHC5229000011				video/mp4	Betacam	65.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/29	29		
Watch the Video																											CHC5229000010				video/mp4	Betacam	64.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/30	30		
