Title	Translated Title	Play Title	Original Title	Production Title	Festival Title	CTDA Link	Creator	Author	Translator	Director	Producer	Photographer	Videographer	Theater Company	Theater Venue	Cast	Costume Designer	Set Designer	Poster Designer	Summary	Note	Subject	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Finding Aid	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Original Format	Tape Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Scene from the play, "Las vacas gordas" (The fat cows)																					Written on verso: "Dumé"	Theater -- Cuba; Plays	Photographs			1962	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 16; Folder No. 4; Folder Title: Las vacas gordas: photographs , 1962					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000370001001			Image	image/tiff							44837736 Bytes	4972	3006	3146883235	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000370001001.tif		2009-08-06	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/39	39	40.jp2	/theater/image/40.jp2
Scene from the play, "Las vacas gordas" (The fat cows)																						Theater -- Cuba; Plays	Photographs			1962	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 16; Folder No. 4; Folder Title: Las vacas gordas: photographs , 1962					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000390001001			Image	image/tiff							93878160 Bytes	6309	4960	1834442326	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000390001001.tif		2009-08-06	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/40	40	41.jp2	/theater/image/41.jp2
Scene from the play, "La casa vieja" (The Old House)																				Herberto Dumé (right) as Higinio and José Corrales as Esteban.	Written on verso: "La casa vieja de A. Estorino. Dumé Spanish Theatre"	Theater -- Cuba; Plays	Photographs			1973-01-12	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11;  Folder No. 13;  Folder Title: La Casa Vieja: Photographs, 1973					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000020001001			Image	image/tiff							89183832 Bytes	6062	4903	2596068632	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000020001001.tif		2009-08-06	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/41	41	42.jp2	/theater/image/42.jp2
Newspaper clipping titled, "La casa vieja" (The old house)							García-Oliva, Manolo													Clipping from the newspaper, El Mundo Femenino, about the play "La Casa vieja"		Theater -- Cuba; Plays	Clippings			1973-03-14	1970-1980	New York, New York			1 b&w clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 1;  Folder No. 25;  Folder Title: La casa vieja: clippings, 1973					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000200001001			Text	image/tiff							215558432 Bytes	6972	10303	4094431353	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000200001001.tif		2009-08-06	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/42	42	43.jp2	/theater/image/43.jp2
page 1																																																	chc514100000505	chc51410000050001001				Image							64879356 Bytes	3579	6041	1960116863	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/88	88	89.jp2	/theater/image/89.jp2
page 2																																																	chc5141000005	chc51410000050002001				Image							65261848 Bytes	3600	6041	3444566412	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/89	89	90.jp2	/theater/image/90.jp2
page 3																																																	chc5141000005	chc51410000050003001				Image							65260712 Bytes	3600	6041	3409557025	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/90	90	91.jp2	/theater/image/91.jp2
page 4																																																	chc5141000005	chc51410000050004001				Image							65487244 Bytes	3600	6062	625066529	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/91	91	92.jp2	/theater/image/92.jp2
page 5																																																	chc5141000005	chc51410000050005001				Image							66163712 Bytes	3662	6021	1116612328	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050005001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/92	92	93.jp2	/theater/image/93.jp2
page 6																																																	chc5141000005	chc51410000050006001				Image							65254016 Bytes	3600	6041	1857639558	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000050006001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/93	93	94.jp2	/theater/image/94.jp2
