Title	Translated Title	Variation of Title	Uniform Title	IBISWEB Catalog Link	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Call Number	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Through the war by camera : a weekly artfolio of current events, on land and sea in the Spanish-American War of 1898, No. 9, July 4, 1898																1 viewbook, 19 pages														chc0364000002		chc03640000020001001							109947068 Bytes	5000	3664	4105081455	RGB	16	600	chc03640000020001001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/0	0	1.jp2	/chc0364/image/1.jp2
Through the war by camera																														chc0364000002		chc03640000020002001							308342916 Bytes	8376	6135	2163228988	RGB	16	600	chc03640000020002001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/1	1	2.jp2	/chc0364/image/2.jp2
Santiago and its harbor																														chc0364000002		chc03640000020003001							310244872 Bytes	8388	6164	428713735	RGB	16	600	chc03640000020003001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/2	2	3.jp2	/chc0364/image/3.jp2
Sampson's Flagship in the fight																														chc0364000002		chc03640000020004001							310243936 Bytes	8388	6164	2906045557	RGB	16	600	chc03640000020004001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/3	3	4.jp2	/chc0364/image/4.jp2
Castle Morro, before the bombardment																														chc0364000002		chc03640000020005001							309157652 Bytes	8379	6149	4055333999	RGB	16	600	chc03640000020005001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/4	4	5.jp2	/chc0364/image/5.jp2
The light-weights of naval warfare																														chc0364000002		chc03640000020006001							310765136 Bytes	8379	6181	1634963177	RGB	16	600	chc03640000020006001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/5	5	6.jp2	/chc0364/image/6.jp2
Fighting tailors																														chc0364000002		chc03640000020007001							310767212 Bytes	8379	6181	3076485562	RGB	16	600	chc03640000020007001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/6	6	7.jp2	/chc0364/image/7.jp2
Cuba in war time																														chc0364000002		chc03640000020008001							309760224 Bytes	8379	6161	4165653557	RGB	16	600	chc03640000020008001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/7	7	8.jp2	/chc0364/image/8.jp2
Havana hospital																														chc0364000002		chc03640000020009001							310014656 Bytes	8375	6169	2641614572	RGB	16	600	chc03640000020009001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/8	8	9.jp2	/chc0364/image/9.jp2
The great mule corral																														chc0364000002		chc03640000020010001							144789968 Bytes	8000	3016	2180533064	RGB	16	600	chc03640000020010001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/9	9	10.jp2	/chc0364/image/10.jp2
