Title	Translated title	Creator	Link to transcription	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Full Text	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																								Dec Sunday night     I dont know the day of the month. We had a new episode this morning. Horace Prescott of Co. C & Ephraim Pettingill of Co. E deserted broke out of the Gd House about 7 1/2 last Eve, & Skedaddled for parts unknown in Rebeldom. Prescott was under arrest for Forgery.    The Citizens had sold stuff to the Soldiers & taken Sutler Checks for Pay, & Prescott forged notes using the Capts (of several Cos.) names; & exchanged them for these checks; he got some $50.00 worth of them he was courtmartialed two or three days ago but his sentence has not been promulgated yet; probably the Ball & Chain was not an agreeable piece of Jewelry to wear so he left, I dont know the offence of Pettingill, he is a reckless fellow, & I am glad they are out of the Regt, but if they get caught Death to them.    Prescott has always been petted by House				asm0383000044						asm03830000440001001		45574768 Bytes	3096	4904	1993939912	RGB	8	600	asm03830000440001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/21	21	23.jp2	/asm0383/image/23.jp2
Page 2																								but he could not make a Lt of him & I think he must see the Point by this time. House and Capt Durgin of Co. E. went out on the Jacksonville Road but it is lucky they did not overhaul them as they have Revolvers & would not hesitate to shoot either of the Capts I have heard several of C's boys hope that Prescott would shoot House; rather tough that! if my Co felt like that toward me I would get out of it if possible.    It is awful dull no news no mail or anything to interest. I have been to Church & heard the Chaplain of the 9th Me, who is here, our Chaplain is home on a Furlough. & he might stay there for any good he does the Regt.    Friday morning Dec 19th I have just come off Gd I went yesterday on foot & was pretty tired last night we are having a severe Norther it is cold & raw no mail & the sea is so rough a Boat will not venture out for several days yet				asm0383000044						asm03830000440002001		45962524 Bytes	3139	4878	682417100	RGB	8	600	asm03830000440002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/22	22	24.jp2	/asm0383/image/24.jp2
Page 3																								It is very dull & lonesome, if it was my style I should be homesick. It took me 2 1/2 hours last night to make out my Report, had no wood, sat & wrote with my overcoat on, cold at that.    It is rumored here that Burnside has beaten the Rebels & on the way & near to Richmond. We hope it is a fact, as it will revive the spirits of the "North," and the Army. The People at home may think that the war bears heaviest on them but words can never tell of the sacrifices & suffering of the Army.    Dec 20th The Neptune arrived this morning and I have recd yours of the 27th 30th & Dec 2nd. you have recd one check & $10.00 which I was very glad to hear as it has relieved me of much anxiety. I trust the rest has reached you ere this, you dont know how much happier I feel to hear that you were in good health, & will not suffer from want for a time at least I want you to write me the whole amt you receive in two or three letters as				asm0383000044						asm03830000440003001		46824820 Bytes	3181	4904	88049384	RGB	8	600	asm03830000440003001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/23	23	25.jp2	/asm0383/image/25.jp2
Page 4																								some may miscarry.    Give my regards to Mr. Cox for what he done to Heath & tell him that I stand "Treat?" for the Crowd if I ever meet them Bully for Cox, that is my style exactly. I hope if you send me a box that I shall get it before we leave here but dont buy anything for me to run short yourself, keep mum about what money you get unless you had as leaves they would know about it, for my [     ] will think if you have $ 10.00 by you that they ought to have 5 of it.    I think I shall go into Capt Rollins Mess; I cant stand everything more than a sheep. Mrs. A is to almighty sluttish & that is a thing I was never used to at home; & I cant stand it of a woman anywhere; from a man or Nigger cook, I could get over it better; 3 times out of 5 my knife & fork are covered with new rust, that rubs off on my vittuals; she is a d____d f__l anyway so is he.     Yours in hunger    C. Shedd   				asm0383000044						asm03830000440004001		43544412 Bytes	3024	4797	1624643411	RGB	8	600	asm03830000440004001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/24	24	26.jp2	/asm0383/image/26.jp2
Calvin Shedd letter to wife, S. Augusta Shedd, December 14, 1862		Shedd, Calvin (1826-1891)   	http://scholar.library.miami.edu/shedd/letters/62dec14.html		Shedd relates the story of two men who deserted; one had been under arrest for forgery.  He acknowledges receipt of several letters from his wife and cautions her to keep quiet about the amount of money he sends home.  He is still unhappy with his boarding arrangements and may change to another mess.		Shedd, Calvin -- Correspondence; Shedd, S. Augusta; United States. Army. New Hampshire Infantry Regiment, 7th. Company A; Florida -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865; Enfield (New Hampshire)	Correspondence		1862-12-14	1860-1870	Saint Augustine (Florida)	1 letter; 4 pages	eng	University of Miami Libraries. Special Collections	Calvin Shedd Papers	ASM0383		Box No. 1; Folder No. 3; Folder Title: Oct - Dec 1862					 		http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0383000044	Text						image/tiff										2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/25	25	27.cpd	/asm0383/supp/25/index.pdf
Page 1																								Fort Jefferson, May 25, 1862    My Dear Wife Augusta      I am most happy to have the time to acknowledge recpt of a letter from you Ada & Annah of May 11th for which I thank you heartily. I was on Guard and it helps me to keep awake; as I looked on the stars I thought perhaps you might be looking at the same & it was a happiness to me to think that we were looking at the same & it seemed to be a bond of sympathy and love. I am in good health and spirits but on "Police" & we have to load Gun Carriages this P.M. & I have no time to write only from 12 to 1 & eat my dinner out of that so you must excuse me as the mail goes out at 5 PM and I shall not be				asm0383000031						asm03830000310001001		45771624 Bytes	3126	4878	567638888	RGB	8	600	asm03830000310001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/26	26	28.jp2	/asm0383/image/28.jp2
Page 2																								off duty till that hour. I am very sorry to hear that [     ] Johnson is no more for he was a man of good heart. I like him. Peace to his ashes. One oclock is now beating. I will try to write some more if I can run away from duty a few minutes this PM.      May 28th. I thought I should get time to finish this the other day but could not get a minute. I was quite sick yesterday. I hurt my back lifting gun carriages and took some cold. I feel better today. We have had spring showers here for a day or two. It will rain vary fast for a few minutes then the sun comes out hot again. I don't know what to write there is no news going there has several vessels arrived within a few days a Gun Boat yesterday the Wanderer of Slave Trade notoriety but none of them with any news  there has been nearly 200 men detailed for several days to unload a cargo of Coal & of Shot &				asm0383000031						asm03830000310002001		48295416 Bytes	3261	4934	888737902	RGB	8	600	asm03830000310002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/27	27	29.jp2	/asm0383/image/29.jp2
Page 3																								Shell the vessel that brought the Shot & Shell has 80 men of Michigan and VT Regts that were left behind sick and now go to Ship Island they left this morning. I feel very weak and nervous I can hardly write it is so warm and muggy I have no energy I shall be better in a day or two PM I have just come in from Drill the sweat is running down in streams it does not seem much warmer than it is frequently at home but we sweat three time as much. I hope Cummings will do what is right by you but I expect he will come some monkery He is a slippery fellow on a trade. Lieutenant Williams thinks he will start for home soon as he thinks his papers will be signed this time as he got Dr Brown to endorse them don't speak of that however as perhaps he would not like to have it known; he tells me things he don't tell everybody. there are no signs of pay day				asm0383000031						asm03830000310003001		46885264 Bytes	3160	4943	1954846306	RGB	8	600	asm03830000310003001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/28	28	30.jp2	/asm0383/image/30.jp2
Page 4																								yet I am afraid we shall get none until July, although there are stories that the is coming every week Dodge has got a 24 lb ball attached to his ankle with a chain stout enough for a horse to draw by he has got to wear it two months he looks  rather sober over it. Sam is pretty well a little lame at times. Burrell is well sends his love to his little girl and Friends all of my boys are well as usual & the best squad in the Co. They have gained some on the Fort since we came they are now building the magazines on the Parapet. Brick arrive here in large quantities they cost the Government $17.00 per M & come from Maine. They have got the new Condencer at work and it makes much better water than we have had heretofore. it is very clear and tastes much better than that made by the old one. it is near supper time we eat at 5 & then get ready for Dress Parade at 6 I want to see you all very much but it is of no use longing but must wait the course of events.      My Best Love to you all   C. Shedd      4th Sergt Co C 7th Regt NH Vol    that is a handle for a name 				asm0383000031						asm03830000310004001		46521852 Bytes	3174	4883	1891792811	RGB	8	600	asm03830000310004001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/29	29	31.jp2	/asm0383/image/31.jp2
Page 5																												asm0383000031						asm03830000310005001		21450428 Bytes	3454	2068	669249527	RGB	8	600	asm03830000310005001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/30	30	32.jp2	/asm0383/image/32.jp2
Calvin Shedd letter to wife, S. Augusta Shedd, May 25, 1862		Shedd, Calvin (1826-1891)   	http://scholar.library.miami.edu/shedd/letters/62may25.html		Shedd and his regiment are involved in unloading guns and cartridges from a supply ship.  He includes news about several friends.		Shedd, Calvin -- Correspondence; Shedd, S. Augusta; United States. Army. New Hampshire Infantry Regiment, 7th. Company A; Florida -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865; Enfield (New Hampshire)	Correspondence		1862-05-25	1860-1870	Fort Jefferson (Florida)	1 letter (4 pages); 1 envelope	eng	University of Miami Libraries. Special Collections	Calvin Shedd Papers	ASM0383		Box No. 1; Folder No. 2; Folder Title: May - Sep 1862							http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0383000031	Text						image/tiff										2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/31	31	33.cpd	/asm0383/supp/31/index.pdf
Page 1																								Fort Jefferson June 1st 62    Dear Wife & Children     it is Sunday Morning we have just come in from Inspection & it is very hot the Boys were streaming with Sweat.  I am better than when I wrote last.  There the Col & Staff has just passed through the quarters & the wind tipped over my Ink Bottle & spilled the whole on my Rubber Blanket which I use for a table-cloth.  I dont know as I can write much as each day is about a pattern of the next all nearly alike & no news except a rumor that No Carolina has returned to the Union if true you will have known it for a long time.  It is uncertain when a Mail will leave here; we expect one the middle of the week.  Williams is as tickled as a Boy at the prospect of going home, it will take him down a peg if he is disapionted this time. the Regt is in better health than at any time since we arrived a good many have the Rheumatism some have the sore throat  				asm0383000032						asm03830000320001001		48810960 Bytes	3184	5110	223953852	RGB	8	600	asm03830000320001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/32	32	34.jp2	/asm0383/image/34.jp2
Page 2																								House has done some almighty mean tricks to which it will not answer to record I will fix them sooner or later if I live     3d  It's cooler the wind blowing quite hard & partialy cloudy I should like to have you heard the Boys swear yesterday PM when we came in from Co Drill I never saw such a numbhead as House it was one continued blunder all through the Drill at one time he had the Co wrong end too inside out & he was on the wrong side of the Co himself the Co was perfectly disgusted & ashamed with & of him & of the appearance they made on the Parade Ground.  the Co will show him up if they ever get home; well it is no use talking.  the Col swears at the officers on Drill right; I should think they would feel ashamed, he yelled out to them the other day what in H--l are you about you dont know as much as your men do; that suited the Boys.  He sung out at House the other day Damnation what are you doing there.  They give wrong orders & snarl the men all up & cant seem to learn appear frightened as a parcel of whipped Boys when their Daddy is around  				asm0383000032						asm03830000320002001		47081996 Bytes	3139	4997	2783100811	RGB	8	600	asm03830000320002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/33	33	35.jp2	/asm0383/image/35.jp2
Page 3																								5th I remember yesterday & today as the birth days of our children I have thought of you all many times.  Yesterday I went to West Key after shells I got about a pint of all kinds I shall try to send them by Williams if he ever goes home; you dont know how hot it was on that barren sand yesterday it seemed as if the sun would burn into ones Brain.  I dont wear anything but my old fatigue Cap many have got thin Hats but I am going to be a Soldier while I am in the Army I wear nothing but Army clothes except Stockings at noon the sun is exactly in the Zenith a pole placed on end perpendicular casts no shadow it is rather odd to see the sun shining on all sides of the Light House equally it is sweat-sweat day & night.  No Mail yet we expect one every day as soon as we receive it there will be one leave so I write along from day to day.  I think it is about the best thing you can do to let Mr Pillsby have the Pasture as you propose				asm0383000032						asm03830000320003001		47758804 Bytes	3174	5013	1542149345	RGB	8	600	asm03830000320003001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/34	34	36.jp2	/asm0383/image/36.jp2
Page 4																								last night 7 of our Boys went to Loggerhead & got two Turtles as big over as tables one laid 134 eggs after they turned her over.  this morning they butchered the other & took out 130 eggs; beside, a half pailfull of little eggs without shells each Turtle has 3 sizes in them one Batch with shells ready to lay, the others look like yolks of Hens eggs; they cannot be boiled so that the whites will be hard as other Eggs but have to be fryed or poached.     June 6th Yesterday PM we are very happy in receiving a Mail yours of the 18th of May came I was very glad to hear that you were all well I did not think Ada would get promoted so soon I think she is pretty smart, dont let her study to hard.  Annah must not be jealous of her, for I hope she will get in with her when she is as old.  the Inspector General of this Department arrived with the Mail & at 8 this morning we had to go out with Knapsacks packed & be inspected we had a Shower this Morning so that it was quite comfortable for this place we have an advantage in being the 2d Co that is inspected and get in sooner than the other 8 Cos.     I should have liked to have seen Cambridge in the Pond better than any other Man I know of we hear that there has				asm0383000032						asm03830000320004001		46841456 Bytes	3092	5047	2235720695	RGB	8	600	asm03830000320004001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/35	35	37.jp2	/asm0383/image/37.jp2
Page 5																								been a requisition on Gov Berry for another Regt & the President is going to call out 100,000 more men; if that is the case you will not see us at home at present if ever; for if we have to go to the Main land & go through with one or two Campaigns many of us will be under the Sod within a year So prepare for the worst & hope for the best is my Motto.  Williams has got no Backbone more than an Eel that is the greatest objection the men have to him  It looks as if the Government thought the war was not very near its close of this above rumor is true we are going to have Turtle Soup for Dinner today, if we could have things to season & put with it probably it would be good.  Ned is well works hard in the Kitchen, Burrell is with him he says Ned is trying to be Pious I have thought it was all moonshine but Burrell thinks it is so, if so it is well that it is so also probably he will be more so & all and as usual about so-so, perhaps so     7th The Mail leaves at 6 PM for Key West I will try and fill the rest of this sheet but I hardly know what to write, we had a hard Battallion Drill this morning.  the Col was showing us off to the Inspector the sweat dropped on the				asm0383000032						asm03830000320005001		49936725 Bytes	3229	5155	655583051	RGB	8	600	asm03830000320005001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/36	36	38.jp2	/asm0383/image/38.jp2
Page 6																								Blouses like Rain; our shirts we could wring sweat out with ease & all this before Breakfast We are to Drill By Cos in the course of the day to see which is the best & it is rumored that some of the Cos will have to leave; Co C will make a splendid appearance if House Drills us, I hope he will Williams expected to receive his discharge by the last Mail I think he was much disapointed he has not had a letter from his folks for five Mails for when he first resigned he wrote them to stop till further orders he has written about every mail prehaps some of their letters have been miscarried.     There was one Man on Guard a week ago last thursday was buried last Tuesday of Co I; another of Co G. was on Guard Tuesday & Buried thursday the men are dying this week fast of Typhiod Fever Congestion of Lungs & Sun Stroke.  the Surgeon ordered us in yesterday out of the Sun he does most every day but the Officers take the men right out again the next day in the Sun regardless of their lives & health I hope God will forgive the Officers for the Men wont.  their any quantity of cases of petty tyrani in the Regt just because the Officers dont know their duty.  I want to see you very much if the war lasts three years it is hardly an even chance that I shall, so dont worry about me anyhow for I dont believe it is much worse to be dead than to be alive I am going to be just as little homesick as possible do my duty & let come what will I have a good reputation as a Soldier in this Regt in spite of my Enemies they may do their worst     C. Shedd 				asm0383000032						asm03830000320006001		49936725 Bytes	3229	5155	1554624465	RGB	8	600	asm03830000320006001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/37	37	39.jp2	/asm0383/image/39.jp2
Calvin Shedd letter to wife, S. Augusta Shedd and children, June 1, 1862		Shedd, Calvin (1826-1891)   	http://scholar.library.miami.edu/shedd/letters/62jun01.html		This letter is written over several days as Shedd describes the heat, the company's difficulty with an officer, and his general homesickness.  Several men have died of typhoid and sunstroke.		Shedd, Calvin -- Correspondence; Shedd, S. Augusta; United States. Army. New Hampshire Infantry Regiment, 7th. Company A; Florida -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865; Enfield (New Hampshire)	Correspondence		1862-06-01	1860-1870	Fort Jefferson (Florida)	1 letter; 6 pages	eng	University of Miami Libraries. Special Collections	Calvin Shedd Papers	ASM0383		Box No. 1; Folder No. 2; Folder Title: May - Sep 1862							http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0383000032	Text						image/tiff										2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/38	38	40.cpd	/asm0383/supp/38/index.pdf
Page 1																								Dec 5th     We are feeling elated as a Steamer has just hove in sight I trust with a mail I have not got on Duty yet, but am much better & am calculating to be off the sick list tomorrow or next day at farthest I should be pretty well if my Bowels & liver would do their duty. I am extremely positive, but I hate to take Physic. The Boys made a Grand Hurrah when the Steamer was reported, I wish you could see with what eagerness they watch for a Mail & how happy they are in getting letters; if their Friends could see them once I am sure they would not grudge the time & labor but would write oftener. there is nothing new here to disturb the usual routine of Garrison Life; most every day discharged or deserting Rebels come in & take the Oath. They look bad Dirty with poor & ragged Clothes. Our men I think would mutiny if they were as badly off as the Rebels they are armed with old muskets or shot				asm0383000042						asm03830000420001001		46120740 Bytes	3144	4887	1639337705	RGB	8	600	asm03830000420001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/39	39	41.jp2	/asm0383/image/41.jp2
