Title	Watch Video	Speaker	Host	Summary	Subjects	Publisher	Date	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Program	Rights	Copyright	Digital ID	Format	Type	Source	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Michael Anthony reads from All That Glitters (1991)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1991/1991_P11_02_anthony.rm	Anthony, Michael, 1930-		Novelist Michael Anthony reads from his novel All That Glitters, in which thirteen-year-old Horace oversleeps and holds an agitated conversation with his uncle.	Boys -- Fiction; Trinidadian and Tobagonian fiction; Family -- Fiction; Caribbean literature; Literature video	University of Miami English Department	1991	8 min 34 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 11. Caribbean writers and their art, 1991		http://merrick.library.miami.edu/digitalprojects/copyright.html	1991_P11_02_anthony.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1116	1116	1121.jpg	/cwsi/image/1121.jpg
Geoffrey Philp reads his poetry (1991)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1991/1991_P11_06_philip.rm	Philp, Geoffrey		Jamaica-born Miami teacher Geoffrey Philp reads three poems. The first, for which his introduction is cut off, is about Miami, Hialeah, and other places in Miami-Dade County, Florida. Then he reads "Exile" and "Christmas Eve, 1988."	Caribbean literature; Literature video; Jamaican poetry; Christmas -- Poetry	University of Miami English Department	1991	2 min 51 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 11. Caribbean writers and their art, 1991		http://merrick.library.miami.edu/digitalprojects/copyright.html	1991_P11_06_philip.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1117	1117	1125.jpg	/cwsi/image/1125.jpg
Erna Brodber reads Part 5 of Louisiana (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_R04_05_lapart5.rm	Brodber, Erna		Jamaican writer Erna Brodber reads Part 5 of her novel Louisiana: "Louisiana.” Ella Townsend, a young African-American anthropologist, researches her Caribbean roots. Her husband returns in 1940. Ella muses about jazz, her supernatural experiences, and her background.	Caribbean literature;Literature video;Jamaican fiction;Ghost stories, Jamaican;Historical fiction;African American women -- Fiction;African American women -- Psychic ability -- Fiction;African American anthropologists -- Fiction;Creoles -- Louisiana -- Fiction;Supernatural -- Fiction	University of Miami English Department	1993	5 min 45 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 4. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_R04_05_lapart5.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1118	1118	1220.jpg	/cwsi/image/1220.jpg
Lorna Goodison reads two poems (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P04_04_poemset2.rm	Goodison, Lorna		Jamaican writer Lorna Goodison reads her poetry: "Name Change: Morant Bay Uprising" and "Love Song to My Great-Grandmother Leanna." The reading is held at Books and Books bookstore in Miami Beach.	Literature video; Caribbean literature; Jamaican poetry; Names, Personal -- Poetry	University of Miami English Department	1996	4 min 01 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 4. Poetry and fiction readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P04_04_poemset2.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1119	1119	1357.jpg	/cwsi/image/1357.jpg
Edward Baugh reads poetry about parents and childhood (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P05_02_poemset1.rm	Baugh, Edward		Trinidadian author Edward Baugh reads poetry: "This Poem," "Responsibility," "A Rain-Washed Town By the Sea," and "Sunday Afternoon Walks With My Father."	Caribbean literature; Literature video; Trinidadian and Tobagonian poetry (English); Children -- Poetry; Parent and child -- Poetry; Responsibility -- Poetry	University of Miami English Department	1995	9 min 48 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 5. Poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P05_02_poemset1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1120	1120	1292.jpg	/cwsi/image/1292.jpg
Adrian Castro reads "Brincando el Charco" (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P03_03_castro1.rm	Antoni, Robert, 1958-; Castro, Adrian, 1967-		University of Miami professor Robert Antoni introduces Adrian Castro, translator and poet born in Miami of Cuban and Dominican heritage. Castro reads a poem called "Brincando el Charco" (a Cuban euphemism for "jumping the Florida straits").	Castro, Adrian, 1967-; Caribbean literature; Literature video; Cubans -- Poetry	University of Miami English Department	1996	5 min 37 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 3. Poetry and fiction readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P03_03_castro1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1121	1121	1351.jpg	/cwsi/image/1351.jpg
Clarissa Walker reads "Do You Know What It Means To Miss New Orleans?" (1994)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1994/1994_P10_04_walker.rm	Walker, Clarissa		Clarissa Walker reads "Do You Know What It Means To Miss New Orleans?"	Caribbean literature; Literature video; Saxophonists -- Fiction	University of Miami English Department	1994	18 min 03 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 10. Fiction and poetry readings, 1994		http://merrick.library.miami.edu/digitalprojects/copyright.html	1994_P10_04_walker.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1122	1122	1257.jpg	/cwsi/image/1257.jpg
Sasenarine Persaud reads "With Apologies for the Flavour" (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P04_02_apologies.rm	Persaud, Sasenarine		Guyana-born Canadian poet Sasenarine Persaud reads "With Apologies for the Flavour." He explains that he was asked by his Canadian publisher to write poetry “with a West Indian flavour.”	Persaud, Sasenarine; Caribbean literature; Literature video; Guyanese poetry	University of Miami English Department	1995	4 min 29 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 4. Fiction and poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P04_02_apologies.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1123	1123	1280.jpg	/cwsi/image/1280.jpg
Zoila Ellis reads "A Hero's Welcome" (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_P01_07_ellis.rm	Ellis, Zoila		Belizean writer Zoila Ellis reads her short story, "A Hero's Welcome," set in colonial Belize. An economically depressed town rallies behind the character 'Mas Tom, who goes off to fight in the war, but returns with unexpected results.	Caribbean literature;Literature video;Belizean literature;War stories	University of Miami English Department	1993	22 min 04 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 5. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_P01_07_ellis.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1124	1124	1187.jpg	/cwsi/image/1187.jpg
Richard Philcox reads from Crossing the Mangrove (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P03_05_crossingengphi.rm	Philcox, Richard		Richard Philcox, Maryse Conde’s husband and translator, reads an excerpt from Conde's Crossing the Mangrove. It is a chapter written in the character Vilma's voice; she talks about how she was seduced by the character Francis Sancher and about her relationship with her mother.	Caribbean literature; Literature video; Detective and mystery stories; Arranged marriage -- Fiction; Mothers and daughters -- Fiction	University of Miami English Department	1995	15 min 44 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 3. Fiction and poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P03_05_crossingengphi.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1125	1125	1278.jpg	/cwsi/image/1278.jpg
Lorna Goodison interviewed by Kamau Brathwaite (1992)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1992/1992_P02_entire.rm	Goodison, Lorna	Brathwaite, Kamau, 1930-	Award-winning Jamaican poet Lorna Goodison reads "For My Mother (May I Inherit Half her Strength)." Brathwaite then interviews Goodison about her mother, her life experiences, and her writing.	Goodison, Lorna; Caribbean literature; Literature video; Caribbean poetry; Mothers -- Poetry; Authors, Jamaican	University of Miami English Department	1992	27 min 28 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 2. Caribbean writers and their art, 1992		http://merrick.library.miami.edu/digitalprojects/copyright.html	1992_P02_entire.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1126	1126	1158.jpg	/cwsi/image/1158.jpg
