Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Royal palms after the 1926 hurricane						Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Hurricanes -- Florida; Natural disasters; Cutler, Florida	Photographs		1926	1920-1930	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Key Biscayne, after the 1926 Hurricane.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000140001001	image/tiff	8204.71 KB	4168	2747	0xD52B19AF	RGB	2 bit depth	600 dpi	asm00550000140001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/0	0	14.jp2	/asm0055/image/14.jp2
Richmond Inn before renovations		Small, John Kunkel			Richmond Inn was a hunting lodge catering to local residents and railroad executives, before Charles Deering made it part of his own estate.	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Postcards				Key Biscayne (Florida)	1 b&w postcard	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000040001001	image/tiff	6879.059 KB	3246	2065	0xBFFB5F7F	RGB	2 bit depth	600 dpi	asm00550000040001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/1	1	4.jp2	/asm0055/image/4.jp2
Construction of yacht basin at Charles Deering's estate					Written on left margin: "Dredge July 14 1916"	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Photographs		1916	1910-1920	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000070001001	image/tiff	5857.593 KB	3627	2125	0x2BB19A71	RGB	2 bit depth	600 dpi	asm00550000070001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/2	2	7.jp2	/asm0055/image/7.jp2
Construction of yacht basin at Charles Deering's estate						Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Postcards				Key Biscayne (Florida)	1 b&w postcard	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			Lyn MacCorkle; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000080001001	image/tiff	5317.829 KB	3246	2065	0xC958A0C9	RGB	2 bit depth	600 dpi	asm00550000080001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/3	3	8.jp2	/asm0055/image/8.jp2
View of Charles Deering's estate from Biscayne Bay						Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Postcard				Key Biscayne (Florida)	1 b&w postcard	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000030001001	image/tiff	4537.981 KB	3206	2065	0xB044E7ED	RGB	2 bit depth	600 dpi	asm00550000030001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/4	4	3.jp2	/asm0055/image/3.jp2
Cape Florida Lighthouse after the 1926 hurricane					On verso: "Notice how part of the old brick foundation is broken away on the ocean side. Picture was taken at low tide. In storms or at high tides water washes in under the lighthouse."	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Lighthouses Florida; Key Biscayne, Florida; Hurricanes -- Florida; Natural disasters; Cutler, Florida	Photographs		1926	1920-1930	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Key Biscayne, after the 1926 Hurricane.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000150001001	image/tiff	6042.292 KB	2765	4231	0xF99148D4	RGB	2 bit depth	600 dpi	asm00550000150001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/5	5	15.jp2	/asm0055/image/15.jp2
Richmond Inn after renovations					Richmond Inn was a hunting lodge catering to local residents and railroad executives, before Charles Deering made it part of his own estate.	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Photographs				Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000090001001	image/tiff	8468.402 KB	4127	3008	0x926CF174	RGB	2 bit depth	600 dpi	asm00550000090001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/6	6	9.jp2	/asm0055/image/9.jp2
Florida Everglades pine trees		Small, John Kunkel				Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Everglades (Florida); Key Biscayne, Florida; Cutler, Florida	Photographs		1911-02	1910-1920	Everglades, Florida	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Adams Key, Bauer Hammock, Big Pine Key, Brickell Hammock, Cox's Hammock, Cudjoe Key, Everglades, Little Pine Key, Little River, Longview Hammock, Old Rhode's Key, Pinelane Hammock, Ross Homestead, Royal Palm Hammock.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000010001001	image/tiff	7115.364 KB	2974	2419	0xCC88C139	RGB	2 bit depth	600 dpi	asm00550000010001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/7	7	1.jp2	/asm0055/image/1.jp2
Key Biscayne after the 1926 hurricane					Sign reads: "Private Property. You se--[?] by courtesy of owner. Please clear up your litter. Coconuts & plants for sale by the owner. Do not take them yourself - see him."	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Biscayne Bay, Florida; Key Biscayne, Florida; Hurricanes -- Florida; Natural disasters; Cutler, Florida	Photographs		1926	1920-1930	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Key Biscayne, after the 1926 Hurricane.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000110001001	image/tiff	8243.191 KB	4188	2827	0xEA6A810B	RGB	2 bit depth	600 dpi	asm00550000110001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/8	8	11.jp2	/asm0055/image/11.jp2
Charles Deering						Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Key Biscayne, Florida; Cutler, Florida	Portrait photographs		Circa 1910	1900-1910	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Deering family and friends.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000100001001	image/tiff	5171.749 KB	2064	2767	0x58FAE038	RGB	2 bit depth	600 dpi	asm00550000100001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/9	9	10.jp2	/asm0055/image/10.jp2
Richmond Inn after renovations					Richmond Inn was a hunting lodge catering to local residents and railroad executives, before Charles Deering made it part of his own estate.	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Postcards				Key Biscayne (Florida)	1 b&w postcard	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000050001001	image/tiff	5784.003 KB	3246	2065	0xCE9EC7F2	RGB	2 bit depth	600 dpi	asm00550000050001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/10	10	5.jp2	/asm0055/image/5.jp2
Richmond Inn after renovations					Richmond Inn was a hunting lodge catering to local residents and railroad executives, before Charles Deering made it part of his own estate.	Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Key Biscayne, Florida; Cutler, Florida	Postcards				Key Biscayne (Florida)	1 b&w postcard	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Charles Deering Estate, Cutler, Florida.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000060001001	image/tiff	6781.776 KB	3246	2065	0x59C63BD8	RGB	2 bit depth	600 dpi	asm00550000060001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/11	11	6.jp2	/asm0055/image/6.jp2
Key Biscayne after the 1926 hurricane						Dade County (Florida) -- History; Deering, Charles, 1852-1927; Florida -- Pictorial Works; Miami (Florida) -- Buildings, structures, etc; Biscayne Bay, Florida; Lighthouses Florida; Key Biscayne, Florida; Hurricanes -- Florida; Natural disasters; Cutler, Florida	Photographs		1926	1920-1930	Key Biscayne (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Charles Deering Collection	ASM0055	Series: I Photographs	Box No. 5; Folder Title: Florida. Photographs. John K. Small. Key Biscayne, after the 1926 Hurricane.			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm00550000130001001	image/tiff	8566.585 KB	4168	2747	0xF5FF744A	RGB	2 bit depth	600 dpi	asm00550000130001001.tif		2008-05-19	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0055/id/12	12	13.jp2	/asm0055/image/13.jp2
