Title	Subject	Description	Creator	Genre	Publisher	Date	Repository	Collection Title	Collection No.	Container	Copyright	Digital ID	Object ID	Type	Format	File Size	Width	Height	Checksum	Color space	Hardware	Software	BitDepth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010001001	asm5000000001	Image	image/tiff	48771.261 KB	5840	7552	0x7CDC93A9	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/215	215	628.jp2	/asm5000/image/628.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010002001	asm5000000001	Image	image/tiff	41257.555 KB	6344	7248	0xD965525A	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/216	216	629.jp2	/asm5000/image/629.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010003001	asm5000000001	Image	image/tiff	25388.562 KB	5199	6646	0x45CE1F3F	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/217	217	630.jp2	/asm5000/image/630.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010004001	asm5000000001	Image	image/tiff	20070.15 KB	5200	6646	0xCC1B7917	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/218	218	631.jp2	/asm5000/image/631.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010005001	asm5000000001	Image	image/tiff	23261.252 KB	5200	6646	0x8399830E	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/219	219	632.jp2	/asm5000/image/632.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010006001	asm5000000001	Image	image/tiff	14396.637 KB	5120	6630	0x9FCFE6F4	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/220	220	633.jp2	/asm5000/image/633.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010007001	asm5000000001	Image	image/tiff	19986.299 KB	5136	6495	0xA53CAD65	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/221	221	634.jp2	/asm5000/image/634.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010008001	asm5000000001	Image	image/tiff	14715.372 KB	5200	6646	0xE76F2307	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/222	222	635.jp2	/asm5000/image/635.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010009001	asm5000000001	Image	image/tiff	17118.036 KB	5200	6646	0x356C4246	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/223	223	636.jp2	/asm5000/image/636.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010010001	asm5000000001	Image	image/tiff	15794.163 KB	5200	6646	0x4F90E378	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/224	224	637.jp2	/asm5000/image/637.jp2
