Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											chc5066000004						chc50660000040001001		136936774 Bytes	5308	8598	480087819	RGB	8	240	chc50660000040001001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/0	0	1.jp2	/chc5066/image/1.jp2
Page 2																											chc5066000004						chc50660000040002001		137041206 Bytes	5312	8598	1913252190	RGB	8	240	chc50660000040002001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/1	1	2.jp2	/chc5066/image/2.jp2
Page 3																											chc5066000004						chc50660000040003001		136622988 Bytes	5328	8546	3316169496	RGB	8	240	chc50660000040003001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/2	2	3.jp2	/chc5066/image/3.jp2
Page 4																											chc5066000004						chc50660000040004001		136999472 Bytes	5324	8576	1520734842	RGB	8	240	chc50660000040004001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/3	3	4.jp2	/chc5066/image/4.jp2
Page 5																											chc5066000004						chc50660000040005001		137040164 Bytes	5320	8585	1994204322	RGB	8	240	chc50660000040005001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/4	4	5.jp2	/chc5066/image/5.jp2
Page 6																											chc5066000004						chc50660000040006001		134355136 Bytes	5242	8542	2388429238	RGB	8	240	chc50660000040006001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/5	5	6.jp2	/chc5066/image/6.jp2
Fragment of letter written by José Martí		Martí, José, 1853-1895			José Martí is the National Hero of Cuba. As a political activist, journalist, professor and writer, he was crucial to the success of the Cuban War of Independence against Spain. He also fought against United States expansionism into Cuba. The Cuban Revolutionary Party (Partido Revolucionario Cubano) was founded in New York by José Martí, on April 10, 1892. Its main objective was to obtain Cuba’s definitive independence, and to contribute to the liberation of Puerto Rico.	Martí, José, 1853-1895 -- Correspondence; Cuba -- History -- 19th century -- Sources; Partido Revolucionario Cubano	Correspondence			1890-1900		1 letter; 6 pages	spa		University of Miami Libraries. Cuban Heritage Collection.	Cuban Museum of Art and Culture Records	CHC5066		Folder No. 1; Folder Title: Letters from José Martí; Folder Date: n.d.						http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5066000004	Text	2012-07-12					image/tiff										2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/6	6	7.cpd	/chc5066/image/7.cpd
Page 1																											chc5066000070						chc50660000700001001		67818778 Bytes	4147	5449	2491329763	RGB	8	240	chc50660000700001001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/7	7	8.jp2	/chc5066/image/8.jp2
Page 2																											chc5066000070						chc50660000700002001		68649930 Bytes	4192	5457	4234076116	RGB	8	240	chc50660000700002001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/8	8	9.jp2	/chc5066/image/9.jp2
French composition "Histoire d'un grant"		Bacardí, Amalia				Cuba -- History -- 19th century; Bacardí family; Bacardí, Amalia	Documents					1 document; 2 pages	fre		University of Miami Libraries. Cuban Heritage Collection.	Cuban Museum of Art and Culture Records	CHC5066		Folder No. 9; Folder Title: Documents; Folder Date: 1898-1954						http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5066000070	Text	2012-07-12					image/tiff										2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/9	9	10.cpd	/chc5066/image/10.cpd
Page 1																											chc5066000052						chc50660000520001001		89929660 Bytes	4760	6296	1195411954	RGB	8	600	chc50660000520001001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/10	10	11.jp2	/chc5066/image/11.jp2
Page 2																											chc5066000052						chc50660000520002001		90609760 Bytes	4777	6321	2562511134	RGB	8	600	chc50660000520002001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/11	11	12.jp2	/chc5066/image/12.jp2
Page 3																											chc5066000052						chc50660000520003001		90170696 Bytes	4772	6297	3547282170	RGB	8	600	chc50660000520003001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/12	12	13.jp2	/chc5066/image/13.jp2
Page 4																											chc5066000052						chc50660000520004001		91031828 Bytes	4794	6328	3414875286	RGB	8	600	chc50660000520004001.tif		2012-07-18	2012-07-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5066/id/13	13	14.jp2	/chc5066/image/14.jp2
