Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Family at the Cuban Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 49; Folder No. 192; Folder Title: Interviews: Family interviewing scenes; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000220001001			Image					image/tiff	8929.95 KB	4800	6021	0xC018317	RGB	24-bit color	600 dpi	02180000220001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/0	0	22.jp2	/chc0218/image/22.jp2
Airplane arriving from Cuba					Sign reads: "BIENVENIDOS AMIGOS"	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 7; Folder Title: Arrival groups 1965, 1970; Folder Date: 1965, 1970				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000140001001			Image					image/tiff	1431.066 KB	2441	2048	0xFE381F46	RGB	24-bit color	600 dpi	02180000140001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/1	1	14.jp2	/chc0218/image/14.jp2
Doctor examines little girl					Written on verso: "Clark Coll. Box 53. Medical Dispensing - waiting area folder"	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 48; Folder No. 155; Folder Title: Medical Dispensary: Child Care; Folder Date: 1961-1970's				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000730001001			Image					image/tiff	9361.445 KB	6041	4841	0x94958F5C	RGB	24-bit color	600 dpi	02180000730001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/2	2	70.jp2	/chc0218/image/70.jp2
Cuban mother with her children						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000040001001			Image					image/tiff	1685.389 KB	2441	1966	0xFA59AF30	RGB	24-bit color	600 dpi	02180000040001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/3	3	4.jp2	/chc0218/image/4.jp2
Cuban family at the Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000070001001			Image					image/tiff	2086.754 KB	2441	1966	0x1207E0	RGB	24-bit color	600 dpi	02180000070001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/4	4	7.jp2	/chc0218/image/7.jp2
Elderly couple with daughters						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000080001001			Image					image/tiff	1959.031 KB	2441	1966	0x186CC746	RGB	24-bit color	600 dpi	02180000080001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/5	5	8.jp2	/chc0218/image/8.jp2
Cuban mother with her children						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000030001001			Image					image/tiff	2058.631 KB	2441	1966	0x72936088	RGB	24-bit color	600 dpi	02180000030001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/7	7	3.jp2	/chc0218/image/3.jp2
Female students attending English class						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 17; Folder Title: Nine points; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000760001001			Image					image/tiff	11803.495 KB	6021	4862	0xF8A0D015	RGB	24-bit color	600 dpi	02180000760001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/8	8	73.jp2	/chc0218/image/73.jp2
Creo que lo mejor es buscar en otra parte . . .	I think we should look somewhere else...					Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Cartoons (commentary)		1968-08	1960-1970	Miami (Florida)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Folder Title: OPS - Photos				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000290001001			Image					image/tiff	11023.735 KB	2917	5359	0x2BA0FEED	RGB	24-bit color	600 dpi	02180000290001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/9	9	29.jp2	/chc0218/image/29.jp2
President of Rockbestos Company interviewing Cuban refugee for employment						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1967?	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 54; Folder No. 285; Folder Title: Rockbestos Wire & Cable Co; New Haven, CT (at English Center) 1 1967; Folder Date: 1967				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000500001001			Image					image/tiff	10411.59 KB	6145	4986	0xB06C04F9	RGB	24-bit color	600 dpi	02180000500001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/10	10	48.jp2	/chc0218/image/48.jp2
