Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											asm0567000045						asm05670000450001001		179481112 Bytes	9792	6109	1680539122	RGB	8	600	asm05670000450001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2518	2518	2617.jp2	/asm0567/image/2617.jp2
Page 2																											asm0567000045						asm05670000450002001		92161012 Bytes	6191	4961	1270066222	RGB	8	600	asm05670000450002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2519	2519	2618.jp2	/asm0567/image/2618.jp2
Lieutenant H. A. Hascall monthly summary statement of funds received and dispersed at Fort Center, February 1857		Hascall, H. A.				Florida -- History; Financial statements; Hascall, H. A.	Documents		1857-02	1850-1860	Fort Center Site (Florida)	1 ledger; 2 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 2; Folder No. 8; Folder Title: Hascall, H. A.: Abstract of Provisions and Monthly Summary Statement, 1837			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000045	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2520	2520	2619.cpd	/asm0567/supp/2520/index.pdf
Page 1																											asm0567000131						asm05670001310001001		91837996 Bytes	4974	6153	2758422282	RGB	8	600	asm05670001310001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2521	2521	2620.jp2	/asm0567/image/2620.jp2
Page 2																											asm0567000131						asm05670001310002001		91233244 Bytes	4976	6110	3879755556	RGB	8	600	asm05670001310002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2522	2522	2621.jp2	/asm0567/image/2621.jp2
Page 3																											asm0567000131						asm05670001310003001		91709176 Bytes	4976	6142	263492751	RGB	8	600	asm05670001310003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2523	2523	2622.jp2	/asm0567/image/2622.jp2
List of Commissioned Officers of the 2nd U.S. Infantry						Florida -- History; Wilder, John; United States. Army. Infantry -- History -- 19th century;	Documents		1864-12-29	1860-1870	Key West (Florida)	1 document; 3 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 4; Folder No. 7; Folder Title: Wilder, John: Roster of Commissioned Officers, 2nd USA Infantry, 1864			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000131	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2524	2524	2623.cpd	/asm0567/supp/2524/index.pdf
Page 1																											asm0567000085						asm05670000850001001		46536936 Bytes	3136	4944	1285176626	RGB	8	600	asm05670000850001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2525	2525	2624.jp2	/asm0567/image/2624.jp2
Page 2																											asm0567000085						asm05670000850002001		46613788 Bytes	3152	4927	2509775464	RGB	8	600	asm05670000850002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2526	2526	2625.jp2	/asm0567/image/2625.jp2
Page 3																											asm0567000085						asm05670000850003001		19097540 Bytes	3359	1893	3099917863	RGB	8	600	asm05670000850003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2527	2527	2626.jp2	/asm0567/image/2626.jp2
