Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000026						asm02860000260001001	image/tiff	26134.605 KB	4929	3369	0xA37AC00B	RGB	24 bit depth	600 dpi	asm02860000260001001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/0	0	1.jp2	/asm0286/image/1.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000026						asm02860000260002001	image/tiff	12092.505 KB	4188	3228	0xD8F36833	RGB	24 bit depth	600 dpi	asm02860000260002001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/1	1	2.jp2	/asm0286/image/2.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000026						asm02860000260003001	image/tiff	11486.259 KB	4188	3228	0xA60849D7	RGB	24 bit depth	600 dpi	asm02860000260003001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/2	2	3.jp2	/asm0286/image/3.jp2
Florence M. François album dedicated to her grandmother, 1917-1926		François, Florence M.		Album of photographs taken between 1917 and 1926.		François, Florence M.; Grandmothers	Photograph albums		1917-1919	1910-1920	Florida; Miami-Dade County (Miami, Florida)	1 photograph album	eng		University of Miami Libraries. Special Collections	Florida Photograph Album Collection	ASM0286	Series: I Unassigned	Box No. 3; Folder Title: Florence M. François  Album						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000026	Image						image/tiff										2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/3	3	4.cpd	/asm0286/image/4.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240001001	image/tiff	16830.788 KB	4929	3469	0x2704BF2	RGB	24 bit depth	600 dpi	asm02860000240001001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/4	4	5.jp2	/asm0286/image/5.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240002001	image/tiff	19375.317 KB	4649	3309	0x52EEC0C6	RGB	24 bit depth	600 dpi	asm02860000240002001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/5	5	6.jp2	/asm0286/image/6.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240003001	image/tiff	19318.902 KB	4628	3309	0x975E4489	RGB	24 bit depth	600 dpi	asm02860000240003001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/6	6	7.jp2	/asm0286/image/7.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240004001	image/tiff	18602.391 KB	4628	3309	0xB637F3F5	RGB	24 bit depth	600 dpi	asm02860000240004001.tif		2012-06-01	2012-06-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/7	7	8.jp2	/asm0286/image/8.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240005001	image/tiff	20173.231 KB	4628	3309	0x78A815BD	RGB	24 bit depth	600 dpi	asm02860000240005001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/8	8	9.jp2	/asm0286/image/9.jp2
Page 6																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240006001	image/tiff	18644.677 KB	4649	3309	0x99BF1072	RGB	24 bit depth	600 dpi	asm02860000240006001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/9	9	10.jp2	/asm0286/image/10.jp2
Page 7																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240007001	image/tiff	19104.606 KB	4628	3309	0xC0D8DD83	RGB	24 bit depth	600 dpi	asm02860000240007001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/10	10	11.jp2	/asm0286/image/11.jp2
Page 8																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240008001	image/tiff	18169.749 KB	4628	3309	0x7EAD7C42	RGB	24 bit depth	600 dpi	asm02860000240008001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/11	11	12.jp2	/asm0286/image/12.jp2
Page 9																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240009001	image/tiff	19165.133 KB	4628	3309	0x62A690FD	RGB	24 bit depth	600 dpi	asm02860000240009001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/12	12	13.jp2	/asm0286/image/13.jp2
Page 10																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0286000024						asm02860000240010001	image/tiff	14955.182 KB	4628	3309	0x92D1B600	RGB	24 bit depth	600 dpi	asm02860000240010001.tif		2008-06-10	2008-06-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0286/id/13	13	14.jp2	/asm0286/image/14.jp2
