Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Directory	Object ID	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Resolution	Colorspace	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Coral Gables home.		House at 1615 Country Club Prado, a residential street in Coral Gables, Florida.		Architecture, Domestic;	Photographs		1945	1940-1945	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)			University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Fountains-Homes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000230001001	Image	image/tiff	932	768	0xE2277202	24 bit color	600dpi	RGB	asm03000000230001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/0	0	22.jpg	/asm0300/image/22.jpg
Biltmore Hotel central tower		Looking upward at the central tower of the Biltmore Hotel. The arches at the bottom form a colonnade.		Miami Biltmore Hotel and Country Club; Hotels	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 color photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000150001001	Image	image/tiff	1022	737	0x43F21063	24 bit color	600dpi	RGB	asm03000000150001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/1	1	14.jpg	/asm0300/image/14.jpg
Ocean beach property, now the location of Lummus Park				Lummus Park (Florida); Beaches	Photographs		1912	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Lummus Park.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001250001001	Image	image/tiff	944	768	0x8A329435	24 bit color	600dpi	RGB	asm03000001250001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/2	2	94.jpg	/asm0300/image/94.jpg
Downtown Miami	City of Miami News Bureau	Aerial view of downtown Miami and Dinner Key.		Miami (Florida); Dinner Key (Miami, Florida); Skylines; Marinas; Yachts	Photographs; Aerial views				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: Downtown Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001000001001	Image	image/tiff	941	768	0xA2630076	24 bit color	600dpi	RGB	asm03000001000001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/3	3	70.jpg	/asm0300/image/70.jpg
Downtown Miami: 1st Avenue and 1st Street		This is the heart of downtown Miami, looking north from SE 1st Avenue and 1st Street. On the left side of the street is the Paramount; on the right is the Cortez Hotel and various shops, including "Miami's Oldest Store."		Central business districts; City traffic; Theaters; Automobiles; Trolley cars;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001180001001	Image	image/tiff	928	768	0x349910E2	24 bit color	600dpi	RGB	asm03000001180001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/4	4	87.jpg	/asm0300/image/87.jpg
Shriner parade		Shriners parade in downtown Miami.		Ancient Arabic Order of the Nobles of the Mystic Shrine for North America; Processions; Miami (Florida); Pedestrians; City traffic; Central business districts	Photographs		1923	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001200001001	Image	image/tiff	613	768	0x154CA143	24 bit color	600dpi	RGB	asm03000001200001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/5	5	89.jpg	/asm0300/image/89.jpg
Carl G. Fisher		Portrait of Carl G. Fisher, the developer known as "Mr. Miami Beach."		Fisher, Carl G. (Carl Graham), 1874-1939;	Photographs; Portrait photographs		1932	1930-1940	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Carl Fisher.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001480001001	Image	image/tiff	939	768	0x8C02712F	24 bit color	600dpi	RGB	asm03000001480001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/6	6	117.jpg	/asm0300/image/117.jpg
1926 Hurricane damage at the Coconut Grove Boatworks, Inc., yard	Kassan, Dick	The 1926 Hurricane caused extensive damage. Here, survivors survey the necessary work to be done at the Coconut Grove Boatworks boatyard.		Hurricanes; Buildings -- Natural disaster effects;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Coconut Grove (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coconut Grove.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000050001001	Image	image/tiff	936	768	0xF2D4CB8E	24 bit color	600dpi	Grayscale	asm03000000050001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/7	7	4.jpg	/asm0300/image/4.jpg
Coral Gables - 1925 - Aerial view including Venetian Pool	Hoit, Richard B.			Venetian Pool (Coral Gables, Florida); Granada Boulevard (Coral Gables, Florida); Streets;	Photographs; Aerial views		1925	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Aerial Views.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000080001001	Image	image/tiff	987	768	0x6156C1CD	24 bit color	600dpi	Grayscale	asm03000000080001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/8	8	7.jpg	/asm0300/image/7.jpg
Henry Flagler and his train		The first Florida East Coat Railway train arrives in Key West on January 22, 1912. That is railroad magnate and entrepreneur Henry M. Flagler himself at the center, with a straw hat.		Florida East Coast Railway; Flagler, Henry Morrison, 1830-1913; Railroads -- Trains; Key West (Florida)	Photographs; Portrait photographs		1912	1910-1920	Florida	Monroe County (Florida)	Key West (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Key West: Train.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001210001001	Image	image/tiff	945	768	0x8F64345F	24 bit color	600dpi	RGB	asm03000001210001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/9	9	90.jpg	/asm0300/image/90.jpg
