Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000093						asm02500000930001001	image/tiff	10520.838 KB	2493	5486	0x222C445F	RGB	24-bit depth	600 dpi	asm02500000930001001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/0	0	1.jp2	/asm0250/image/1.jp2
Page 2															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000093						asm02500000930002001	image/tiff	32052.112 KB	7195	5486	0x2B8028B6	RGB	24-bit depth	600 dpi	asm02500000930002001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/1	1	2.jp2	/asm0250/image/2.jp2
Page 3															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000093						asm02500000930003001	image/tiff	10570.931 KB	4822	5486	0xF75993AF	RGB	24-bit depth	600 dpi	asm02500000930003001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/2	2	3.jp2	/asm0250/image/3.jp2
Page 4															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000093						asm02500000930004001	image/tiff	33185.011 KB	14411	5547	0x220E7297	RGB	24-bit depth	600 dpi	asm02500000930004001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/3	3	4.jp2	/asm0250/image/4.jp2
Havana holiday via the S.S. Florida				Promotional flier for the cruise ship "Florida" and the tourist attractions available in Havana.		Sightseeing business; Cruise ships; Tourist attractions	Advertising fliers				Havana (Cuba)				University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (4).						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000093	Text						image/tiff										2013-08-14	2013-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/4	4	5.cpd	/asm0250/image/5.cpd
Page 1															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000097						asm02500000970001001	image/tiff	8268.439 KB	2463	5486	0x5A949931	RGB	24-bit depth	600 dpi	asm02500000970001001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/5	5	6.jp2	/asm0250/image/6.jp2
Page 2															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000097						asm02500000970002001	image/tiff	9781.021 KB	4791	5531	0x602C73B1	RGB	24-bit depth	600 dpi	asm02500000970002001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/6	6	7.jp2	/asm0250/image/7.jp2
Page 3															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000097						asm02500000970003001	image/tiff	9018.624 KB	4882	5411	0x16C0DA09	RGB	24-bit depth	600 dpi	asm02500000970003001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/7	7	8.jp2	/asm0250/image/8.jp2
Page 4															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000097						asm02500000970004001	image/tiff	8453.225 KB	4837	5396	0x5D246919	RGB	24-bit depth	600 dpi	asm02500000970004001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/8	8	9.jp2	/asm0250/image/9.jp2
Page 5															University of Miami Libraries. Special Collections.	Florida Promotional Materials Collection									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0250000097						asm02500000970005001	image/tiff	8478.386 KB	2438	10944	0x911E1B75	RGB	24-bit depth	600 dpi	asm02500000970005001.tif		2008-05-20	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0250/id/9	9	10.jp2	/asm0250/image/10.jp2
