Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection  No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Mary Munroe letter to Helen Muir, June 10, 1971		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes a letter to Toby, Bill, and Helen Muir, in which she describes the weather, the travels of mutual friends, and the Ryder Trophy boat race. She also describes some of the famous businesses in the Grove, such as the Whole Earth grocery store, Magruder's, and the construction of the Sokolsky building.		Cities and towns -- Growth; Boats and boating; Stores, Retail; Muir, Helen, 1911-; letters	Correspondence		1971-06-10	1970-1980		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000090001001	image/tiff	12172.817 KB	5260	7375	0x47A8E92F	RGB	24 bit depth	600 dpi	asm04710000090001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/0	0	4.jp2	/asm0471/image/4.jp2
Mary Munroe letter to Helen Muir, August 2, 1971		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to Helen Muir about various activities and personalities in Coconut Grove.		Muir, Helen, 1911-; letters; Coconut Grove, Florida	Correspondence		1971-08-02	1970-1980		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000080001001	image/tiff	14755.346 KB	5290	8577	0xC4D2097B	RGB	24 bit depth	600 dpi	asm04710000080001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/1	1	3.jp2	/asm0471/image/3.jp2
Introduction for citation, Marjory Stoneman Douglas, Fairchild Tropical Botanic Garden, March 19, 1978				Script of a speech given on the occasion of the planting of a tree at Fairchild Tropical Botanic Garden in commemoration of Marjory Stoneman Douglas.		Douglas, Marjory Stoneman; Fairchild Tropical Botanic Garden	Announcements		1978-03-19	1970-1980	Coral Gables, Florida	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 4;  Folder Title: Douglas, Marjory Stoneman.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000020001001	image/tiff	12732.436 KB	5272	6778	0x1964D181	RGB	24 bit depth	600 dpi	asm04710000020001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/2	2	1.jp2	/asm0471/image/1.jp2
Mary Munroe letter to Helen Muir, June 27, 1972		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to Helen Muir about being in Balsam, North Carolina, and remarks about her Coconut Grove home: "Want to be back there anyhow by July 6th as the Beach is not giving camping ground to the radicals and the other tracts offered by Miami are [unacceptable] to the hoodlums."		Muir, Helen, 1911-; letters	Correspondence		1972-06-27	1970-1980	Balsam, North Carolina	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000130001001	image/tiff	10855.738 KB	4491	6538	0xA20945BD	RGB	24 bit depth	600 dpi	asm04710000130001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/3	3	5.jp2	/asm0471/image/5.jp2
Mary Munroe letter to Helen Muir, July 29, 1972		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to Helen Muir about various activities and personalities in Coconut Grove. She mentions "a great hassle going on about Goldberg and his Fair Isle project," referring to what would become of the Grove Isle Hotel. Other news involves Patty Catlow and the 1972 Democratic presidential candidate, George McGovern, and the scandal about his running mate, Thomas Eagleton.		Grove Isle Hotel (Miami, Fla.); Catlow, Patty Wirth Munroe, 1900-1991; McGovern, George S. (George Stanley), 1922-; Eagleton, Thomas F., 1929-; letters	Correspondence		1972-07-29	1970-1980		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000140001001	image/tiff	16373.927 KB	5305	8487	0xA571C8FA	RGB	24 bit depth	600 dpi	asm04710000140001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/4	4	6.jp2	/asm0471/image/6.jp2
Jane Fisher letter to Helen Muir, May 14, 1953		Fisher, Jane (Jane Watts)		Jane Fisher notifies the Muirs that a new deluxe edition of her book "Fabulous Hoosier," a biography of her husband Carl Fisher, will be published, with an implicit invitation for them to buy one.		Fisher, Carl G. (Carl Graham), 1874-1939; Muir, Helen, 1911-; letters	Correspondence		1953-03-14	1950-1960	Miami Beach, Florida	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 6; Folder Title: Fisher, Jane.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04710000060001001	image/tiff	10243.062 KB	5272	6763	0xD396D70F	RGB	24 bit depth	600 dpi	asm04710000060001001.tif		2008-06-08	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/5	5	2.jp2	/asm0471/image/2.jp2
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000011						asm04710000110001001	image/tiff	13956.06 KB	5275	8592	0xCA9F7273	RGB	24 bit depth	600 dpi	asm04710000110001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/24	24	25.jp2	/asm0471/image/25.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000011						asm04710000110002001	image/tiff	15148.816 KB	5290	8652	0xDD6A5E80	RGB	24 bit depth	600 dpi	asm04710000110002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/25	25	26.jp2	/asm0471/image/26.jp2
Mary Munroe letter to Helen Muir, June 28, 1971		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to the Muirs about activities and personalities in Coconut Grove. Excerpts: "See that the triangular corner at 27th St. and So. Bayshore Drive is to have a 10 story prestige office building with two stories of parking, on top of which a plaza and a tower rising above--- all with the blessing of the Chamber of Commerce and COGZAC and the City's approval. We'll wait and see."  "First summer performance at the Playhouse was the great Kreskin, ESP expert."  "You'll be interested to know Bill Clemmer and his group on Florida Ave. have been joined [by] other groups occupying the small houses to the east with the result that quite a nice community of artists and artisans has sprung up."  She concludes with an anecdote about a "hippie girl" disrupting a church service.		Muir, Helen, 1911-; Cities and towns -- Growth; letters	Correspondence		1971-06-28	1970-1980		2 typewritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000011	Text					asm0471000011	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/26	26	27.cpd	/asm0471/image/27.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000015						asm04710000150001001	image/tiff	10905.04 KB	4476	6688	0x735C01B	RGB	24 bit depth	600 dpi	asm04710000150001001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/27	27	28.jp2	/asm0471/image/28.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000015						asm04710000150002001	image/tiff	10226.88 KB	4476	6658	0x660860BD	RGB	24 bit depth	600 dpi	asm04710000150002001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/28	28	29.jp2	/asm0471/image/29.jp2
Helen Muir letter to Mary Munroe, August 8, 1976		Muir, Helen, 1911-		Muir describes her recent activities, including purchasing books from B. Dalton for the Coconut Grove Library.		Munroe, Mary; letters	Correspondence		1976-08-08	1970-1980	Miami, Florida	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000015	Text					asm0471000015	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/29	29	30.cpd	/asm0471/image/30.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000003						asm04710000030001001	image/tiff	13031.215 KB	5272	6793	0xF72BF07A	RGB	24 bit depth	600 dpi	asm04710000030001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/30	30	31.jp2	/asm0471/image/31.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000003						asm04710000030002001	image/tiff	10489.223 KB	5272	6793	0x55CBC853	RGB	24 bit depth	600 dpi	asm04710000030002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/31	31	32.jp2	/asm0471/image/32.jp2
Una Groves letter to Marjory Stoneman Douglas		Groves, Una		Groves, a neighbor of Marjory Stoneman Douglas, living at 3768 Stewart Avenue (Douglas lived at 3744), recounts her attempts to renovate her home. She writes that the neighbors were agreeable at first, but that "as we are planning the final stages of the renovation and I again go to the neighbors who are immediately affected and are going to see the front side of the house and yard everyday I encounter abuse and vindictiveness hard to imagine." Groves refers to Douglas's description of her plans as "obsessions."		Land use; Douglas, Marjory Stoneman; letters	Correspondence					2 typewritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 4;  Folder Title: Douglas, Marjory Stoneman.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000003	Text					asm0471000003	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/32	32	33.cpd	/asm0471/image/33.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000010						asm04710000100001001	image/tiff	14818.867 KB	5275	8622	0xBD12D9CF	RGB	24 bit depth	600 dpi	asm04710000100001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/33	33	34.jp2	/asm0471/image/34.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000010						asm04710000100002001	image/tiff	14138.552 KB	5275	8622	0xB8568C1A	RGB	24 bit depth	600 dpi	asm04710000100002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/34	34	35.jp2	/asm0471/image/35.jp2
Mary Munroe letter to Helen Muir, July 11, 1971		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to Helen Muir about various activities and personalities in Coconut Grove. She mentions Bill and Patty Catlow, activist Nikki Beare, and the shooting of a Mr. Enlee on Solana Road. She comments: "The Coconut Grove Park is being equipped with lights for night baseball, a fact I'm not too happy about."		Muir, Helen, 1911-; Catlow, Patty Wirth Munroe, 1900-1991; Catlow, William, d. 1984; letters	Correspondence		1971-07-11	1970-1980		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000010	Text					asm0471000010	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/35	35	36.cpd	/asm0471/image/36.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000012						asm04710000120001001	image/tiff	9126.135 KB	4491	6433	0x2C91585A	RGB	24 bit depth	600 dpi	asm04710000120001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/36	36	37.jp2	/asm0471/image/37.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000012						asm04710000120002001	image/tiff	9044.896 KB	4491	6433	0xBEF83F4C	RGB	24 bit depth	600 dpi	asm04710000120002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/37	37	38.jp2	/asm0471/image/38.jp2
Mary Munroe letter to Helen Muir, July 18, 1972		Munroe, Mary		Mary Munroe (wife of Wirth Munroe, daughter-in-law of Ralph Munroe) writes to Helen Muir about the travels of their mutual friends. She comments: "Found the Grove in remarkably good condition - very, very few hippies, etc., in the streets or park. Someone said they'd been invited to spend the time between conventions in St. Pete. Hope it's true! ... They have the high intensity lights all over the Grove now and it doesn't look too bad."		Muir, Helen, 1911-; letters	Correspondence		1972-07-18	1970-1980	Miami, Florida	2 handwritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Correspondence: Munroe, Mary.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000012	Text					asm0471000012	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/38	38	39.cpd	/asm0471/image/39.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000001						asm04710000010001001	image/tiff	5043.118 KB	3394	5275	0xB07CA335	RGB	24 bit depth	600 dpi	asm04710000010001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/39	39	40.jp2	/asm0471/image/40.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000001						asm04710000010002001	image/tiff	5596.584 KB	3665	5275	0xCE43038E	RGB	24 bit depth	600 dpi	asm04710000010002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/40	40	41.jp2	/asm0471/image/41.jp2
