Title	Translated title	Creator	Sender	Contributors	Recipient	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																													asm0566000011						asm05660000110001001		27988190 Bytes	4698	1984	273596036	RGB	8	600	asm05660000110001001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/182	182	203.jp2	/asm0566/image/203.jp2
Page 2																													asm0566000011						asm05660000110002001		28176390 Bytes	2010	4669	2288824721	RGB	8	600	asm05660000110002001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/183	183	204.jp2	/asm0566/image/204.jp2
Bill of exchange endorsed by Lord Baltimore and others, 1765								Baltimore, Frederick Calvert, Baron, 1731-1771 -- Autographs; Ridgely, John	Documents; Manuscripts; bills of exchange		1765-09-02	1760-1770	Baltimore (Maryland)	[2] pages on 1 leaf	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 15; Folder Title: Calvert, Frederick, Lord Baltimore: Bill of Exchange and Endorsement, 1765			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000011	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/184	184	205.cpd	/asm0566/supp/184/index.pdf
Page 1																													asm0566000096						asm05660000960001001		90556536 Bytes	4944	6104	1185279721	RGB	8	600	asm05660000960001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/185	185	206.jp2	/asm0566/image/206.jp2
Page 2																													asm0566000096						asm05660000960002001		90145884 Bytes	6075	4945	2493539697	RGB	8	600	asm05660000960002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/186	186	207.jp2	/asm0566/image/207.jp2
Cotton Auction Account, 1834		Taylor, H. R.						Taylor, H. R.; Cotton -- Economic aspects; Cotton -- Losses; Nourse, Taylor & Brooks; Accounts	Documents		1834-12-15	1830-1840	Apalachicola (Florida)	1 document	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 32; Folder Title: Folder Title: Taylor, H. R. : Cotton Auction Account, 1834			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000096	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/187	187	208.cpd	/asm0566/supp/187/index.pdf
Page 1																													asm0566000013						asm05660000130001001		38596080 Bytes	2844	4521	3464476455	RGB	8	600	asm05660000130001001.tif		2013-05-01	2013-05-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/188	188	209.jp2	/asm0566/image/209.jp2
Page 2																													asm0566000013						asm05660000130002001		29910628 Bytes	2834	3515	2030467096	RGB	8	600	asm05660000130002001.tif		2013-05-01	2013-05-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/189	189	210.jp2	/asm0566/image/210.jp2
Charles Landseer letter, 1873								Campbell, Thomas, 1777-1844									University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science							http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000013	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/190	190	211.cpd	/asm0566/supp/190/index.pdf
Page 1																													asm0566000098						asm05660000980001001		22661260 Bytes	3980	1896	3419915079	RGB	8	600	asm05660000980001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/191	191	212.jp2	/asm0566/image/212.jp2
