Title	Translated Title	Variant Title	Uniform Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	IBISWEB Link	Call No.	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Date Digital	Original Source	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000026	asm02500000260001001		SIGHTSEEING  RED TOP TOURS            :  L              Miami s Oldest Sightseeing Company             1  I              TOUR No.  1  TOUR No. 2  f            MIAMI BEACH  CITY AND COUNTRY  |               10:30 A.  M.  2:00 P. M.  [                  Price  $1.50  Price  $1.50  [                          Morning and  Afternoon, $2.50                         j  [                        Points  of Interest  [     Yacht  Basin  Downtown Area                     jj  [     Causeways  Bay Front Park                       ;  [     Venetian Islands  Point View                               {  [     Flagler Monument  Estates of—                           ll  [     Palm Island  Arthur Brisbane                  {  [     Star Island  W. J. Bryan                         I  r     Lincoln Road Shops  \     Lummus Park  James Deering  Arthur Curtis James            J  and many others                 j  Jungle Trail  r      Beaches  r     Golf Courses  Silver Bluff  [      N. Bay Road  Pan American Airways  l     Pine Tree Drive  International Airport         ||  [      Millionaires Row  Coconut Grove                       1  t          Including Estates of:  r         E. H. R. Green  Beautiful Enfrada                   j  [         Harvey Firestone  Chinese Village                      J  [         John D. Hertz  Plymouth Church                     1  y         A. D. Lasker  Coral Gables                         j  $         W. O. Briggs  Biltmore  Hotel                        j|  I         W. G. Wright  L         N. Teller Archibald  Venetian Pool                          |  \         Gar Wood  Citrus Groves  r          and many others  Everglades                               «|  [     Everglades Ave.  Golf Courses                           |  i         Causeway  Seminole Indians  [     Little River  Alligator Farm                        ]|  [     Buena Vista  Allapattah Farms                   i  [     Miramar  Negro Section                       j  l     Bus leaves from Corner of Biscayne Boulevard    |  ►                and East Flagler Street/ Opposite                ]|  McAII  ister Hotel                              jl  YOU SEE IT ALL THE RED TOP WAY! 		image/tiff						76828488 Bytes	2373	5396	492038728	RGB	16	600	asm02500000260001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/0	0	1.jp2	/pamphlets/image/1.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000026	asm02500000260002001		A Word with You—  In order to get a comprehensive idea of the  Miami area, it is most necessary to have some  aid.  We, the oldest sightseeing company in  Miami, who have been in this business since  the days of the horse and carriage, are in  position to help you.  The intelligent person readily realizes that a  complete knowledge of this section cannot be  obtained in a haphazard manner.  We employ for your benefit local men who  have grown with the community to be your  guides. You will find their information correct  and you will marvel at their ability to identify  the various flowers, trees and shrubs peculiar to  this section.  Our guides show you all of the estates of  importance and relate to you incidents concerning these estates and their owners.  Due to the extent of our trips it is impracticable to enumerate the hundreds of interesting points in our tours itinerary, however, all  points of interest enroute are fully explained.  Our equipment is the low back, air cushion,  parlor chair type, with wide windows to insure  the greatest possible vision.  Your satisfaction is assured on the RED  TOP TOURS.  Red Top Cab & Baggage Co,  LATE MODEL TAXICABS  Low Rates — Receipt Giving Meters  $10,000 and $20,000 LIABILITY INSURANCE  7-PASSENGER  SEDANS  BAGGAGE CHECKED TO DESTINATION  Auto Storage — Fireproof Garage  MIAMI MIAMI BEACH  Phone 3-3131 Phone 5-3497  44 S. W. THIRD STREET, MIAMI  Established 25 Years  P*l&&^**^*&lt;&lt;- m.* }Hf(*m?^ tj&/?s , $ jr, %5~~ 		image/tiff						76828488 Bytes	2373	5396	3724350824	RGB	16	600	asm02500000260002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/1	1	2.jp2	/pamphlets/image/2.jp2
Red Top Tours						Promotional material for Red Top Tours, Miami's oldest sightseeing company.		Red Top Cab and Baggage Co.; Sightseeing business	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 7; Folder Title: Miami (9).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000026		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/2	2	3.cpd	/pamphlets/supp/2/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000001	asm02500000010001001		SE  HABLA  ESPANOL  at  truly  moderate  cost   is  offered   at  the   Robert  Clay—and   at  all   of  the  Hotels  International.  Guest rooms and suites at the Robert Clay are large, airy, all outside,  luxuriously furnished. Each has private bath and shower. Rooms and suites  command incomparable views of Biscayne Bay and the ocean. There's  steam heat for cool mornings and evenings in season.  The Robert Clay is centrally located, near the downtown shopping and  theatre district, yet its situation in beautiful Dallas Park assures quiet  and freedom from traffic noise. Ample parking is provided.  Entertainment to fill your days and nights is at hand—our own great  pool and cabana club, the solarium, the mezzanine for cards and  music, the luxurious, beautifully appointed lobby. The races, golf,  fishing, night life are all close at hand.  For cocktails, there's the air conditioned Smoky Hollow Lounge,  and for dining the air conditioned Panama Room. The Snack Bar  at the pool  is open  for luncheon daily. Make the Robert Clay  your Miami home. Enjoy the ultimate in comfortable tropical  living at moderate cost.  EUROPEAN PLAN  For reservations or information please write or wire  THE ROBERT CLAY HOTEL  Fred T. Quinn, Mgr.  Miami, Florida  —   One of the —  HOTELS  INTERNATIONAL,  INC.  William Liebow, President  HOTEL  INTERNACIONAL  Panama, R. of P  ^     ^   HOTEL VARADERO  INTERNACIONAL  Varadero Beach, Cuba  /i***J 		image/tiff						118123686 Bytes	7193	5474	722595369	RGB	8	600	asm02500000010001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/3	3	4.jp2	/pamphlets/image/4.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000001	asm02500000010002001		Enjoy     Miami's  ■n-Mm   ,,:  T*f   AT   THE    ROBERT    CUV,  Only     DOWNTOWN     POOL  1111  mmm. ami  wmmMM. 		image/tiff						118123686 Bytes	7193	5474	2221572147	RGB	8	600	asm02500000010002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/4	4	5.jp2	/pamphlets/image/5.jp2
Robert Clay Hotel						This promotional flier for the Robert Clay Hotel in Dallas Park boasts that it has Miami's only downtown swimming pool. Famous guests at the Clay included Elvis Presley (in 1956), Tennessee Williams and Gore Vidal.	This tall hotel was founded in 1925 by Dr. R.C. Hogue; it was torn down in the 1960s and the property used for construction of the James L. Knight Convention Center.	Robert Clay Hotel (Miami, Florida); Hotels	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (1).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000001		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/5	5	6.cpd	/pamphlets/supp/5/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000073	asm02500000730001001		^3  .&lt;$=&  GRAY LINE  WE OPERATE IN THE FOLLOWING CITIES:  Anchorage, Alaska  Jasper Park, Alherta  Pueblo, Colo.  Asheville, N. C.  Juarez, Mexico  Quebec City, P. Q.  Atlanta, Ga.  Juneau, Alaska  Richmond, Va.  Atlantic City, N. J.  Kansas City, Mo.  Roanoke, Va.  Banff, Alberta  Key West, Fla.  St. Augustine, Fla.  Billings, Mont.  Knoxville, Tenn.  St. Croix, Virgin Islands  Boston, Mass.  Lake Louise, Alberta  St. Louis, Mo.  Buffalo, N. Y.  Las Vegas, Nev.  St. Paul, Minn.  Canadian Rockies  Lihue, Kauai, Hawaii  St. Petersburg, Fla.  Carlsbad Caverns  Los Ance'les, Calif.  St. Thomas, Virgin Islands  Charleston, S. C.  Mesa Verde National Park Salt Lake City, Utah  Chattanooga, Tenn.  Mexico City, Mexico  San Antonio, Texas  Chicago, 111.  Miami, Fla.  San Diego, Calif.  Cleveland, Ohio  Miami Beach, Fla.  San Francisco, Galif.  Cqlorado Springs, Colo.  Milwaukee, Wise.  San Juan, Puerto Rico  Columbia Icefield  Minneapolis, Minn.  San Isabel National Forest  Death Valley, CaKf.  Mobile, Ala.  Santa Barbara, Calif.  Del Monte, Calif.  Montana-Wyoming Rockies Sante Fe, N. M.  Denver, Colo.  Monterey, Calif.  Seattle, Wash.  Detroit, Midi.  Monterrey, Mexico  Smoky Mountains  El Paso, Texas  Mont Joli, P. Q.  Spokane, Wash.  Fairbanks, Alaska  Montreal, P. Q.  Tampa, Fla.  Ft. Lauderdale, Fla.  Nantucket Island, Mass.  Toronto, Ont.  Gaspe, Peninsula  New Orleans, La.  Tucson, Ariz.  Halifax, N. S.  New York City, N. Y.  Vancouver, B. C.  Havana, Cuba  Niagara Falls  Victoria, B. C.  Hilo, Hawaii, Hawaii  Oakland, Calif.  Wailuku, Maui, Hawaii  Honolulu, Oahu, Hawaii  Omaha-Boys Town, Nebr.  Washington, D. C.  Hoover Dam, Nev.  Palm Beach, Fla.  West Palm Beach, Fla.  Houston, Texas  Philadelphia, Pa.  Winnipeg, Manitoba  Indian Detours, N. M.  Phoenix, Ariz.  Yellowstone Park  Jacksonville, Fla.  Portland, Ore.  Extensions  VISIT BOSTON . . . America's most historic  city . . . Also Lexington, Concord, Cape Cod,  Salem, Marblehead and famous battleground  at Bunker Hill.       Boston office: Hotel Statler.  SEE OUR AGENTS  111 I fl III I   BEHCH  GRAY  siBHTSccine  BOAT CRUISES  DIFFERENT  CRUISES  GRAY LINE  The Graphic Press, Inc.  of Hollywood  FOR INFORMATION AND RESERVATIONS  PHONE 5-4604  DOCKS     OPPOSITE    WOT FORD     BEACH  AND       R O N E Y       PLAZA       HOT ELS.  DIFFERENT  CRUISES  EVERY   ONE   AN  ADVENTURE  CRUISE    NORTH BAY CRUISE RESIDENTIAL  No.   1       ISLANDS OF MIAMI BEACH  This is our introductory and shortest cruise to acquaint  you with the beauty of the magic islands and waterways of Miami Beach. Our boats are the only boats  that start from the beginning:—Lake Pancoast, then into  Indian Creek, traveling the entire length to its Northern  terminus. Then into Paradise Bay, where you will find  some of the most beautiful homes, hotels, and scenic  spots that make Miami Beach "The Magic City." We  get a good view of the newer Northern Islands and  developments, especially LaGorce Island "a dream  come true," where many motion picture scenes have  been made.  8iI?:eSl| PI!  Turning South into Biscayne Bay you are afforded a fine panoramic view of the homes,  more islands, and the causeways, the shore  line and the beautiful sky line of the City of  Miami, and the fine Miami Beach Bay front;  then winding through Biscayne and Flamingo  Waterways, and Surprise Lake back to our  point of origin. THIS IS A WELL PLANNED  CRUISE FOR THOSE ALLOTTING THEMSELVES A SHORT TIME.  SAILING DAILY  10:30 A.M. AND 3:00 P.M.  TIME: APPROX. 2 HOURS  FARE $1.87, Plus tax 280; Total, $2.15  Our  Everglades  Cruise Mo. 2 Is A Florida Must 		image/tiff						158223270 Bytes	9598	5495	1275902056	RGB	8	600	asm02500000730001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/6	6	7.jp2	/pamphlets/image/7.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000073	asm02500000730002001		FINEST SIGHTSEEING  BOATS  IN THE WORLD  GRAY LINE  *-*»   &lt;&*    Hi VhklillV  B    ' m   Hi I  The NIKKO SIGHTSEEING CO.. Inc. ticket agents for  GRAY LINE. PANCOAST.   and  WOFFORD BOATS  No. 3 SOUTH BAY  AND ISLAND CRUISE  COMBINATION MIAMI-MIAMI BEACH CRUISE  A comprehensive cruise that takes in all of Miami Beach, through  the South Bay, passing the famous waterfront of the City of Miami,  with a fine close-up view of commercial docks and piers, beautiful  Bayfront Park with its historic interest, the Miami River, and along  the Gold Coast where so many notables have fine homes. We  cruise along the beginning of the famous Florida Keys so full of  history and pirate lore. All this time you enjoy the gorgeous view  of Miami's skyline, the expanse of Biscayne Bay, with a peek at  the Atlantic Ocean which we never enter because ALL OUR  CRUISES ARE CONFINED TO SAFE AND QUIET WATERS. We  continue on south, passing under the new $6,500,000 Rickenbacker  Causeway, and the famous Italian Palazzo, Vizcaya, a fortress-like  structure which houses a collection of European decorative art and  architecture unsurpassed in America. This is a sight never to be  forgotten and nowhere duplicated.  Next, the Vanderbilt Estate, Squatter's Island, United States Coast  Guard Base, and the United States Quarantine Stations, passing  No. 4 INDIAN  VILLAGE CRUISE  On this cruise you will see Coppinger's Tropical  Gardens, a veritable jungle, the finest and oldest in  South Florida; the founder having developed them  from the tropical trees, plants and flowers originally  sent him by the Government for experimental purposes from Central and South America.  It is here that you will find one of the original Seminole Indian Trading Posts, and a monument erected  in memory of Chief Tiger Tail.  The Coppinger Boys are known as the original Alligator Boys. Their feats have been filmed by Fox  Movie Tone and other Newsreels. For your entertainment, on this cruise you will witness the thrilling  alligator wrestling.  This trip also includes a well rounded and planned  sightseeing cruise of Miami Beach homes, islands,  waterways, skyline, and the waterfront of the City  of Miami, and an interesting trip up the Miami River.  This cruise is enjoyable to adults and children alike.  Bring your cameras and have your picture taken  with the Seminole Children.  SAILING DAILY 1:15 P.M.  APPROX. 3V2 HOURS  FARE: $3.00, plus tax 450 — Total $3.45  (Fare includes admission to Indian Village.)  No. S MOONLIGHT 		image/tiff						139737522 Bytes	9598	4853	607394243	RGB	8	600	asm02500000730002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/7	7	8.jp2	/pamphlets/image/8.jp2
Page 3																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000073	asm02500000730003001		into Flamingo bay, a beautiful panorama ot tropical lianas, nomes  and hotels, then into Surprise Lake, a paradise in itself. The beauty  of Miami Beach, its man-made islands, gorgeous homps and hotels,  are not neglected in this all-inclusive cruise.  SAILING DAILY 10:30 A.M. and 1:45 P.M. TIME: APPR0X. 3 HOURS  FARE: $3.00, plus tax 450, Total $3.45  No. 6   VIZCAYA  CRUISE (Deering Estate)  This cruise includes all of the South Bay Cruise No.  3 (see above).  On Christmas Day, 1916, James Deering opened,  after many years of travel throughout the world,  Vizcaya, located on the shores of Biscayne Bay.  His home was built around the priceless objects of  art gathered from far-off places. In 1952, by arrangement with the heirs, Dade County acquired  Vizcaya as a public museum.  Here on Biscayne Bay an army of 1,000 Italian  stonecutters, cabinetmakers, painters, plasterers,  gardeners, and other artisans worked for five years  to build the palazzo, carve statues and ornamental  stonework, complete the landscaping and install  the waterworks system for the series of fountains  and a chain of small canals.  SAILING DAILY  (EXCEPT SATURDAY) 10:30 a.m.  RETURNS AT 5:00 p.m.  FARE: $3.06, Plus Tax 480  TOTAL $3.52  Vizcaya's formal Italian Gardens were planned to  equal in detail and ingenuity the landscape masterpieces of Villa Albani in Rome or the Villa d'Este  in Tivoli. Mr. Deering had traveled widely abroad.  For twenty-five years he had collected in Europe,  architectural backgrounds, rare Period furniture, textiles, sculpture, and ceramics. To enshrine them he  built Vizcaya, his home until his death in 1925. His  palazzo on Biscayne Bay became a repository of  Italian decorative art unexcelled in America. His  art-loving heirs have kept it so to this day.  It is estimated that $16,000,000 was spent on the  construction of fabulous Vizcaya. Mr. Deering never  let it be known. No matter what the cost, Vizcaya  could not be reproduced today.  LUNCH AVAILABLE AT VIZCAYA  Admission To  Fabulous Grounds and  Museum $2.23 Extra  DOCKS  At 24th Street and Collins  Avenue, Miami Beach.  Opposite Wofford Beach  and Roney Plaza Hotels.  Parking Space Available.  GRAY LINE  INFORMATION  For information and reservations see your travel  agent   or   your   hotel,   or  PHONE 5-4604.  '*»***  BAY CRUISE  Miami Beach and Miami City Bay Cruise by night.  A delightful 2V2 hour cruise in the balmy evening  breezes, in and around the waterfront of Miami Beach.  See the skyline of the cities of Miami and Miami Beach  by night.  SAILING EVERY EVENING 9:00 P.M. 2x/2 HOURS  FARE: $2.45, plus tax 300 — Total $2.75  ON MOONLIGHT CRUISE ONLY  Reservations must be confirmed by calling our Miami Beach  Docks,   Phone  5-4604,  prior to  8  P. M.  on  date  of  sailing.  SIX    DIFFERENT    CRUISES  ALL   OUR   CRUISES   ARE   CONFINED   TO   SAFE   AND   QUIET   WATERS   THO'   THE   OCEAN  MAY   BE  ROUGH 		image/tiff						158223270 Bytes	9598	5495	3832530855	RGB	8	600	asm02500000730003001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/8	8	9.jp2	/pamphlets/image/9.jp2
Page 4																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000073	asm02500000730004001		FORT   LAUDERDALE   CRUISE  ALL DAY CRUISE — EVERGLADES AND IUNGLES. FORT  LAUDERDALE.    STOPOVER  AT  THE  CHIMPANZEE  AND  ONKEY FARM. STARTING POINT: MIAMI BEACH ONLY.  hile riding along smooth waters that rival the Canals of Venice  get a good view of the important places of Miami Beach.  Through Biscayne Bay past Baker's Haulover we enter the Intra-  Waterway, banked on either side by natural mangrove  coming into Hollywood Beach with a close up view of  ous Hollywood Beach Hotel and Casino. One hour  .ch at Hollywood Beach.  lien on into the Harbor of Port Everglades, one of the finest ports  the South. We proceed up New River with its twists and turns  into the Venice of America, Fort Lauderdale, with more water  frontage for private homes than any city in America. Passing  north into the last bit of untouched Everglades jungle that man  is permitted not only to see, but to enter (this can be done only  by boat). Relax, because you will travel in safety and comfort  amid the Hyacinths, wild birds, and alligators. THESE ARE THE  REAL EVERGLADES AND JUNGLES, NATURE'S LAST STAND,  UNTOUCHED BY MAN.  We next enter the Dania River, stopping at the famous CHIMPANZEE AND MONKEY FARM, where you will witness an exhibition of ALLIGATOR WRESTLING at the INDIAN VILLAGE.  These attractions are included AT NO EXTRA COST TO YOU.  Here you will see the finest collection of Chimpanzees and monkeys in the world—some trained. Included are several of the  very few baby chimps ever born in captivity. Now we board  the boat for a leisurely sail back home. The boat is yours for  the day. Bring your camera.  SAILING DAILY  LEAVE MIAMI BEACH 10:30 A.M.  RETURN 7 P.M.  Fare $4.87 plus tax 730 Total $5.60  WE  PICK  UP   PASSENGERS   AT  BAKER'S  HAULOVER DAILY AT 11:30 A.M.  RETURN AT 6 P.M.  FARE: $4.00, plus tax 60c, TOTAL $4.60  FARE INCLUDES ADMISSION TO FAMOUS  CHIMPANZEE AND MONKEY FAE  LAND   TOURS  GRAY LINE SIGHTSEEING COMPANY  LAND TOUR NO. 1  Seeing   Miami,   Coral   Gables,   Riviera   Section   Coconut   Grove,  Venetian Pool,  Indian Camp.  Leaves Daily: 2% hrs. Miami 2:15 P.M. — Miami Beach 1:15 P.M.  Fare: $1.50, tax 23c, expenses 50c — Total $2.23  LAND TOUR NO. 2  Seeing Miami Beach,  Miami  Springs,  International  Airport,  Hialeah, Venetian Islands.  Leaves Daily: 2% hrs. Miami 10:15 A.M. — Miami Beach 9:15 A.M.  Fare: $1.50, tax 23c — Total $1.73  LAND TOUR NO. 3  COMBINATION (Both Tours Nos. 1 and 2).  Fare: $2.50, tax 38c, expenses 50c — Total $3.38  LAND TOUR NO. 4  NIGHT CLUB TOUR  Tuesdays, Thursdays, Saturdays only.  Miami 8:30 P.M. — Miami Beach 7:45 P.M.  Fare: incl. expenses $9.04, taxes 53c — Total $9.57  An informal sightseeing tour of Miami and Miami Beach after  dark, for ladies and gentlemen, either escorted or alone. Includes  sightseeing transportation, guide-escort, cover or minimum charges  und first round of drinks at each night club. Three floor shows,  dancing,  midnight  snack.  LAND TOUR NO. 5  EVERGLADES NATIONAL PARK AND COUNTRY  TOUR  January 1 to April 30: Tuesday, Thursday, Sunday only.  May 1 to December 31: Thursday and Sunday.  Miami 9:30 A.M. — Miami Beach 8:45 A.M.  Fare: incl. expenses $7.75, taxes 60c — Total $3.35  LAND TOUR NO. 6  PARROT JUNGLE AND COUNTRY TOUR-  -4 HOURS  Daily except Sunday. Miami 1:30 P.M. — Miami Beach 12:45 P.M.  Fare: incl. admissions $3.50, tax 38c — Total $3.88  Gray Lines' new tour covering highlights such as Rickenbacker  Causeway, Crandon Park, Virginia Key, Biscayne Key, Matheson  Hammock,  Fruit  Grove  and  Packing  House,   Tropical  Park  and  Tamiami Trail.  ALL EXPENSE TOURS TO KEY WEST  One Day— Fare, $10.10, tax $1.31, Total $11.41.  Lunch and complete sightseeing tour of Key West.  Two Day — Fare, $19.40, tax $1.54, Total $20.94.  One Day Tour plus dinner, room and bath and breakfast.  GREYHOUND BUS TERMINALS  MIAMI — 275 N.E. 1st St. Phone 3-4605  MIAMI BEACH — 638 Collins Ave. Phone 58-0381 		image/tiff						140313402 Bytes	9598	4873	2315780316	RGB	8	600	asm02500000730004001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/9	9	10.jp2	/pamphlets/image/10.jp2
