Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Diosa Costello, Puerto Rican dancer and performer					Written on front: "Para 'Jose Curbelo', Un gran pianista y un Buen compañero, Sinceramente, Diosa Costello".	Curbelo, José, 1917-2012; Costello, Diosa;	Photographs;					1 b&w photograph; 25.6 x 20.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000112						chc52990001120001001		90959280 Bytes	4928	6151	1510752956	RGB	8	600	chc52990001120001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/0	0	54.jp2	/chc5299/image/54.jp2
José Curbelo (member with eyeglasses) during his stint with the Riverside Orchestra		Donnadieu Estudio				Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- Cuba;	Advertisements; Photographic postcards;			1930-1940	Havana (Cuba);	1 postcard; 8.8 x 13.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000101						chc52990001010001001		21564268 Bytes	3348	2144	1969081968	RGB	8	600	chc52990001010001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/1	1	25.jp2	/chc5299/image/25.jp2
From medicine to music					José Curbelo profiled by Tel-Pics. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Clippings; Reproductions;	Tel-Pic Syndicate, Inc.	1946-12-05	1940-1950	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000015						chc52990000150001001		27776572 Bytes	2489	3717	2675947030	RGB	8	600	chc52990000150001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/2	2	65.jp2	/chc5299/image/65.jp2
America's top rhumba man		Madison, Chick			Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Clippings; Reproductions;	Musical express	1949-08-19	1940-1950	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000013						chc52990000130001001		28254180 Bytes	2542	3702	2757808267	RGB	8	600	chc52990000130001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/3	3	31.jp2	/chc5299/image/31.jp2
Midnight memos		Bruun, Paul M.			José Curbelo plays the Sunny Isles nightclub. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- Florida -- Miami;	Clippings; Reproductions;		1950-01-29	1950-1960	Miami (Florida);	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000072						chc52990000720001001		26841712 Bytes	3634	2460	3370103241	RGB	8	600	chc52990000720001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/4	4	103.jp2	/chc5299/image/103.jp2
José Curbelo show at the Palladium nightclub in New York City					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Advertisements; Clippings; Reproductions;	Daily news	1949-11-09	1940-1950	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000055						chc52990000550001001		27191272 Bytes	2490	3637	2485110264	RGB	8	600	chc52990000550001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/5	5	117.jp2	/chc5299/image/117.jp2
In person . . .					José Curbelo featured in the Beachcomber column. Photographic reproduction of a magazine clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Clippings; Reproductions;		1949-07-16	1940-1950		1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000039						chc52990000390001001		26544792 Bytes	3616	2445	726455153	RGB	8	600	chc52990000390001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/6	6	34.jp2	/chc5299/image/34.jp2
José Curbelo and Tito Puente shows at the Blue Haven nightclub in Jackson Heights, New York					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Puente, Tito, 1923-2000; Rumbas; Mambo (Dance); Latin jazz -- Cuba; Nightclubs -- New York (State) -- Jackson Heights;	Advertisements; Clippings; Reproductions;	Daily mirror	1955-03-16	1950-1960	Jackson Heights (New York, New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000017						chc52990000170001001		28561932 Bytes	2538	3748	2996280191	RGB	8	600	chc52990000170001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/7	7	105.jp2	/chc5299/image/105.jp2
Show by José Curbelo and his orchestra at the Latin Quarter in Miami Beach					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Cuban American band directors; Tucker, Sophie, 1884-1966; Dance orchestra music -- United States; Nightclubs -- Florida -- Miami;	Advertisements; Clippings; Reproductions;	Miami daily news	1946-01-24	1940-1950	Miami Beach (Florida);	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000096						chc52990000960001001		27733184 Bytes	2516	3671	47673466	RGB	8	600	chc52990000960001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/8	8	53.jp2	/chc5299/image/53.jp2
José Curbelo (at left) with Tito Puente (second from left) and Myrta Silva (second from right) at the Palladium nightclub in New York City		Fine, Harry				Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- United States; Puente, Tito, 1923-2000; Silva, Myrta, 1927-1987; Nightclubs -- New York (State) -- New York;	Photographs;				New York (New York);	1 b&w photograph; 20.8 x 25.5 cm			University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000111						chc52990001110001001		91589828 Bytes	6102	5002	1406750902	RGB	8	600	chc52990001110001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/9	9	119.jp2	/chc5299/image/119.jp2
