Título	Translated Title	Creator	Sender	Contributors	Recipient	Resumen	Summary	Nota	Note	Tema	Subject	Género	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Type	Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Página 1	Page 1																																			chc5298000138	chc52980001380001001								62829020 Bytes	3990	5247	3152867062	RGB	8	600	chc52980001380001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/0	0	23.jp2	/chc5298/image/23.jp2
Página 2	Page 2																																			chc5298000138	chc52980001380002001								62899840 Bytes	3993	5249	2718931642	RGB	8	600	chc52980001380002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/1	1	24.jp2	/chc5298/image/24.jp2
Carta de Rafael Arengo al gobernador civil de Matanzas para solicitar la publicación de una subasta pública de bienes embargados al Ingenio La Bunta, en el Boletín oficial, 7 de enero de 1887	Rafael Arengo letter to the governor of Matanzas to announce a public auction of goods confiscated from the Ingenio La Bunta in the Official gazette, January 7, 1887		Arengo, Rafael; Alfonso XII (Cuba). Ayuntamiento		Matanzas (Cuba : Province). Governor			Alfonso XII es actualmente conocido como Alacranes.	Alfonso XII is now known as Alacranes.	Subastas -- Cuba -- Matanzas (Provincia); Ingenio La Bunta (Matanzas, Cuba); Alfonso XII (Cuba). Ayuntamiento	Auctions -- Cuba -- Matanzas (Province); Ingenio La Bunta (Matanzas, Cuba); Alfonso XII (Cuba). Ayuntamiento;	manuscritos; correspondencia;	manuscripts (document genre); correspondence;		1887-01-07	1880-1890	Alacranes (Cuba)	east=22.7675; north=-81.5675; name=http://www.geonames.org/3569379/alacranes.html		1 carta, 2 páginas; 22 x 32.8 cm	1 letter, 2 pages; 22 x 32.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 64; Folder Title: 1887 January 9				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000138			Text	image/tiff														2013-07-28	2013-08-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/2	2	25.cpd	/chc5298/supp/2/index.pdf
Carta enviada al presidente de la Junta Provincial de Patronato de Matanzas, en relación al oficio que certifica la registración de un grupo de patrocinados a cargo de los herederos de Cosme de la Torriente, 11 de abril de 1883	Letter to the presidente of the Junta Provincial de Patronato de Matanzas regarding an official document certifying the registration of a group of patrocinados of the heirs of Cosme de la Torriente, April 11, 1883		Arcos de Canasí (Cuba). Junta Local de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato										1883-04-11	1880-1890																				chc5298000150	chc52980001500001001								59029048 Bytes	3800	5176	2076561882	RGB	8	600	chc52980001500001001.tif		2013-07-28	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/3	3	26.jp2	/chc5298/image/26.jp2
Carta, página 2	Letter, page 2																																			chc5298000150	chc52980001500002001								63175780 Bytes	4039	5212	1933430839	RGB	8	600	chc52980001500002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/4	4	27.jp2	/chc5298/image/27.jp2
Oficio que contiene los nombres de los patrocinados a cargo de los herederos de Cosme de la Torriente, 12 de abril de 1883	Official document containing the names of the patrocinados of the heirs of Cosme de la Torriente, April 12, 1883														1883-04-12	1880-1890																				chc5298000150	chc52980001500003001								120820372 Bytes	5310	7583	4137450089	RGB	8	600	chc52980001500003001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/5	5	28.jp2	/chc5298/image/28.jp2
Oficio, página 2	Official document, page 2																																			chc5298000150	chc52980001500004001								120933088 Bytes	5334	7556	3456696288	RGB	8	600	chc52980001500004001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/6	6	29.jp2	/chc5298/image/29.jp2
Carta y oficio relacionados al registro de patrocinados a cargo de los herederos de Cosme de la Torriente, abril de 1883	Letter and official document regarding the register of patrocinados of the heirs of Cosme de la Torriente, April 1883	Arcos de Canasí (Cuba). Junta Local de Patronato								Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Arcos de Canasí (Cuba). Junta Local de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Arcos de Canasí (Cuba). Junta Local de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia; documentos oficiales; tablas (documento)	manuscripts (document genre); correspondence; official documents; tables (documents)		1883-04	1880-1890	Arcos de Canasí (Cuba)	east=23.1125; north=-81.78139; name=http://www.geonames.org/3568591/arcos-de-canasi.html		2 páginas, 1 lámina; 37.2 x 43.2 cm	2 pages, 1 sheet; 37.2 x 43.2 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 3; Folder No. 10; Folder Title: 1883 April 13				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000150			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/7	7	30.cpd	/chc5298/supp/7/index.pdf
Página 1	Page 1																																			chc5298000049	chc52980000490001001								120684272 Bytes	5295	7596	1121683239	RGB	8	600	chc52980000490001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/8	8	31.jp2	/chc5298/image/31.jp2
Página 2	Page 2																																			chc5298000049	chc52980000490002001								120252908 Bytes	5297	7566	818248490	RGB	8	600	chc52980000490002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/9	9	32.jp2	/chc5298/image/32.jp2
