Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sailboats on Biscayne Bay				Cyanotype photograph of sailboats on Biscayne Bay, Florida.	Notation on verso: "From Collection of Mrs. Alfred Peacock"	Boats and boating -- Florida -- Biscayne Bay	Photographs				Florida. Miami-Dade county. Biscayne Bay	1 cyanotype photograph ; 16.3 x 10.6 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000040001001	image/tiff	305.979 KB	1023	681	0x232DBE07	RGB	24-bit depth	600 dpi	asm04100000040001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/6	6	4.jpg	/asm0410/image/4.jpg
A man looking at palm trees				Cyanotype photograph of man looking at palm trees	Notation on verso: "From Collecrtion of Mrs. Alfred Peacock"	Palms ; Landscape -- Florida -- Miami Region	Photographs				Florida. Miami-Dade county. Miami	1cyanotype photograph; 20.2 x 15.8 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000070001001	image/tiff	511.885 KB	988	768	0x785C7512	RGB	24-bit depth	600 dpi	asm04100000070001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/7	7	7.jpg	/asm0410/image/7.jpg
Dense vegetation near Miami, Fla.				Cyanotype photograph of dense vegetation somewhere near Miami, Forida	Notation on verso: "From Collection of Mrs Alfred Peacock"	Landscape -- Florida -- Miami Region	Photographs				Florida. Miami-Dade county. Miami	1 cyanotype photograph; 25 x 17.5 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000080001001	image/tiff	395.824 KB	1023	735	0xD19CFF07	RGB	24-bit depth	600 dpi	asm04100000080001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/9	9	8.jpg	/asm0410/image/8.jpg
Mouth of Miami River				Photograph of mouth of Miami River, looking east toward Biscayne Bay.	Handwriten on recto: "Mouth of Miami, Fla.; Notation on verso: "From Collection of Mrs. Alfred Peacock."	Miami River (Florida)	Photographs				Florida. Miami-Dade county. Miami River	1 albumen photograph	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami n.d. 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000030001001	image/tiff	265.899 KB	984	768	0xB465C162	RGB	24-bit depth	600 dpi	asm04100000030001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/12	12	3.jpg	/asm0410/image/3.jpg
Saw mill, Coconut Grove, Florida				Albumen photograph of some six people around the first saw mill in Miami, Florida, located in Coconut Grove	Notation on verso: "About 1900 1st Saw Mill in Miami (Coconut Grove) Located where F.E.G. railroad station is now located belonged to Ms Pickford Miss Laura Richards, Baby Miss Eunice Peacock, Mrs Pickford"	Sawmills -- Florida -- Coconut Grove ; Frontier and pioneer life -- Florida -- Coconut Grove	Photographs				Florida. Miami-Dade county. Coconut Grove	1 albumen photograph; 25.2 x 20.1 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1, Folder No. 1, Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000090001001	image/tiff	342.82 KB	959	768	0xFA5B2135	RGB	24-bit depth	600 dpi	asm04100000090001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/20	20	9.jpg	/asm0410/image/9.jpg
Natural bridge at Arch Creek				Photograph of man standing in a row boat in front of natural bridge at Arch Creek, Miami-Dade County, Fla.	Handwritten on recto: "Natural Bridge Arch Creek"; Notation on verso: "From Collection of Mrs. Alfred Peacock"	Arch Creek (Florida); Natural bridges -- Florida -- Miami-Dade County	Photographs				Florida. Miami-Dade county. North Miami	1 albumen photograph ; 13.2 x 10.7 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000010001001	image/tiff	357.915 KB	927	768	0xC9EE3234	RGB	24-bit depth	600 dpi	asm04100000010001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/24	24	1.jpg	/asm0410/image/1.jpg
Wooden dock, Coconut Grove, Florida, 1886				Albumen photograph of primitive wooden dock, Coconut Grove, 1886	Handwritten on recto: "C.G. Fla. 1886"; Notation on verso: "Uncle John Frow's property later purchased by Ralph Munroe. Mrs Alfred Peacock Collection"	Frow, John -- Homes and haunts -- Florida -- Coconut Grove ; Munroe, Ralph, 1851-1933 -- Homes and haunts -- Florida -- Coconut Grove ; Docks -- Florida -- Coconut Grove	Photographs				Florida. Miami-Dade county. Coconut Grove	1 albumen photograph; 13.2 x 10.7 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 2,  Folder Title: Coconut Grove and Miami:  John Frow Property.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000110001001	image/tiff	307.998 KB	944	768	0xF048C0D5	RGB	24-bit depth	600 dpi	asm04100000110001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/40	40	11.jpg	/asm0410/image/11.jpg
Cross of oleander, Coconut Grove, Florida, 1890				Albumen photograph of cross made of oleander, sitting on table covered with flowers	Handwritten on recto: "Cross of oleander, Coconut Grove Florida, 1890";  Notation on verso: "From Collection of Mrs Alfred Peacock"	Oleander ; Flower arrangement -- Florida -- Coconut Grove; Crosses	Photographs				Florida. Miami-Dade county. Coconut Grove	1 albumen photograph; 24.8 x 17.3 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 2,  Folder Title: Coconut Grove and Miami Cross of Oleander, Coconut Grove School 1890.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000100001001	image/tiff	290.078 KB	1023	727	0x25F5DBA4	RGB	24-bit depth	600 dpi	asm04100000100001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/62	62	10.jpg	/asm0410/image/10.jpg
Orange trees, Miami, Fla., Dec. 1886				Photograph of two women and a man among orange trees in Miami, Fla. The man is gathering oranges from a tree	Handwritten on recto: "Orange trees, Miami, Florida, Dec., 1886. [Near?] where the oil tanks are"	Oranges -- Florida -- Miami	Group photographs		1886		Florida. Miami-Dade county. Miami	1 cyanotype photograph; 22.6 x 16.6 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000050001001	image/tiff	464.907 KB	1022	738	0x6AEA7D6	RGB	24-bit depth	600 dpi	asm04100000050001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/70	70	5.jpg	/asm0410/image/5.jpg
Punch bowl spring, Biscayne Bay, Fla.				Cyanotype photograph of the Punch bowl spring in Biscayne Bay, Fla., south of the Miami River	Handwritten on recto: "Steps leading to [?]  Punch bowl spring in a sort of niche [?] in the rock" ; Notation on verso:" From Collection Mrs. Alfred (Lillian) Peacock."	Springs -- Florida -- Biscayne Bay	Photographs				Florida. Miami-Dade county. Biscayne Bay	1 cyanotype photograph; 20.3 x 12.6 cm	eng		University of Miami Libraries. Special Collections.	Lillian Frow Peacock & Eunice Peacock Collection	ASM0410		Box No. 1,  Folder No. 1,  Folder Title: Coconut Grove and Miami, n.d., 1886-1900.	Merrick, Mildred	Merrick, Mildred; Peacock, Lillian	jmc		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-07	EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asm04100000060001001	image/tiff	473.411 KB	1023	653	0x630C6DF8	RGB	24-bit depth	600 dpi	asm04100000060001001.tif		2008-02-29	2012-11-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0410/id/73	73	6.jpg	/asm0410/image/6.jpg
