Title	Translated title	Creator	Contributors	Production Title	Summary	Note	Subject	Genre	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Article on the Hispanic-American Art Company		Lescano-Abella, Edgardo						Clippings		1971-07-16			1970-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1971			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000690001001	image/tiff	64191212 Bytes	6891	3104	1260939164	RGB	8	600	chc04870000690001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/334	334	362.jp2	/chc0487/image/362.jp2
Angelita Castany and Chorus				La duquesa del Baltabarín				Photographs		1973	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: C. 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000410001001	image/tiff	87968284 Bytes	6063	4835	4106816056	RGB	8	600	chc04870000410001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/335	335	384.jp2	/chc0487/image/384.jp2
"Habanera"	"Woman from Havana"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000530001001	image/tiff	87139344 Bytes	6041	4807	1033665157	RGB	8	600	chc04870000530001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/336	336	367.jp2	/chc0487/image/367.jp2
Article on the production, "De Belén a Bayamo"	Article on the production, "From Bethelem to  Bayamo"	Medrano, Humberto		De Belén a Bayamo				Clippings		1968			1960-1970	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000650001001	image/tiff	377007784 Bytes	9147	13738	900396587	RGB	8	600	chc04870000650001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/337	337	342.jp2	/chc0487/image/342.jp2
Carlos Montaner and María Teresa Carrillo		César		Marina				Photographs		1972-10-13	Miami-Dade County Auditorium		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000080001001	image/tiff	87572300 Bytes	4838	6032	1960565234	RGB	8	600	chc04870000080001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/338	338	371.jp2	/chc0487/image/371.jp2
"Rapsodia"	"Rhapsody"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000450001001	image/tiff	87143272 Bytes	6030	4816	1995616921	RGB	8	600	chc04870000450001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/339	339	338.jp2	/chc0487/image/338.jp2
Centro de Artes de América	Arts Center of America	Patria						Clippings		1969			1960-1970	Miami (Florida)	1 photocopy	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 2; Folder Title: Miami Performing Arts Center Project, 1970			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000340001001	image/tiff	104548908 Bytes	6695	5204	2162159509	RGB	8	600	chc04870000340001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/340	340	368.jp2	/chc0487/image/368.jp2
Article on the production, "De Belén a Bayamo"	Article on the production, "From Bethelem to  Bayamo"	The Voice		De Belén a Bayamo				Clippings		1968			1960-1970	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000640001001	image/tiff	109484800 Bytes	5677	6427	623515804	RGB	8	600	chc04870000640001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/341	341	375.jp2	/chc0487/image/375.jp2
(Center left to right) Armando Romeu and Manuel Ochoa				Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000470001001	image/tiff	86674444 Bytes	6020	4798	3156077366	RGB	8	600	chc04870000470001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/342	342	347.jp2	/chc0487/image/347.jp2
Scene from the production, "Las Leandras"	Scene from the production, "The Leandras"	Rosy		Las Leandras				Photographs		1976-01-10	Gusman Center for the Performing Arts		1970-1980	Miami (Florida)	1 color photograph; 12.5 x 8.5 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1976			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000260001001	image/tiff	18953244 Bytes	3028	2084	2189543358	RGB	8	600	chc04870000260001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/343	343	355.jp2	/chc0487/image/355.jp2
