Title	Translated Title	Photographer	Contributor	Summary	Note	Subject	Theme	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Dr. Damaso Lainés' residence and American Sanitarium, Havana					Notation by Manuel R. Bustamante (donor) affixed on verso: "Residencia del Dr. Dámaso F. Laines y American Sanitarium situado en O y 23 en el Vedado."	Dwellings -- Cuba; Architecture, Domestic -- Cuba; Neighborhoods -- Cuba -- Havana; Vedado (Havana, Cuba); Havana (Cuba)		Photographs			1910-1930	Havana (Cuba)	1 color photochrom	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 43; Folder Title: Neighborhoods: Vedado: Dwellings, n.d. 1901-1920s. 1999.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002610001001	Image	image/tiff	Epson	Photoshop		298.281 KB	959	768	0xC3DE339D		24 bit	600 dpi	50170002610001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1270	1270	1524.jpg	chc50179\50170002610001001.tif	/chc5017/image/1524.jpg
Santiago de Cuba Custom House					Written on front: "American Photo Co., Obispo 70, Habana"	Customhouses; Waterfronts; Santiago de Cuba (Cuba)		Cityscape photographs				Santiago de Cuba (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 3; Folder No. 6; Folder Title: Santiago de Cuba, n.d., 1900s-1930s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005270001001	Image	image/tiff	Epson	Photoshop		293.824 KB	977	768	0xE6FA6492		24 bit	600 dpi	50170005270001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1271	1271	1787.jpg	chc501710\50170005270001001.tif	/chc5017/image/1787.jpg
Iglesia de San Juan de Dios, Camagüey	San Juan de Dios Church, Camagüey				Written on recto: "Iglesia de San Juan de Dios en Camagüey, en la que fue expuesto el cadaver de Ignacio Agramonte antes de ser cremado. Written on verso: "P2 Escuela Pias & Church, Puerto Príncipe."	Church buildings; Cathedrals; Camagüey (Cuba); Agramonte y Loynaz, Ignacio, 1841-1873;		Photographs			1900-1920	Camagüey (Cuba)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 22; Folder Title: Camagüey: Churches.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004060001001	Image	image/tiff	Epson	Photoshop		357.139 KB	1023	735	0x2738392B		24 bit	600 dpi	50170004060001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1272	1272	1667.jpg	chc50179\50170004060001001.tif	/chc5017/image/1667.jpg
Paula wharves, Havana, Cuba						Piers -- Cuba; Wharves; Sailboats; Carriages and carts; Wagons; Havana (Cuba)		Photographs				Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 2; Folder No. 4; Folder Title: Piers & Wharves, n.d., 1900s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003000001001	Image	image/tiff	Epson	Photoshop		184.288 KB	611	768	0x8B112AEE		24 bit	600 dpi	50170003000001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1273	1273	1563.jpg	chc50179\50170003000001001.tif	/chc5017/image/1563.jpg
Mamoncillo tree					Written on verso: "Mamoncillo -- edible fruit -- small bunches, 25 on a bunch -- plum size -- green . . . very palatable"	Trees -- Cuba; Fruit trees; Cuba		Photographs			1900-1930	Cuba	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 11; Folder Title: Plants,n.d., 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000900001001	Image	image/tiff	Epson	Photoshop		224.053 KB	568	768	0x41CEFD24		24 bit	600 dpi	50170000900001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1274	1274	1357.jpg	chc50178\50170000900001001.tif	/chc5017/image/1357.jpg
Hauling mahogany near Santiago de Cuba					Written on verso: "Trinquibal conduciendo una toza de caoba"	Carriages and carts; Wagons; Oxen; Agriculture -- Cuba; Mahogany; Wood; Santiago (Cuba)		Photographs			1900-1930	Santiago de Cuba (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 2; Folder Title: Agriculture, n.d., 1905-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000220001001	Image	image/tiff	Epson	Photoshop		349.131 KB	1018	768	0x68B3F96A		24 bit	600 dpi	50170000220001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1275	1275	1292.jpg	chc50178\50170000220001001.tif	/chc5017/image/1292.jpg
Painting in Santiago de Cuba City Hall					Written on verso: "Painting in City Hall, 1st Mayor of Santiago de Cuba." Photographic print of art original, "La jura de Hernán Cortés." Written on verso: "Painting in Santigo de Cuba City Hall. -- Cortes, first mayor of that city, taking the oath, 1921."	City halls; Cortés, Hernán, 1485-1547; Painting; Santiago de Cuba (Cuba)		Photographs		1921	1920-1930	Santiago de Cuba (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 3; Folder No. 6; Folder Title: Santiago de Cuba, n.d., 1900s-1930s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005300001001	Image	image/tiff	Epson	Photoshop		368.355 KB	1003	768	0x6066084F		24 bit	600 dpi	50170005300001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1276	1276	1790.jpg	chc501710\50170005300001001.tif	/chc5017/image/1790.jpg
Punta Gorda on Cienfuegos Bay					Written on verso: "Courtesy of United Railways of Havana."	Harbors; Waterfronts; Dwellings; Punta Gorda Abajo (Cuba); Cienfuegos Bay (Cuba); Cienfuegos (Cuba);		Photographs				Cienfuegos (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 29; Folder Title: Cienfuegos, 1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004290001001	Image	image/tiff	Epson	Photoshop		220.086 KB	958	768	0xDEDF5E9C		24 bit	600 dpi	50170004290001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1277	1277	1690.jpg	chc50179\50170004290001001.tif	/chc5017/image/1690.jpg
Unidentified wharf					Written on verso: "Wharf proper 250' x 56'. Approach 2423'."	Piers -- Cuba; Wharves; Boats and boating; Cuba		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 10; Folder Title: Piers & Wharves.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000840001001	Image	image/tiff	Epson	Photoshop		293.55 KB	1022	627	0xC4F13FF4		24 bit	600 dpi	50170000840001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1278	1278	1351.jpg	chc50178\50170000840001001.tif	/chc5017/image/1351.jpg
Camino de las Cuevas de Bellamar, Matanzas	On the way to the Bellamar Caves, Matanzas				Written on verso: "Playa in Matanzas on the road to the B Caves." Stamp on verso: "The Cuba Review."	Roads -- Cuba; Bellamar Caves (Matanzas, Cuba); Caves -- Cuba; Matanzas (Cuba : Province)		Photographs				Matanzas (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3; Folder No. 16; Folder Title: Matanzas (Province): Cuevas de Bellamar.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005830001001	Image	image/tiff	Epson	Photoshop		341.864 KB	953	768	0x85E86877		24 bit	600 dpi	50170005830001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1279	1279	1843.jpg	chc501710\50170005830001001.tif	/chc5017/image/1843.jpg
