Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Indian Mounds near Fort Taylor, St. Johns River		Vinton, John Rogers, 1801-1847		Sketch of Indian mounds near Fort Taylor by Lake Winder in the St. Johns River area. This same sketch appears in the book "My Florida soul" by Ed Winn, where it is accompanied by the caption "Soldiers surveying the site of Ft. Taylor. January 25, 1838."	Pencilled in at bottom right: "page 246"	Seminole Indians -- Antiquities; Mounds; Saint Johns River Valley (Florida); Landforms	Sketches		1838	1830-1840	Florida; Seminole (Florida)	8x6 inches	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037		Box No. 1; Folder No. 43; Folder Title: Historical Docs. Sketches. Vinton, J.R. Indian Mound Near Fort Taylor, St. Johns River.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text; Still image	2005-05-04				asm00370009880001001	image/tiff	14962.248 KB	4858	3246	0x91D8DB13	RGB	24-bit depth	600 dpi	asm00370009880001001.tif		2008-05-05	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/0	0	3.jp2	Volume1\asm00370009880001001.tif	/asm0037/image/3.jp2
Thomas Edison letter		Edison, Thomas A. (Thomas Alva), 1847-1931	Albert, Henry, 1878-1930	On a typed letter from Henry Albert, M.D., Iowa Commissioner of Health, regarding his sleep habits, inventor Thomas Edison writes, in ink, "From 1860 to 1900 average sleep 4 hours  1900 to 1918 average 6 hours  now about 5 hours when not sick - as the sleep was very profound without dreams and a life habit. I [believe] it about equivalent to 7 hours with the average man  In this connection it might be mentioned that from a boy to the present time I have been an extremely small eater of plain food." Signed Thos A Edison		Edison, Thomas A. (Thomas Alva), 1847-1931; Albert, Henry, 1878-1930; Sleep; Des Moines (Iowa)	Correspondence		1927-08-25	1920-1930	Newark (New Jersey)	28cm x 21.5cm	eng		University of Miami Libraries. Special Collections	Mark Boyd Collection	ASM0037	Series I	Box No. 1; Folder 37						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text; Still image	2005-05-04				asm00370000570001001	image/tiff	16977.415 KB	5216	6723	0xA7C31197	RGB	24-bit depth	600 dpi	asm00370000570001001.tif		2008-05-05	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/1	1	1.jp2	Volume1\asm00370000570001001.tif	/asm0037/image/1.jp2
Osceola at Lake Monroe		Vinton, John Rogers, 1801-1847		Sketch of Seminole war chief "Oseola at Lake Monroe during the Armistice, May 1837." In October of 1837, Osceola would be captured and imprisoned in Saint Augustine. He died of malaria the following January and was buried with military honors	The artist signs with his initials: "J.R.V. 1845."  Pencilled at bottom right: "Page 193"	Osceola, Seminole chief, 1804-1838; Seminole Indians; Monroe, Lake (Seminole County and Volusia County, Florida)	Sketches; Portrait drawings		1845	1840-1850	Florida; Seminole (Florida)	sketch; 9x6 inches	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037		Box No. 1; Folder No. 12; Folder Title: Historical Docs. Sketches. Vinton, J.R. Osceola 1937						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text; Still image	2005-05-04				asm00370009870001001	image/tiff	15431.351 KB	3389	5343	0xFC84A8BC	RGB	24-bit depth	600 dpi	asm00370009870001001.tif		2008-05-05	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/2	2	2.jp2	Volume1\asm00370009870001001.tif	/asm0037/image/2.jp2
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000037						asm00370000370001001	image/tiff	564.98 KB	1023	768	0xFA74798C	RGB	24 bit depth	600 dpi	asm00370000370001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/3	3	7.jpg	Volume4\asm00370000370001001.tif	/asm0037/image/7.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000037						asm00370000370002001	image/tiff	550.936 KB	1023	768	0xA920A2DF	RGB	24 bit depth	600 dpi	asm00370000370002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/4	4	8.jpg	Volume4\asm00370000370002001.tif	/asm0037/image/8.jpg
Miami Seaquarium				Promotional flier advertising the Miami Seaquarium.		Miami Seaquarium; Tourist attractions; Wildlife-related recreation	Advertising fliers; Maps				Florida; Miami-Dade County (Florida); Virginia Key (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000037	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/5	5	9.cpd		/asm0037/image/9.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000030						asm00370000300001001	image/tiff	604.024 KB	1006	768	0xF0D89FA	RGB	24 bit depth	600 dpi	asm00370000300001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/6	6	10.jpg	Volume4\asm00370000300001001.tif	/asm0037/image/10.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000030						asm00370000300002001	image/tiff	603.475 KB	1000	768	0x1D8D75AC	RGB	24 bit depth	600 dpi	asm00370000300002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/7	7	11.jpg	Volume4\asm00370000300002001.tif	/asm0037/image/11.jpg
Seven Seas Dreamboat				Promotional flier advertising the sightseeing boat Seven Seas Dreamboat.		Sightseeing business; Cruise ships	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000030	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/8	8	12.cpd		/asm0037/image/12.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000003						asm00370000030001001	image/tiff	295.499 KB	1023	622	0xFC3DF20D	RGB	24 bit depth	600 dpi	asm00370000030001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/9	9	13.jpg	Volume4\asm00370000030001001.tif	/asm0037/image/13.jpg
