Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000050001001	image/tiff	53447328 Bytes	3793	4695	999025713	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000050001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/12	12	13.jp2	/chc5223/image/13.jp2
Page 2															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000050002001	image/tiff	54917340 Bytes	3790	4828	2849987723	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000050002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/13	13	14.jp2	/chc5223/image/14.jp2
Wifredo Lam letter to Marta Frayde Barraqué		Lam, Wifredo		Wifredo Lam mentions a black Chinese politician from Marianao who wanted to borrow a painting which Lam thought was titled as "Nunca más no vi" (Never saw it again).		Lam, Wifredo; Frayde, Martha, 1920-	Correspondence					1 letter	spa		University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223		Box No.1; Folder No. 1;  Folder Title: Martha Frayde Barraqué Papers Correspondence from Lam, Wifredo;  Folder Date: n.d.			axr; sr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5223000005	Text																2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/14	14	15.cpd	/chc5223/supp/14/index.pdf
Page 1															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000090001001	image/tiff	57252360 Bytes	3816	4999	4082128877	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000090001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/15	15	16.jp2	/chc5223/image/16.jp2
Page 2															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000090002001	image/tiff	56794548 Bytes	3797	4984	719629570	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000090002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/16	16	17.jp2	/chc5223/image/17.jp2
Wifredo Lam letter to Marta Frayde Barraqué, January 5, 1962		Lam, Wifredo		Wifredo Lam thanks Martha Frayde for sending him the magazines Bohemia and Verde Olivo. Lam also mentions how his son's health has improved.		Lam, Wifredo; Frayde, Martha, 1920-	Correspondence		1962-01-05	1960-1970	Albisola, Italy	1 letter	spa		University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223		Box No.1; Folder No. 2;  Folder Title: Martha Frayde Barraqué Papers Correspondence from Lam, Wifredo;  Folder Date: 1962			axr; sr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5223000009	Text																2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/17	17	18.cpd	/chc5223/supp/17/index.pdf
Page 1															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000030001001	image/tiff	46813592 Bytes	3214	4853	654343702	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000030001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/18	18	19.jp2	/chc5223/image/19.jp2
Page 2															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000030002001	image/tiff	46662600 Bytes	3203	4854	680353387	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000030002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/19	19	20.jp2	/chc5223/image/20.jp2
Wifredo Lam letter to Marta Frayde Barraqué		Lam, Wifredo		Letter was sent by Wifredo Lam from Paris, three months after leaving Cuba. He mentions the passing of Martha's mother.		Lam, Wifredo; Frayde, Martha, 1920-	Correspondence				Paris, France	1 letter	spa		University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223		Box No.1; Folder No. 1;  Folder Title: Martha Frayde Barraqué Papers Correspondence from Lam, Wifredo;  Folder Date: n.d.			axr; sr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5223000003	Text																2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/20	20	21.cpd	/chc5223/supp/20/index.pdf
Page 1															University of Miami Libraries.  Cuban Heritage Collection	Martha Frayde Barraqué Papers	CHC5223											Text					chc52230000250001001	image/tiff	52946452 Bytes	3784	4662	803940845	RGB	8 Bits Per Sample	600 ResolutionUnit_InchesPerPixel	chc52230000250001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5223/id/21	21	22.jp2	/chc5223/image/22.jp2
