Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Donor	Container	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Charles Brookfield at the helm				Photograph of Charles Brookfield, head of the Miami chapter of the National Audubon Society for many years, at the wheel of a tour boat, circa 1920s or 1930s.		Brookfield, Charles	Photographs				Florida.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Marilyn Catlow.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000250001001	image/tiff	2334.842 KB	1663	2787	0x787EFEA8	RGB	24 bit depth	600 dpi	asm04090000250001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/0	0	14.jp2	/asm0409/image/14.jp2
Western Union telegram, Munroe's death, 1933			Munroe, Wirth, d. 1968	This August 26, 1933, Western Union telegram from Wirth Munroe to Vincent Gilpin notifies him that "Daddy passed quietly away this afternoon our plans are for burial in Concord as soon as we can get cleared up here and drive north."		Munroe, Ralph, 1851-1933	Telegrams		1933		Florida. Miami-Dade county. Miami.	1 telegram			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 3, Folder Title: 1933 Jan.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04090000100001001	image/tiff	22436.532 KB	4789	3870	0xD441B0E9	RGB	24 bit depth	600 dpi	asm04090000100001001.tif		2008-06-01	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/1	1	4.jp2	/asm0409/image/4.jp2
The Barnacle as seen from the water				This picture of the Barnacle serves as a Christmas photo from Patty and Bill Catlow. The Barnacle was the home of Ralph Middleton Munroe, a Coconut Grove pioneers and boat designer.		Barnacle (Miami, Fla.); Munroe, Ralph, 1851-1933 -- Homes and haunts;Catlow, Patty Wirth Munroe, 1900-1991 -- Homes and haunts; Catlow, William, d. 1984 -- Homes and haunts	Postcards			1950s		1 color postcard			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Still Image					asm04090000170001001	image/tiff	3185.116 KB	2104	2988	0x1EC6ABE	RGB	24 bit depth	600 dpi	asm04090000170001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/2	2	7.jp2	/asm0409/image/7.jp2
Aerial view of the Barnacle				Aerial view of the Barnacle, the Coconut Grove home of Admiral Ralph Munroe.		Barnacle (Miami, Fla.); Munroe, Ralph, 1851-1933 -- Homes and haunts	Aerial views; Photographs		ca. 1938		Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000180001001	image/tiff	18278.092 KB	5991	4793	0x76F69F60	RGB	24 bit depth	600 dpi	asm04090000180001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/3	3	8.jp2	/asm0409/image/8.jp2
Letter from Vincent Gilpin to Patty Munroe Catlow, January 10, 1933		Gilpin, Vincent		Vincent Gilpin's letter suggests that Ralph Munroe was ailing and that his family was feeling the effects of the Depression, as he says they are not likely to send Christmas presents any more.		Munroe, Ralph, 1851-1933; Catlow, Patty Wirth Munroe, 1900-1991	Correspondence		1933-01-10-1933-01-10	1933		1 typed letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 3, Folder Title: 1933 Jan.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04090000090001001	image/tiff	49678.531 KB	5069	6678	0xBAD7832E	RGB	24 bit depth	600 dpi	asm04090000090001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/4	4	3.jp2	/asm0409/image/3.jp2
Marilyn Munroe, Charles Poor Munroe, Robert Catlow, William Middleton Munroe				Photograph of Marilyn Munroe, Charles Poor Munroe, Robert Catlow, and William Middleton Munroe standing on the southwest side of the boathouse at the Barnacle, looking toward the house.		Munroe, Marilyn; Munroe, Charles Poor; Catlow, Robert; Munroe, William Middleton	Photographs		ca. 1951		Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Marilyn Catlow.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000260001001	image/tiff	2923.866 KB	2685	1945	0x27D271B7	RGB	24 bit depth	600 dpi	asm04090000260001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/5	5	15.jp2	/asm0409/image/15.jp2
The Barnacle front steps				Unidentified people stand on the steps of the Barnacle, Admiral Ralph Munroe's Coconut Grove home.		Barnacle (Miami, Fla.); Munroe, Ralph, 1851-1933 -- Homes and haunts	Photographs		1890	1890	Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000190001001	image/tiff	16602.512 KB	3967	3349	0xE9C05574	RGB	24 bit depth	600 dpi	asm04090000190001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/6	6	9.jp2	/asm0409/image/9.jp2
Western Union telegram, September 28, 1926		Munroe, Jessie Wirth		The telegram from Ralph Munroe's wife Jessie to Vincent Gilpin was sent a week after the 1926 hurricane, and reads: "We are safe. Water front completely destroyed."		Hurricanes	Telegrams		1926	1926		1 telegram			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 1, Folder Title: 1926 Jan - Sep.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04090000030001001	image/tiff	27892.156 KB	5069	4231	0xD3646CA6	RGB	24 bit depth	600 dpi	asm04090000030001001.tif		2008-06-01	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/7	7	1.jp2	/asm0409/image/1.jp2
The dock viewed from the Barnacle				Waterfront and docks of the Barnacle, Admiral Ralph Munroe's Coconut Grove home. The view is generally eastward, so the photo may have been taken at or near sunrise.		Barnacle (Miami, Fla.); Marinas	Photographs		ca. 1925		Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000210001001	image/tiff	5628.88 KB	3326	1945	0x303658FF	RGB	24 bit depth	600 dpi	asm04090000210001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/8	8	11.jp2	/asm0409/image/11.jp2
The Barnacle				Photograph of the Barnacle, Admiral Ralph Munroe's Coconut Grove, seen across the lawn.		Barnacle (Miami, Fla.); Munroe, Ralph, 1851-1933 -- Homes and haunts	Photographs		1921	1921		1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000200001001	image/tiff	6419.492 KB	3206	2607	0x5CE2E337	RGB	24 bit depth	600 dpi	asm04090000200001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/9	9	10.jp2	/asm0409/image/10.jp2
