Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Digital ID	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ochosi		del Pozo, Alberto, 1945-1992			A great warrior, adored by women, Ochosi is the god of wild animals and the chase, who instructs hunters in the use of weapons. Inventor of the bow and arrow are his symbols.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000140001001	Image					image/tiff	255424380 Bytes	8204	10377	3262542322	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000140001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/0	0	16.jp2	/chc5010/image/16.jp2
Osain		del Pozo, Alberto, 1945-1992			Osain is a god of the jungle and all plants.  He is short and is missing his left leg and right arm.  He can only see out of one eye and hear out of one ear.  His permission must be sought before picking any leaf, flower or herb, and if these are for preparing medicine sexual abstinence is also necessary.  He smokes a pipe and appreciates offerings of tobacco, coins, and black feathered roosters.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000120001001	Image					image/tiff	255086196 Bytes	8139	10446	2809775817	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000120001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/1	1	14.jp2	/chc5010/image/14.jp2
Ochumare		del Pozo, Alberto, 1945-1992			Symbolizing peace and harmony, Ochumare is the god of the rainbow, the link between heaven and earth.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000030001001	Image					image/tiff	257995240 Bytes	8184	10507	3923918989	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000030001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/2	2	18.jp2	/chc5010/image/18.jp2
Changó		del Pozo, Alberto, 1945-1992			Extremely handsome, Changó is a fearless warrior. He is the god of thunder and fire and is notorious as a woman chaser and superb dancer. He is also a great seer and healer. The royal palm, which is the symbol of his divinity, is also his home and throne.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000090001001	Image					image/tiff	258551568 Bytes	8208	10499	227091518	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000090001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/3	3	4.jp2	/chc5010/image/4.jp2
Echú Eleguá		del Pozo, Alberto, 1945-1992			Among the most ancient of the orishas Echú Eleguá is the messenger of the gods, who forges roads, protects the house, and is heaven’s gate-keeper. In any ceremony he is invoked first. He owns all cowrie shells and is the god of luck. A prankster, Echú Eleguá frequently has a monkey and a black rooster by his side. Like a mischievous boy he enjoys gossip and must be pampered with offerings of toys, fruit, and candy.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000080001001	Image					image/tiff	257169224 Bytes	8182	10476	2806317553	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000080001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/4	4	9.jp2	/chc5010/image/9.jp2
Babalú Aye		del Pozo, Alberto, 1945-1992			Also known as Chopono, this fearsome God is always accompanied by two yellow spotted dogs.  His messengers are flies and mosquitoes. He moves on crutches and accompanies the dead to their burial; yet he has a deep understanding for mankind and cures illness, especially diseases of the skin.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000070001001	Image					image/tiff	259257512 Bytes	8203	10534	2550294055	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000070001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/5	5	6.jp2	/chc5010/image/6.jp2
Oricha Oko		del Pozo, Alberto, 1945-1992			Worshipped by women during the new moon, Oricha Oko is the god of agriculture and the harvest, and master of fertile lands and farm tools.  In heaven he mediates in quarrels among the other gods.  He is often shown sitting with a parasol in an ox cart.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000110001001	Image					image/tiff	256974768 Bytes	8204	10440	3274033404	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000110001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/6	6	10.jp2	/chc5010/image/10.jp2
Yemayá		del Pozo, Alberto, 1945-1992			Queen of the waters, Yemayá is the mother of all Orichas. A siren at sea, on land she becomes an amazing beauty adorned with the manifold treasures of the deep. Her conduct is impeccable, and she is the ultimate protector of the faithful. Her messenger is a mouse and a serpent her constant companion.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000060001001	Image					image/tiff	258333516 Bytes	8187	10517	2588763893	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000060001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/7	7	15.jp2	/chc5010/image/15.jp2
Oba		del Pozo, Alberto, 1945-1992			Guardian of the hearth, Oba is the iyare, or first wife, of Changó. She is the legitimate landlady of all cemeteries. According to an old Yoruba tale, to guarantee Changó’s love for herself she cut off one of her ears and offered it to him to eat in an okra stew. He fled their home in horror. Obatalá gave her his white scarf in pity, so she could hide her missing ear.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000050001001	Image					image/tiff	258792952 Bytes	8193	10528	765804497	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000050001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/8	8	3.jp2	/chc5010/image/3.jp2
Ochún		del Pozo, Alberto, 1945-1992			The Goddess of love and of money, Ochún is mistress of fresh waters. She is the ideal friend and solves all emotional and economic problems. She is one of Changó’s wives and mistress of the drums. Her messenger is the vulture. She is beautiful and vain and has never been seen to cry. She loves music and dancing, wears five gold bangles on her wrists, and holds a peacock feather fan.	Orishas; Gods, Afro-Caribbean; Santeria -- Cuba; Yoruba (African people) -- Cuba; Santeria in art 	Illustrations					1 color illustration; 18.5 x 13.5 cm			University of Miami Libraries.  Cuban Heritage Collection.	Orichas Collection	CHC5010						jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc50100000040001001	Image					image/tiff	258444000 Bytes	8232	10464	2687899372	RGB	8 Bits Per Sample	400 Pixels Per Inch	chc50100000040001001.tif		2010-03-16	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5010/id/9	9	5.jp2	/chc5010/image/5.jp2
