Título	Translated Title	Creator	Director	Producer	Photographer	Contributors	Videographer	Cast	Resumen	Summary	Note	Tema	Subject	Género	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Original Format	Tape Format	Format	Type	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Rustic Cabaret, "Disfrute de noches inolvidables en el exclusivo y elegante Rustic Cabaret"	Rustic Cabaret, "Enjoy unforgettable nights at the exclusive and elegant Rustic Cabaret"	Rustic Cabaret							Escenas de gente bailando y cenando en el club nocturno.	Views of people dancing and eating at the night club.	Rustic Cabaret address: Okeechobee Rd., Hialeah, Florida.	Clubes nocturnos -- Florida -- Miami; Restaurantes -- Florida -- Miami; Bares (Establecimiento para beber)  -- Florida -- Miami; Rustic Cabaret (Hialeah, Florida)	Nightclubs -- Florida -- Miami; Restaurants -- Florida -- Miami; Bars (Drinking establishments) -- Florida -- Miami; Rustic Cabaret (Hialeah, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Hialeah (Florida)	name=http://www.geonames.org/4158476			1 streaming video (0:01:04 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190009002			DV Tape	video/mp4	MovingImage					11762243 Bytes			4228875660			chc50610000190009002-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/0	0	8.mp4	/chc5061/image/8.mp4
Jenny Kitchen Cabinet, de Miguel Arca e hijos	Jenny Kitchen Cabinet, by Miguel Arca and Sons	Jenny Kitchen Cabinet							Anuncio de Jenny Kitchen Cabinet, propiedad de Miguel Arca e hijos. Una joven pareja recorre el salón de muestras.	Commercial for Jenny Kitchen Cabinet, owned by Miguel Arca and Sons. Young couple looks at kitchen showroom.	Jenny Kitchen Cabinet address: 600 W 27th St., Hialeah, Florida.	Gabinetes para la cocina -- Florida -- Hialeah; Ebanistas -- Florida -- Hialeah; Jenny Kitchen Cabinet (Hialeah, Florida)	Kitchen cabinets -- Florida -- Hialeah; Cabinetmakers -- Florida -- Hialeah; Jenny Kitchen Cabinet (Hialeah, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Hialeah (Florida)	east=-80.294342; north=25.846004; name=http://www.geonames.org/4158476			1 streaming video (0:01:05 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190002001			DV Tape	video/mp4	MovingImage					10347343 Bytes			3373668557			chc50610000190002001-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/1	1	6.mp4	/chc5061/image/6.mp4
Pestonit Florist		Pestonit Florist							Un niño le lleva una rosa roja a una niña y la siguiente escena los muestra jóvenes adultos caminando por una playa. Otras escenas incluyen a los clientes en la floristeria Pestonit.	Little boy brings a red rose to a girl; fast-forward to them as young adults walking along a beach, followed by scenes of customers at Pestonit Florist.	Pestonit Florist address: 129 SW 12th Ave. Miami, Florida.	Floristerías -- Florida -- Miami; Pestonit Florist (Miami, Florida)	Florists -- Florida -- Miami; Pestonit Florist (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.214577; north=25.772249; name=http://www.geonames.org/4164138			1 streaming video (0:01:09 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.005		chc50610000050006002			DV Tape	video/mp4	MovingImage					13317891 Bytes			1836158454			chc50610000050006002-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/2	2	1.mp4	/chc5061/image/1.mp4
The Horoscope Cocktail Lounge, "Bajo un marco de estrellas y signos zodiacales"	The Horoscope Cocktail Lounge, "Beneath the stars and zodiac signs"	Horoscope Cocktail Lounge							La gente se ve bailando y bebiendo en el club nocturno.	People are seen dancing and drinking at the night club.	Horoscope Cocktail Lounge address: 57 NW Ave., Miami, Florida.	Clubes nocturnos -- Florida -- Miami; Bares (Establecimiento para beber)  -- Florida -- Miami; Restaurantes -- Florida -- Miami; The Horoscope Cocktail Lounge (Miami, Florida)	Nightclubs -- Florida -- Miami; Bars (Drinking establishments) -- Florida -- Miami; Restaurants -- Florida -- Miami; The Horoscope Cocktail Lounge (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.288437; north=25.777987; name=http://www.geonames.org/4164138			1 streaming video (0:00:56 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190009003			DV Tape	video/mp4	MovingImage					14378296 Bytes			2787608240			chc50610000190009003-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/3	3	9.mp4	/chc5061/image/9.mp4
Los Latinos of Miami Department Store en Hialeah, Florida	Los Latinos of Miami Department Store in Hialeah, Florida	Los Latinos of Miami Department Store					Sánchez, Osvaldo	Barral, Rolando, 1939-2002	Anuncio de la inauguración de Los Latinos of Miami department store en Hialeah. El fenecido actor cubano Rolando Barral es visto recibiendo a los clientes y firmando autógrafos. Imágenes de clientes comprando en la tienda.	Commercial of Los Latinos of Miami department store grand opening in Hialeah. The late Cuban actor Rolando Barral is seen greeting customers and signing autographs. Views of the store with people shopping.	Los Latinos of Miami Department Store address: Palm Spring Mile, 505 W 49th St., Hialeah, Florida.	Tiendas al por menor -- Florida -- Miami; Vendedores -- Florida -- Miami; Tiendas por departamento -- Florida -- Miami; Los Latinos of Miami Department Store (Miami, Florida)	Stores, Retail -- Florida -- Miami; Sales personnel -- Florida - Miami; Department stores -- Florida -- Miami; Los Latinos of Miami Department Store (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Hialeah (Florida)	east=-80.293091; north=25.866713; name=http://www.geonames.org/4158476			1 streaming video (0:00:58 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190010001			DV Tape	video/mp4	MovingImage					14231472 Bytes			3547965888			chc50610000190010001-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/4	4	3.mp4	/chc5061/image/3.mp4
Continental Military Institute		Continental Military Institute							Incluye una descripción de la administración y los cursos ofrecidos en la institución, como ballet, karate y educación física. También incluye imágenes de niños en varias actividades.	Features a description of the administration and course offerings at the institution, including ballet, karate, and physical edication. Images of children engaging in these activities.	Continental Military Institute address (at that time): 11690 W Flagler, Miami, Florida	Educación militar; Escuelas privadas  -- Florida -- Miami; Continental Military Institute (Miami, Florida)	Military education; Private schools -- Florida -- Miami; Continental Military Institute (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.384430; north=25.768139; name=http://www.geonames.org/4164138			1 streaming video (0:01:02 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190003001			DV Tape	video/mp4	MovingImage					11695678 Bytes			2162913585			chc50610000190003001-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/5	5	5.mp4	/chc5061/image/5.mp4
Miami Singles Club rinde homenaje a Maurice Ferré, alcalde de Miami	Miami Singles Club pays tribute to Miami Mayor Maurice Ferré	Miami Singles Club						Ferré, Maurice A., 1935-	Anuncio del homenaje que le rindió el Miami Singles Club a Maurice Ferré, alcalde de Miami de 1973 a 1985.	Commercial for the Miami Singles Club's homage to Maurice Ferré, mayor of Miami from 1973 to 1985.		Clubes privados -- Florida -- Miami; Miami Singles Club (Miami, Florida)	Private clubs -- Florida -- Miami; Miami Singles Club (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:01:03 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.005		chc50610000050006003			DV Tape	video/mp4	MovingImage					13009230 Bytes			3459248430			chc50610000050006003-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/6	6	7.mp4	/chc5061/image/7.mp4
Eastern Academy, una escuela elemental privada en Hialeah, Florida	Eastern Academy, a private elementary school in Hialeah, Florida	Eastern Academy						Ros-Lehtinen, Ileana	Se muestra el ofrecimiento académico de la escuela y también a la directora y fundadora de la escuela, Ileana Ros-Lehtinen, hablando con unos padres acerca del progreso de los estudiantes.	Clip advertises the offerings of the school and includes footage of Ileana Ros-Lehtinen, founder and then-principal, speaking with parents about students' progress.	Eastern Academy address: 90 W 11th St.. Hialeah, Florida.	Escuelas privadas  -- Florida -- Miami; Ros-Lehtinen, Ileana; Escuelas elementales; Eastern Academy (Hialeah, Florida)	Private schools -- Florida -- Miami; Ros-Lehtinen, Ileana; Elementary schools; Eastern Academy (Hialeah, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising		1981		1980-1990	Hialeah (Florida)	east=-80.283516; north=25.831652; name=http://www.geonames.org/4158476			1 streaming video (0:00:54 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.019		chc50610000190011001			DV Tape	video/mp4	MovingImage					14130602 Bytes			4206573616			chc50610000190011001-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/7	7	4.mp4	/chc5061/image/4.mp4
Café Estrella, ¡con sabor y más! Con la participación de Rosendo Rosell	Café Estrella, with taste and more! Featuring Rosendo Rosell	Café Estrella					Sánchez, Osvaldo	Rosell, Rosendo	Anuncio de Café Estrella con la participación del actor cubano Rosendo Rosell y mostrando escenas de la producción del café.	Commercial for Café Estrella featuring Cuban actor Rosendo Rosell with scenes of coffee production.		Industria del café -- Florida -- Miami; Consumo de café -- Estados Unidos; Café Estrella	Coffee industry -- Florida -- Miami; Coffee drinking -- United States; Café Estrella	registros videos; publicidad por difusión	video recordings; broadcast advertising				1960-1970	Miami (Florida)	name=http://www.geonames.org/4164138			1 streaming video (0:01:01 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.018		chc50610000180002002			DV Tape	video/mp4	MovingImage					12905286 Bytes			1514306338			chc50610000180002002-1.mp4		2013-04-23	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/8	8	2.mp4	/chc5061/image/2.mp4
Jamaica Drive-in con los panqueques de Jamaica	Jamaica Drive-in with the Jamaican pancakes (cupcakes)	Jamaica Drive-in							Anuncio de Jamaica Drive-in mostrando la especialidad del local, los panqueques de Jamaica. Las familias ordenan directamente en el mostrador los panqueques jamaiquinos, creados por José María Cruz.	Commercial for Jamaican Drive-in showing their Jamaican pancakes (cupcakes) specialty. Families come up to the counter to order Jamaican pancakes, created by José María Cruz.	Jamaica Drive-in address: 27 NW 5th St., Miami, Florida.		Drive-in restaurants -- Florida -- Miami; Cupcakes; Jamaica Drive-in (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.195251; north=25.778973; name=http://www.geonames.org/4164138			1 streaming video (0:01:02 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200001001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/10	10	25.m4v	/chc5061/image/25.m4v
