Title	Creator	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Physical Description	Language	Editor	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Object ID	File Size	Checksum	Format	Type	Height	Width	Archive	Directory	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Polita Grau de Agüero	Lórens	Portrait of Polita Grau de Agüero taken in Havana	On recto: "Lórens ... [unintelligible]"	Grau de Agüero, Polita, 1915-2000	Portrait photographs		1940-1950	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 6  Folder Title: Grau Polita: Portraits. Folder Date: 1916-1980s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000500001001		122.252 KB	0xE92B596A	image/tiff	Image	768	551	03560000500001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/745	745	769.jpg	/chc0356/image/769.jpg
The Grau Alsina siblings: Francisco, Ramón, Tata (Paulina) and Polita		Photograph taken in Miami of the Grau Alsina siblings: Francisco, left, and Ramón with their sisters Paulina, left, and Polita		Grau de Agüero, Polita, 1915-2000 -- Family; Grau Alsina, Paulina; Grau Alsina, Ramón; Grau Alsina, Francisco	Group portraits		1980-1990	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 13  Folder Title: Grau Family: United States and Spain. Folder Date: 1965?-1990s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000630001001		167.874 KB	0xD58E8431	image/tiff	Image	768	619	03560000630001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/746	746	782.jpg	/chc0356/image/782.jpg
Celebrating Carlos Prío Socarrás' presidential election victory in the Presidential Palace, Havana		From left to right: Pepe Agüero, Cuban president Ramón Grau San Martín, Genovevo Pérez Dámera, Carlos Prío Socarras, Dr. Alonso Pujol (wearing glasses), Ramiro de la Riva, and Albertico Cruz. Behind Prío Socarrás is Pikin Gutiérrez. Photograph taken in the Presidential Palace after winning Socarrás the presidential election	From left to right: Pepe Agüero, Ramón Grau San Martín, Genovevo Pérez Dámera, Carlos Prío Socarras, Dr. Alonso Pujol (wearing glasses), Ramiro de la Riva, and Albertico Cruz. Behind Prío Socarras is Pikin Gutiérrez	Grau San Martín, Ramón, 1887-1969; Agüero, José; Pérez Dámera, Genovevo; Prío Socarras, Carlos; Pujol, Alonso; Riva, Ramiro de la; Cruz, Alberto; Gutiérrez, Pikin; Presidents -- Cuba	Group portraits	1948-06	1940-1950	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000400001001		321.699 KB	0x787A6530	image/tiff	Image	768	993	03560000400001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/747	747	759.jpg	/chc0356/image/759.jpg
Paulina Alsina de Grau, Carlos Prío Socarras, Mary Tarrero, and Ramón Grau San Martín		Photograph taken at the Presidential Palace, Havana. From left to right: Paulina Alsina de Grau, Carlos Prío Socarrás, Mary Tarrero, and Ramón Grau San Martín on the wedding day of Carlos Prío Socarrás and Mary Tarrero	Notation on verso: "Foto tomada en 1946 en Palacio el día de la boda de Prío y la Sra. Mary Tarrero de Prío.  Grau y Paulina fueron padrinos de la boda."  Photographic reproduction of photographic print.	Grau San Martín, Ramón, 1887-1969;  Prío Socarrás, Carlos; Alsina de Grau, Paulina; Tarrero de Prío, Mary; Presidents -- Cuba	Group portraits	1946	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000370001001		308.723 KB	0x68775470	image/tiff	Image	768	958	03560000370001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/748	748	756.jpg	/chc0356/image/756.jpg
Ramón Grau San Martín's inauguration day, September 10, 1933		Crowds before the Presidential Palace on Ramón Grau San Martín's inauguration day, September 10, 1933	Photographic reproduction of photographic print.	Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1933-09-10	1930-1940	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 5  Folder No. 2  Folder Title: Grau San Martín Ramón: Presidential Inauguration (Oversized) Folder Date: 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000650001001		378.483 KB	0x854AE8B3	image/tiff	Image	768	991	03560000650001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/749	749	784.jpg	/chc0356/image/784.jpg
Roberto Lago Pereda and Polita Grau		Polita Grau and first husband Roberto Lago Pereda. They were married in 1934 when he was leader of the student movement in Havana. While visiting Miami in 1935, Lago Pereda suffered an attack of appendicitis and died at Jackson Memorial Hospital	Notation on verso: "A los 18 años después de haber sido 1a dama de Cuba en el gobierno revolucionario de su tío Dr. Grau San Martín Set 1933-Enero 1934 con Roberto Lago Pereda miembro del Directorio Estudiantil Universitario."	Grau de Agüero, Polita, 1915-2000 -- Family; Lago Pereda, Roberto; Jackson Memorial Hospital	Group portraits	1934-09	1930-1940	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994(bulk dates 1980s-1994).	Box No. 4  Folder No. 8  Folder Title: Grau Polita and Roberto Lago Pereda. Folder Date: 1933-1934	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000530001001		146.032 KB	0xEA667EB4	image/tiff	Image	768	487	03560000530001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/750	750	772.jpg	/chc0356/image/772.jpg
Polita Grau in the Presidential Palace, Havana		Polita Grau seated in a bedroom of the Presidential Palace in Havana, Cuba	Dedication on recto: "Para Isabel con muchísimo cariño, Polita. 1-10-34."  Isabel was Polita's first husband's mother.	Grau de Agüero, Polita, 1915-2000	Portrait photograph	1934	1930-1940	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 6  Folder Title: Grau Polita: Portraits. Folder Date: 1916-1980s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000490001001		427.633 KB	0xD187E504	image/tiff	Image	725	1023	03560000490001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/751	751	768.jpg	/chc0356/image/768.jpg
Ramón Grau San Martín and biographer Miguel Hernández Bauzá		Cuban president Ramón Grau San Martín, left, and biographer Miguel Hernández Bauzá	Photographic reproduction of photographic print	Grau San Martín, Ramón, 1887-1969; Hernández Bauzá, Miguel; Presidents -- Cuba	Group portraits	1967	1960-1970	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000460001001		315.445 KB	0x9C53E967	image/tiff	Image	768	950	03560000460001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/752	752	765.jpg	/chc0356/image/765.jpg
Group at Ramón Grau San Martín's home in Miramar, Cuba	Rodríguez, Mayea	Seated third from left, José R. Andreu, Cuban president Ramón Grau San Martín, center, and Tony Varona, seated far right, with a group at Grau's home in Miramar, Cuba	Grau San Martín is seated at center with José R. Andreu, former Minister of Public Health, to his right.  Seated at far right is Tony Varona, Cuba's Prime Minister under Carlos Prío Socarras.  Stamp (mark) on verso: "Mayea Rodríguez, Fotógrafo, Telef. X-2535 - Habana."	Grau San Martín, Ramón, 1887-1969; Andreu, José R.; Varona, Manuel Antonio de,1908-1992; Presidents -- Cuba	Group portraits	1957	1950-1960	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000450001001		325.257 KB	0x45B41B4A	image/tiff	Image	768	962	03560000450001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/753	753	764.jpg	/chc0356/image/764.jpg
Ramón Grau San Martín with group at Mount Vernon, Virginia		Cuban president Ramón Grau San Martín, seventh from right, with a group of unidentified men visiting Mount Vernon, Virginia		Grau San Martín, Ramón,1887-1969; Presidents -- Cuba; Mount Vernon (Va. : Estate)	Group portraits	1944-06	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000310001001		369.951 KB	0x1DD1DE4C	image/tiff	Image	768	977	03560000310001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/754	754	750.jpg	/chc0356/image/750.jpg
