Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Workers picking bananas in a Cuban plantation		Singley, B. L. (Benjamin Lloyd)			Written on front: "9980 - Laborers on a banana plantation, Cuba"; Written on verso: "This picture represents laborers handling fruit. We see a tropical splendor in the vegetation that is fascinating to a northern eye. The banana grows best on the lowlands near the sea and along the river banks. The preparation of a banana farm is an interesting sight. The forest is first cleared away, and the cuttings planted. In six months the rows are cleaned out, and in twelve months the first crop is obtained. The tree reaches a height of ten or fifteen feet, while the leaves are ten feet long and two feet wide. Some of the branches grow to an enormous size, a single cluster frequently weighing eighty pounds. To the owner, the shipment of his fruit is the most interesting part of the work. The productiveness of the banana is wonderful. Within a few years the increase of the industry of shipping bananas into the United States has been enormous"	Workers; Banana; Crops; Plantations -- Cuba; Cuba	Stereographs	Keystone View Company	1900	1900-1910	Cuba	1 b&w photograph; 9 x 18 cm	eng		University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 4; Folder No. 1; Folder Title: Stereographs: Keystone View Company; Folder Date: 1890s						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600003630001001	image/tiff	27835040 Bytes	4284	2164	2451381728	RGB	8	600	chc52600003630001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/0	0	54.jp2	/chc5260/image/54.jp2
View of Santiago de Cuba Bay, Santiago de Cuba, Cuba						Santiago de Cuba Bay (Cuba); Santiago de Cuba (Cuba)	Photographs				Santiago de Cuba (Cuba)	1 b&w photograph; 7.3 x 9.5 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 4; Folder Title: Photographs: Havana and outskirts; Folder Date: 1800s-1900s						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600001960001001	image/tiff	12463024 Bytes	2304	1800	399929933	RGB	8	600	chc52600001960001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/1	1	25.jp2	/chc5260/image/25.jp2
Cars number 4 and 38 during auto race on the streets of Havana					Written on car 4: "Municipio Habana"	Automobiles; Automobile racing; Streets -- Cuba -- Havana	Photographs		1957-10-10	1950-1960	Havana (Cuba)	1 b&w photograph; 9 x 12.5 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 6; Folder Title: Photographs: Havana: Automobile race; Folder Date: 1957						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600002700001001	image/tiff	20056732 Bytes	3041	2196	2926078998	RGB	8	600	chc52600002700001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/2	2	65.jp2	/chc5260/image/65.jp2
View of Mercado de Tacón (Tacón Market), Havana, Cuba						Markets -- Cuba -- Havana	Photographs				Havana (Cuba)	1 b&w photograph; 7.5 x 10.2 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 4; Folder Title: Photographs: Havana and outskirts; Folder Date: 1800s-1900s						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600001650001001	image/tiff	13375076 Bytes	2448	1818	3933024881	RGB	8	600	chc52600001650001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/3	3	31.jp2	/chc5260/image/31.jp2
View of huts or "bajareques", in Dos Bocas Valley, Santiago de Cuba, Cuba					Written on front: "Characteristic peasant homes, in the picturesque Valley 'Dos Bocas,' Santiago Province, Cuba"	Huts; Rural housing; Valleys -- Cuba; Santiago de Cuba (Cuba)	Stereographs	Strohmeyer & Wyman Publishers	1899	1890-1900	Santiago de Cuba (Cuba)	1 b&w photograph; 9 x 18 cm	eng		University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 4; Folder No. 2; Folder Title: Stereographs: Strohmeyer & Wyman; Folder Date: 1899						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600004000001001	image/tiff	27346644 Bytes	4264	2136	2189861066	RGB	8	600	chc52600004000001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/4	4	34.jp2	/chc5260/image/34.jp2
View of Havana and Máximo Gómez Monument					Written on front: "2738. Havana"	Monuments; Gómez, Máximo, 1836-1905; Buildings; Panoramic views; Havana (Cuba)	Photographs				Havana (Cuba)	1 b&w photograph; 12 x 16.3 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 5; Folder Title: Photographs: Havana; Folder Date: n.d.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600002610001001	image/tiff	33860432 Bytes	3911	2884	704642467	RGB	8	600	chc52600002610001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/5	5	53.jp2	/chc5260/image/53.jp2
View of Colón Cemetery in Havana, Cuba					Written on front: "The Cemetery Colon - where the 'Maine' dead are buried, Havana"	Cementerio de Colón (Havana, Cuba); Cemeteries -- Cuba; Havana (Cuba)	Stereographs	Strohmeyer & Wyman Publishers	1899	1890-1900	Havana (Cuba)	1 b&w photograph; 9 x 18 cm	eng		University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 4; Folder No. 2; Folder Title: Stereographs: Strohmeyer & Wyman; Folder Date: 1899						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600004020001001	image/tiff	27332920 Bytes	4260	2137	1388438056	RGB	8	600	chc52600004020001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/6	6	37.jp2	/chc5260/image/37.jp2
View of Central Rosario in Aguacate, Cuba		Batcheller, Robert T.		Snapshots taken on trip of the Commercial Club of Chicago to Cuba in February 1905, by Robert T. Batcheller. 40, Aguacate, Feb 8, Sugar grinding mill (Rosario Centrale).	Written on verso: "40"	Sugar factories; Sugar -- Manufacture and refining -- Cuba; Havana (Cuba)	Photographs		1905-02-08	1900-1910	Havana (Cuba)	1 b&w photograph; 9.3 x 11.8 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 3; Folder Title: Photographs; Folder Date: 1905						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600001240001001	image/tiff	19178052 Bytes	2848	2242	1017522446	RGB	8	600	chc52600001240001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/7	7	68.jp2	/chc5260/image/68.jp2
View of a man milking a donkey on a street					Written on front: "Leche de burro, Donkeys milk"	Donkeys; Milking; Streets -- Cuba	Albumen prints; Photographs				Cuba	1 b&w photograph; 16.8 x 14 cm	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 2; Folder No. 1; Folder Title: Albumen Prints; Folder Date: n.d.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600000240001001	image/tiff	41045124 Bytes	3354	4077	1900932457	RGB	8	600	chc52600000240001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/8	8	75.jp2	/chc5260/image/75.jp2
View of a group at El Morro Castle in Havana, Cuba		Batcheller, Robert T.		Snapshots taken on trip of the Commercial Club of Chicago to Cuba in February 1905, by Robert T. Batcheller. 43, Havana, Feb 9, Group on parapet of Morro Castle.	Written on verso: "43"	Tourists; Castillo del Morro (Havana, Cuba); Havana (Cuba)	Photographs		1905-02-09	1900-1910	Havana (Cuba)	1 b&w photograph; 8.5 x 11.8 cm			University of Miami Libraries. Cuban Heritage Collection.	Ramiro A. Fernández Collection	CHC5260		Box No. 3; Folder No. 3; Folder Title: Photographs; Folder Date: 1905						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				chc52600001190001001	image/tiff	17355532 Bytes	2842	2033	113042005	RGB	8	600	chc52600001190001001.tif		2012-04-05	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5260/id/9	9	52.jp2	/chc5260/image/52.jp2
