Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Fairyland Pier		Hoit, Richard B.		Photograph of tourists in line on a pier. The caption reads: "In 1905 Miami Beach was merely a dense mangrove swamp fronted by a beautiful sea beach where mainlanders came occasionally to bathe in the ocean. Avery Smith's company operated a cross-bay ferry line between this pier at the foot of what is now Biscayne Street and Miami." The sign in the photo reads: "This pier the entrance to Fairy Land is the private property of the Biscayne Navigation Co. All persons other than those landed by boats of said Co. will be charged 25 cents each admission fee. Biscayne Navigation Co."		Piers; Tourist attractions	Photographs		1905	1900-1910	Florida; Miami-Dade County (Florida); Miami Beach (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 2; Folder Title: Miami Beach, Florida: Miami Beach was merely a dense mangrove swamp, fronted by a beautiful sea beach where mainlanders came occasionally to bathe.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000240001001	image/tiff	7101.88 KB	3887	3148	0xB09D4B23	RGB	24 bit depth	600 dpi	asm06360000240001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/0	0	22.jp2	/asm0636/image/22.jp2
Grapefruit tree		Hoit, Richard B.		This South Florida tree carries a heavy load of grapefruit.		Trees; Grapefruit	Photographs		1927	1920-1930	Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 2; Folder Title: Miami, Florida: Grapefruits on trees, South Miami; Blossoms of the Yucca Plant.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000160001001	image/tiff	18998.872 KB	5670	4331	0xD122B9DE	RGB	24 bit depth	600 dpi	asm06360000160001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/1	1	14.jp2	/asm0636/image/14.jp2
Coconut palm and sea grape		Hoit, Richard B.		A coconut palm towers above a seagrape plant (Muehlenbeckia or Coccoloba uvifera) on Plantation Key in the Florida Keys.		Palms; Trees	Photographs		1940	1940-1950	Florida; Plantation (Monroe County, Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No.1;  Folder Title: Florida: General.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000060001001	image/tiff	7403.713 KB	4729	5936	0x8B454F84	RGB	24 bit depth	600 dpi	asm06360000060001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/2	2	4.jp2	/asm0636/image/4.jp2
B-29s and jets		Hoit, Richard B.		B-29 bombers and jet planes take to the air. Inscription on verso: "27 = B-29s and 12 jets in review at Miami Airport, Florida. First time the public had seen the Jets. 1934 meet."		Airplanes	Photographs		1934	1930-1940	Florida; Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636		Box No. 2; Folder Title: Miami, Florida: Various views.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000090001001	image/tiff	16241.353 KB	5811	4712	0xAB1837DC	RGB	24 bit depth	600 dpi	asm06360000090001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/3	3	7.jp2	/asm0636/image/7.jp2
Vizcaya		Hoit, Richard B.		A view across the gardens at Vizcaya.		Deering, James, d. 1925 -- Homes and haunts; Vizcaya Museum and Gardens (Miami, Florida); Tourist attractions	Photographs				Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636		Box No. 2; Folder Title: Miami, Florida: Various views.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000100001001	image/tiff	17188.236 KB	5991	4732	0x69D058A6	RGB	24 bit depth	600 dpi	asm06360000100001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/4	4	8.jp2	/asm0636/image/8.jp2
Ho! for Bay Biscayne!		Hoit, Richard B.		This is an 1893 timetable of a two-day stage line trip from Lake Worth to Lemon City, Florida.		Place marketing; Stagecoach lines	Advertising fliers		1893	1890-1900	Florida	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 1; Folder Title: Florida: General.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm06360000050001001	image/tiff	5707.196 KB	3667	5855	0x74C09198	RGB	24 bit depth	600 dpi	asm06360000050001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/5	5	3.jp2	/asm0636/image/3.jp2
Hotel Halcyon, 1910		Hoit, Richard B.			"On 12th Street. The Hotel Halcyon at the corner of 12th Street and Ave B or now Flagler St. & 2nd Avenue, Miami Florida, 1910."--Handwritten inscription on verso.	Halcyon Hotel (Miami, Florida); Hotels; Flagler Street (Miami, Florida)	Photographs		1910	1910-1920	Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 2; Folder Title: Hotel Haleyon at the corner of Twelfth Street and Avenue B now Flagler Street and 2nd Avenue.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000170001001	image/tiff	14440.965 KB	4689	5916	0xF28BBA70	RGB	24 bit depth	600 dpi	asm06360000170001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/6	6	15.jp2	/asm0636/image/15.jp2
Elser's Pier		Hoit, Richard B.		The photograph was taken in Miami at the north side of "Stone Dock," or Elser's Pier, at the foot of Flagler Street; a dog watches as boats are chartered for excursions into the Everglades.		Piers; Flagler Street (Miami, Florida); Elser Pier (Miami, Florida)	Photographs		1908	1900-1910	Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 2; Folder Title: Miami, Florida: North side of Stone Dock at Elser’s Pier foot of Flagler Street; Boat making trips on the Miami River.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000190001001	image/tiff	20244.931 KB	4709	5835	0x86623A88	RGB	24 bit depth	600 dpi	asm06360000190001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/7	7	17.jp2	/asm0636/image/17.jp2
Elks Club		Hoit, Richard B.		The Elks Lodge, a Mediterranean Revival-style building, stood at the corner of Avenue A and 12th Street, later known as Flagler Street and 3rd Avenue.		Elks (Fraternal order). Lodge (Miami, Florida)	Photographs		1906	1900-1910	Florida; Miami-Dade County (Florida); Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636	Series:  I Unassigned	Box No. 2; Folder Title: Miami, Florida: The Elk’s Club at corner of A Avenue and 12th Street now Flagler Street.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000210001001	image/tiff	12643.809 KB	5911	4752	0xA634B30	RGB	24 bit depth	600 dpi	asm06360000210001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/8	8	19.jp2	/asm0636/image/19.jp2
Charles Deering estate		Hoit, Richard B.		Aerial view of the Charles Deering estate from the north, 1931, looking toward the Bay at the south edge of the garden and "teahouse." About 3000 feet elevation.		Deering, Charles, 1852-1927 -- Homes and haunts	Photographs; Aerial views		1931	1930-1940	Florida; Miami-Dade County (Florida); Cutler (Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Richard B. Hoit Photograph Collection	ASM0636		Box No. 2; Folder Title: Miami, Florida: Charles Deering Estate from the North -from 3000 ft elevation.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm06360000110001001	image/tiff	13991.963 KB	4388	6016	0x17493C0A	RGB	24 bit depth	600 dpi	asm06360000110001001.tif		2008-06-02	2012-06-19	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0636/id/9	9	9.jp2	/asm0636/image/9.jp2
