Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Rolando Laserie (center) and Miguelito Valdés (at left) playing drums		Sotomayor			Written on verso: "Homenaje a Miguelito Valdés. año '57. Sotomayor Fotografo"	Laserie, Rolando, 1923-1998; Singers -- Cuba; Valdés, Miguelito; Musicians; Drum Performance	Group photographs		1957	1950-1960	Cuba	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 20; Folder Title: Valdés, Miguelito; Folder date: 1957			axr; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-01-17				chc51230000070001001	image/tiff						24-bit depth	600 dpi			2008-02-27	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/0	0	3.jpg	/chc5123/image/3.jpg
Conjunto Jóvenes del Cuadro				Advertisement for the musical group Los Jovenes del Cuadro, with Rolando Laserie appearing as the second on the bottom row	Written on verso: "Conjunto "Jóvenes del Cuadro" 1947"	Laserie, Rolando, 1923-1998; Los Jóvenes del Cuadro (Musical group); Musicians; Advertisements; Singers -- Cuba	Photographs; Promotional materials		1947	1940-1950	Havana, Cuba	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 22; Folder Title: Conjunto Jóvenes del Cuadro; Folder date: 1947			axr; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-04				chc51230000020001001	image/tiff						24-bit depth	600 dpi			2008-02-27	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/1	1	1.jpg	/chc5123/image/1.jpg
Rolando Laserie with Adolfo Guzmán and others				Rolando Laserie (wearing the cap) gestures toward Cuban conductor Adolfo Guzmán, who is seated third from the left, at the table and wearing a striped tie		Laserie, Rolando, 1923-1998; Singers -- Cuba; Guzmán, Adolfo, conductor; Musicians	Group photographs				Cuba	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 12: Folder Title: Guzman, Adolfo "Cachao"; Folder date: n.d.			axr; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2008-02-04				chc51230000040001001	image/tiff						24-bit depth	600 dpi			2008-02-27	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/2	2	2.jpg	/chc5123/image/2.jpg
Beny Moré (left), Abelardo Barroso (center) and Rolando Laserie		Iñiguez		They performed with the musicians behind them appeared at the concert venue, Los Jardines de la Tropical, in Havana, on April 26, 1958	Written on verso: "Iñiguez fotos. Abril 26 en la Tropical '58. Cuba. Benny Moré, Abelardo Barroso y Rolando Laserie. Jardines de la Tropical (1958)"	Moré, Beny, 1919-1963; Barroso, Abelardo; Laserie, Rolando, 1923-1998; Singers -- Cuba; Entertainers; Musicians	Photographs		1958-04-26	1950-1960	Havana, Cuba	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 16;  Folder Title: Moré, Beny; Folder date: n.d., 1953, 1956			axr; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000010001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/3	3	4.jpg	/chc5123/image/4.jpg
Rolando Laserie on stage				Rolando Laserie and other actors perform onstage at the Teatro Avenida in Buenos Aires, 1969. The live orchestra is visible at the bottom of the photograph	Written on verso: "En el Teatro Avenida de BS AS. (1969. Obra se llamada "Avenida Setenta". Buenos Aires"	Laserie, Rolando, 1923-1998; Teatro Avenida (Buenos Aires, Argentina); Dance costume; Entertainers; Singers -- Cuba	Photographs		1969	1960-1970	Buenos Aires, Argentina	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 3; Folder No. 1;  Folder Title: Argentina; Folder date: n.d., 1961-1962, 1969, [1975]			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000080001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/4	4	7.jpg	/chc5123/image/7.jpg
Rolando Laserie and Andy Garcia in Miami in a recording studio					Written on verso: "9498-8A. Andy Garcia, Rolando Laserie. 1990s"; On recto: Illegible autograph inscription	Laserie, Rolando, 1923-1998; Singers -- Cuba; Garcia, Andy; Entertainers; Actors	Portrait photographs			1990-2000	Miami, Florida	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 3; Folder No. 6; Folder Title: Miami, Florida; Folder date: n.d., 1990s			axr; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000090001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/5	5	8.jpg	/chc5123/image/8.jpg
Rolando Laserie in New York				Rolando Laserie (second from left) appears with his wife Gisela (also known as Tita); Graciela Grillo Pérez, lead singer of the mambo group Orquesta Machito (standing); Afro-Cuban jazz bandleader Mario Bauzá (second from right); pianist-composer Ernesto Duarte Brito (at right); and other friends	Written on verso: "Graciela (cantante de la Orq. de Machito), Gisela (esposa de Rolando) una bailarina, Mario Bauzá, Ernesto Duarte. N. York. 1958"	Laserie, Rolando, 1923-1998; La Serie, Gisela; Graciela; Bauzá, Mario, 1911-1993; Duarte, Ernesto; Orquesta Machito; Entertainers; Musicians; Singers -- Cuba	Group photographs		1958	1950-1960	New York, New York	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 3; Folder No. 9; Folder Title: New York; Folder date: 1958, 1961-1963, 1969, [1960s]			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000100001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/6	6	9.jpg	/chc5123/image/9.jpg
Rolando Laserie with friends in New York		Villamil		Front row, left to right: Celia Cruz, Lucho Gatica, Rosendo Rosell, unidentified man, Gisela La Serie, Guillermo Alvarez Guedes. Back row: unidentified man, Rolando Laserie	Written on verso: "Photo by Villamil. Tel. TA9-5135. 403 Turneur Ave, BNX. 72, NY.  From left to right: (uno del duo "Los Casanova"), Rolando Laserie, Celia Cruz, Lucho Gatica, Rosendo Rosell, (un deconocido), Guillermo Alvarez Guedes y Tita, la esposa de Rolando. NY, NY. [1960s]"	Laserie, Rolando, 1923-1998; Cruz, Celia; Gatica, Lucho; Rosell, Rosendo; Alvarez Guedes, Guillermo; Musicians; Entertainers; Singers -- Cuba	Group photographs			1960-1970	New York, New York	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 3; Folder No. 9; Folder Title: New York; Folder date: 1958, 1961-1963, 1969			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000110001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/7	7	10.jpg	/chc5123/image/10.jpg
Rolando Laserie, Celia Cruz, and Omara Portuondo		Vanguardistas Los Quadreny		Rolando Laserie, Celia Cruz (center), and Omara Portuondo (left) perform at the Hotel Habana Hilton	Written on verso: "Fotos Vanguardistas. Los Quadreny. Ave 41#9004 - Marianao. Rolando Laserie, Celia Cruz y Omara Portuondo [?]. "El Solar" Hotel Habana Hilton 1960"	Laserie, Rolando, 1923-1998; Cruz, Celia; Portuondo, Omara; Habana Hilton (Hotel : Havana, Cuba); Entertainers; Dancers; Singers -- Cuba	Photographs		1960	1960-1970	Havana (Cuba)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 16;  Folder Title: Moré, Beny; Folder date: n.d., 1953, 1956			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000030001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/8	8	5.jpg	/chc5123/image/5.jpg
Rolando Laserie, age 7					Written on verso: "Rolando Laserie a la edad de 7 años"	Laserie, Rolando, 1923-1998; Singers -- Cuba	Portraits		[1930]	1930-1940	Cuba	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection.	Rolando Laserie Papers	CHC5123		Box No. 2; Folder No. 1; Folder Title: Portraits; Folder date: n.d., [1930], 1956-1960, [1950s], [1981], 1990			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2007-11-27				chc51230000060001001	image/tiff						24-bit depth	600 dpi			2008-04-21	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5123/id/9	9	6.jpg	/chc5123/image/6.jpg
