Title	Translated Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Full Text	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											asm0656000246						asm06560002460001001	image/tiff	29418264 Bytes	2467	3972	2098923606	RGB	8	600	asm06560002460001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/0	0	1.jp2	/asm0656/image/1.jp2
Page 2																											asm0656000246						asm06560002460002001	image/tiff	29026896 Bytes	2464	3924	1515766293	RGB	8	600	asm06560002460002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/1	1	2.jp2	/asm0656/image/2.jp2
Maymie Williams congratulations and best wishes card						Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Miami Chapter; Williams, Maymie	Correspondence					1 greeting card	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: II. Professional Papers; Sub-series: B. AJC Miami	Box No. 9; Folder No. 3; Folder Title: American Jewish Committee Miami Chapter: Correspondence; Folder Date: 1960-1963						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000246	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/2	2	3.cpd	/asm0656/image/3.cpd
Page 1																											asm0656000076						asm06560000760001001	image/tiff	100980258 Bytes	5100	6600	3846814092	RGB	8	600	asm06560000760001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/3	3	4.jp2	/asm0656/image/4.jp2
Page 2																											asm0656000076						asm06560000760002001	image/tiff	100980258 Bytes	5100	6600	2448035884	RGB	8	600	asm06560000760002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/4	4	5.jp2	/asm0656/image/5.jp2
Page 3																											asm0656000076						asm06560000760003001	image/tiff	100980258 Bytes	5100	6600	1358694118	RGB	8	600	asm06560000760003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/5	5	6.jp2	/asm0656/image/6.jp2
Seymour Samet remarks at Domestic Affairs Commission Meeting		Samet, Seymour, 1912-			"Notes of a Holocaust Survivor"-Washington, D.C., April 12, 1983 at New York Hilton Hotel	Samet, Seymour, 1912-; Speeches, addresses, etc.; American Jewish Committee; American Jewish Committee. Domestic Affairs Dept.	Documents		1983-05-12	1980-1990	New York (New York)	1 document; 3 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 8; Folder Title: Personal Papers: Speeches/Writings; Folder Date: n.d, 1954-1957, 1959, 1962, 1964, 1965, 1967, 1968, 1979, 1982, 1983, 1984, 1987, 1990, 1995						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000076	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/6	6	7.cpd	/asm0656/image/7.cpd
Page 1																											asm0656000015						asm06560000150001001	image/tiff	133898664 Bytes	5487	8133	426182586	RGB	8	600	asm06560000150001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/7	7	8.jp2	/asm0656/image/8.jp2
Page 2																											asm0656000015						asm06560000150002001	image/tiff	135264492 Bytes	5471	8240	1667457710	RGB	8	600	asm06560000150002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/8	8	9.jp2	/asm0656/image/9.jp2
Page 3																											asm0656000015						asm06560000150003001	image/tiff	132075516 Bytes	5405	8144	731863236	RGB	8	600	asm06560000150003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/9	9	10.jp2	/asm0656/image/10.jp2
On Being Human: The Workshop Review					Volume I, No. 2	Civil rights -- United States -- History -- 20th century; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Interpersonal relations; Workshops (Seminars); Workshops (Adult education); Jones, Isham B.	Documents		1952-04-21	1950-1960	New Jersey	1 document; 3 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000015	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/10	10	11.cpd	/asm0656/image/11.cpd
Page 1																											asm0656000010						asm06560000100001001	image/tiff	42079616 Bytes	3383	4144	132539909	RGB	8	600	asm06560000100001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/11	11	12.jp2	/asm0656/image/12.jp2
