Title	Translated Title	Variation of Title	Uniform Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Edition	ISSN	ISBN	Call Number	OCLC No.	Physical Description	Language	Editor	Attention	References	Donor	Provenance	Copyright	Repository	Collection Title	Collection No.	Container	Series	Object ID	Upload ID	Full text	Digital ID	Directory	Original Source	Type	Format	IBISWEB Catalog Link	Date Digital	Hardware	Software	BitDepth	Resolution	File Size	Width	Height	Checksum	Color Space	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Cover, vol. 2						The cover is half calf bound with red marbled boards and red Morocco spine with the title on gilt letters: "The Alambra Palace"		Book covers	Book covers								NA387.G64 1842		1 p. ; 69 cm.	eng, fre, spa	oxe														asc99990000580001001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2589.222 KB	2570	3430	0xBA0EEDD0	RGB	asc99990000580001001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/0	0	1.jp2	/scbooks/image/1.jp2
Cover verso, vol. 2						The cover verso is done in red marbled boards	Book labels: "City Library Association, Springfield, Mass. The Chester W. Chapin, Department of Reference. Endowed by Mrs. Dorcas Chapin. Date of Reception: Dec. 25 1885. Accession Number: 53252. Stack 720.946.G74 v.2" and "Presented to the City Library Association of Springfield, Mass. by Mrs. James A. Rumrill"	Book covers;	Book covers;								NA387.G64 1842		1 p. ; 69 cm.	eng	oxe														asc99990000580002001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	3159.091 KB	2620	3600	0xDC9AD6B2	RGB	asc99990000580002001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/1	1	2.jp2	/scbooks/image/2.jp2
Details and ornaments from the Alhambra, vol. 2						Added title page: "Details and ornaments from the Alhambra by Owen Jones, architect" This page is decorated and has Arabic writing on the edges of the plate			Frontispieces								NA387.G64 1842		1 p. ; 69 cm.	eng,ara	oxe														asc99990000580003001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2085.895 KB	2350	3600	0xA584377B	RGB	asc99990000580003001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/2	2	3.jp2	/scbooks/image/3.jp2
Title page, vol. 2											1845						NA387.G64 1842		1 p. ; 69 cm.	eng	oxe														asc99990000580004001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	596.234 KB	2350	3600	0x3D0C173D	RGB	asc99990000580004001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/3	3	4.jp2	/scbooks/image/4.jp2
List of plates, vol. 2						It lists 50 plates in vol.2, in English and French. The plates illustrate details of doors, arches, courtyards, fountains, baths, capitals, ceilings, and ornaments of the Alhambra and are not accompanied by explanatory text											NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580005001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1524.674 KB	2350	3600	0x89BFFB67	RGB	asc99990000580005001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/4	4	5.jp2	/scbooks/image/5.jp2
Plate I, Ornament in panels on the walls, Hall of the Ambassadors, vol. 2	Ornement dans des panneaux sur les murs, Salle des Ambassadeurs					Plate I offers one color illustration of the wall panels in the Hall of the Ambassadors		Alhambra (Granada, Spain) -- Hall of the Ambassadors; Wall panels; Decorations	Drawings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580006001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2347.043 KB	2350	3600	0x6F313FF6	RGB	asc99990000580006001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/5	5	6.jp2	/scbooks/image/6.jp2
Plate II, Cornice over columns, Court of the Lions. Frieze over columns, Court of the Lions, vol. 2	Corniche au-dessus des colonnes, Cour des Lions. Frise au-dessus des colonnes, Cour des Lions					Plate II offers two illustrations. Top: Cornice over columns, Court of the Lions; bottom: Frieze over columns, Court of the Lions		Alhambra (Granada, Spain) -- Court of the Lions; Decorations; Columns	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580007001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1973.721 KB	2350	3600	0xA9F4E16	RGB	asc99990000580007001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/6	6	7.jp2	/scbooks/image/7.jp2
Plate III, Ornament in panels, Sala de la Barca. Ornament in panels, Hall of the Ambassadors, vol. 2	Ornement dans des panneaux, Salle de la Barca. Ornement dans des panneaux, Salle des Ambassadeurs					Plate III offers two illustrations. Top: Ornament in panels, Hall of the Ambassadors; bottom: Ornament in panels, Sala de la Barca		Alhambra (Granada, Spain) -- Hall of the Bark; Alhambra (Granada, Spain) -- Hall of the Ambassadors; Decorations; Wall panels	Drawings; Engravings;								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580008001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1693.502 KB	2350	3600	0x243612F7	RGB	asc99990000580008001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/7	7	8.jp2	/scbooks/image/8.jp2
Plate IV, Frieze in the Hall of the Two Sisters. Panel on jambs of doorways, Hall of the Two Sisters,  vol. 2	Frise, Salle des Deux Sœurs. Panneau sur un jambage de porte, Salle des Deux Sœurs					Plate IV offers two illustrations. Top: Frieze in the Hall of the Two Sisters; bottom: Panel on jambs of doorways, Hall of the Two Sisters		Alhambra (Granada, Spain) -- Hall of the Two Sisters; Decorations; Paneling	Engravings; Drawings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580009001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1709.124 KB	2350	3600	0x83AFB9B1	RGB	asc99990000580009001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/8	8	9.jp2	/scbooks/image/9.jp2
Plate V, Ornament in panels, Hall of the Ambassadors, vol. 2	Ornement dans des panneaux, Salle des Ambassadeurs					Plate V offers one illustration of decorations in the panels in the Hall of the Ambassadors		Alhambra (Granada, Spain) -- Hall of the Ambassadors; Decorations; Paneling	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580010001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1798.625 KB	2350	3600	0xC2B96B4	RGB	asc99990000580010001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/9	9	10.jp2	/scbooks/image/10.jp2
