Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Paramignya monophylla Wight (Tillson 150)							Young flower bud	x	4x			Experimental Greenhouse, U.S.D.A.  Glenn Dale, Maryland	United States				Sapindales	Rutaceae	Paramignya	monophylla	Wight	Tillson 150	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson150	bio00010167690001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010167690001001.tif	24357452 Bytes	2784	2916	2017661814	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1046	1046	1060.jp2	/swingle/image/1060.jp2
Stauranthus perforatus  (Tillson 653)					Purpus, C.A.; 10865	Oct., 1926	Flower bud	x	4x		USNH No. 1269729	Zacuapan, Veracruz, Mexico	Mexico				Sapindales	Rutaceae	Stauranthus	perforatus		Tillson 653	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson653	bio00010204390001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010204390001001.tif	18303908 Bytes	2316	2634	2069925952	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1047	1047	1083.jp2	/swingle/image/1083.jp2
Casimiroa edulis  (F44)	white sapote; Mexican apple				Wylie, Robert B.	September, 1944	Leaf	x	10x			Miami, Florida	United States				Sapindales	Rutaceae	Casimiroa	edulis		F44	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F44	bio00010247130001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010247130001001.tif	10776284 Bytes	2784	1290	2352239761	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1048	1048	1108.jp2	/swingle/image/1108.jp2
Lecythis cubia  (S41)					Venning, F.D.	Summer, 1950	Leaves	cleared whole mounts	10x		Material collected for Wylie, Robert B., Dr., Prof. Emeritus of Botany, State University of Iowa.  Dr. Wylie had duplicate slides made of this material and presented these to the Swingle Plant Research Laboratory in 1953.	Harvard Atkins Garden, Soledad, Cuba	Cuba				Ericales	Lecythidaceae	Lecythis	cubia		S41	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	S41	bio00010249220001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010249220001001.tif	37604372 Bytes	4080	3072	1372946461	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1049	1049	1099.jp2	/swingle/image/1099.jp2
Galipea jasminiflora  (Tillson 436)					Hoehne, F.C.	10/4/1925	Flower bud	x	4x		Bot. e. Agron. Do Inst. Biol. N. 13616.	Brazil, Nova Europa, Sao Paulo	Brazil					Rutaceae	Galipea	jasminiflora		Tillson 436	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson436	bio00010191260001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010191260001001.tif	12634268 Bytes	2040	2064	2864234118	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-07-09	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1050	1050	1087.jp2	/swingle/image/1087.jp2
Euphoria gracilis  (SV140)					Agama, J. 1076	November 1920	Base of leaf	x	4x		Flowers, leaf, young fruits.  Natl. Herb. 1093472.  Herb. Bur. Sci. Phil.	Philippines	Philippines					Sapindaceae	Euphoria	gracilis		SV140	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV140	bio00010015530001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010015530001001.tif	37604372 Bytes	4080	3072	2881486414	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1051	1051	1140.jp2	/swingle/image/1140.jp2
Rhizophora mangle  (F94)					Wylie, Robert B.	September, 1944	Leaf	x	10x			Miami, Florida	United States				Malpighiales	Rhizophoraceae	Rhizophora	mangle		F94	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F94	bio00010248720001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010248720001001.tif	33996828 Bytes	4044	2802	3269517251	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1052	1052	1097.jp2	/swingle/image/1097.jp2
Sapindus saponaria L. (SV23)					Swingle, W.T.	11/2/1943	Flower	x	4x		Flowers, flower buds, leaves. FAA	Florida Sub-Tropical Experiment Station, Homestead, Florida	United States					Sapindaceae	Sapindus	saponaria	L.	SV23	B-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV23	bio00010035450001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010035450001001.tif	22806212 Bytes	2484	3060	102282433	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1053	1053	1050.jp2	/swingle/image/1050.jp2
Micromelum compressum var. inodorum  (Tillson 279)					Ramos, M.		Flower bud	x	4x		TTM 284.  Herb. Bur. Sci. Phil. No. 16689.	Rizal, Bontoc, Philippines	Philippines				Sapindales	Rutaceae	Micromelum	compressum var. inodorum		Tillson 279	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson279	bio00010178840001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010178840001001.tif	17449452 Bytes	2544	2286	393898083	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1054	1054	1052.jp2	/swingle/image/1052.jp2
Atalantia buxifolia (Poir.) Oliver ex Benth. (Tillson 54)					Tillson, A.H.		Flower bud	x	10x			Glenn Dale, Maryland, U.S.D.A.	United States				Sapindales	Rutaceae	Atalantia	buxifolia	(Poir.) Oliver ex Benth.	Tillson 54	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson54	bio00010199200001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010199200001001.tif	37604372 Bytes	4080	3072	909635059	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1055	1055	1133.jp2	/swingle/image/1133.jp2
