Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Kate Stirrups, Dean of Students, George Washington Carver Junior and Senior High School		Simms, Bob, 1927-			This photograph was part of the Glory in the Grove Exhibit.	Stirrups, Kate; George Washington Carver Junior High School (Coconut Grove, Florida); George Washington Carver Senior High (Coconut Grove, Florida); Glory in the Grove Exhibit; African Americans -- Florida -- Miami	Photographs		1953-1964	1950-1970	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000230001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		5040.913 KB	6240	5022	0x7C269ADC	RGB	24-bit depth	300 dpi	asm06500000230001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/0	0	22.jp2	/asm0650/image/22.jp2
George Washington Carver Senior High School Hornets football team		Simms, Bob, 1927-			The team finished the season with a victory in the state championship game in 1959. This photograph was part of the Glory in the Grove Exhibit.	George Washington Carver Senior High School (Coconut Grove, Florida); Hornets Football Team; Glory in the Grove Exhibit; Football teams -- Florida -- Miami; African American athletes -- Florida -- Miami	Photographs		1959	1950-1960	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000150001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		4390.373 KB	6150	4978	0xA7BFA63C	RGB	24-bit depth	300 dpi	asm06500000150001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/1	1	14.jp2	/asm0650/image/14.jp2
George Washington Carver Senior High School Hornets baseball team, 1954-1955		Simms, Bob, 1927-			This photograph was part of the Glory in the Grove Exhibit.	George Washington Carver Senior High School (Coconut Grove, Florida); Glory in the Grove Exhibit; Hornets Baseball Team; Baseball teams -- Florida -- Miami; African American athletes -- Florida -- Miami	Photographs		1954-1955	1950-1960	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000040001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		5386.168 KB	6204	5005	0xBC08B7E4	RGB	24-bit depth	300 dpi	asm06500000040001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/2	2	4.jp2	/asm0650/image/4.jp2
Nathaniel "Traz" Powell, coach of the George Washington Carver Senior High School Hornets football team		Simms, Bob, 1927-		Coach Powell illustrating football plays on a blackboard.	Powell was coach of the George Washington Carver Senior High School Hornets football team from 1948 to 1964. This photograph was part of the Glory in the Grove Exhibit	Powell, Nathaniel; George Washington Carver Senior High School (Coconut Grove, Florida); Glory in the Grove Exhibit; Football coaches -- Florida -- Miami; African Americans -- Florida -- Miami	Photographs		1953-1964	1950-1970	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000070001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		7419.222 KB	6258	5098	0x58A7F590	RGB	24-bit depth	300 dpi	asm06500000070001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/3	3	7.jp2	/asm0650/image/7.jp2
George Washington Carver Senior High School Hornets basketball team		Simms, Bob, 1927-		Coach Nathaniel "Traz" Powell and ten members of the George Washington Carver Senior High School Hornets state championship team, 1955. At far left, Coach Powell; team members Rooks, Thompson, Johnson, Francis, Morehead, Chester, Moore, Sands, Alexander, one unidentified athlete somewhere in the group.	This photograph was part of the Glory in the Grove Exhibit.	Powell, Nathaniel; George Washington Carver Senior High School (Coconut Grove, Florida); Glory in the Grove Exhibit; African American athletes -- Florida -- Miami	Photographs		1955	1950-1960	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000080001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		6401.312 KB	7112	3704	0xCAF70D40	RGB	24-bit depth	300 dpi	asm06500000080001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/4	4	8.jp2	/asm0650/image/8.jp2
George Washington Carver Senior High School 1963 Dade County champions, 440 yard relay team		Simms, Bob, 1927-		Coach Arleen Robinson (center) with Debra Dukes, Barbara Williams, Sharon Moore, and one unidentified athlete.	This photograph was part of the Glory in the Grove Exhibit.	Robinson, Arleen; Dukes, Debra; Williams, Barbara; Moore, Sharon; George Washington Carver Senior High School (Coconut Grove, Florida); Glory in the Grove Exhibit; African American athletes -- Florida -- Miami	Photographs		1963	1960-1970	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000030001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		4479.139 KB	6106	4918	0x867662F1	RGB	24-bit depth	300 dpi	asm06500000030001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/5	5	3.jp2	/asm0650/image/3.jp2
Archie Williams (standing) and Ernest Hart (kneeling), co-captains of the George Washington Carver Senior High School Hornets football team		Simms, Bob, 1927-			This photograph was part of the Glory in the Grove Exhibit.	Williams, Archie; Hart, Ernest; George Washington Carver Senior High School (Coconut Grove, Fla.); Hornets Football Team; Glory in the Grove Exhibit; African American athletes -- Florida -- Miami	Photographs		1959	1950-1960	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000160001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		4245.662 KB	4980	6200	0x4E664849	RGB	24-bit depth	300 dpi	asm06500000160001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/6	6	15.jp2	/asm0650/image/15.jp2
"Miss Carver High and Attendants" on a float in a parade		Simms, Bob, 1927-			This photograph was part of the Glory in the Grove Exhibit.	George Washington Carver Senior High School (Coconut Grove, Florida); Glory in the Grove Exhibit; African Americans -- Florida -- Miami	Photographs		1953-1964	1950-1970	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000180001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		4702.479 KB	6801	5447	0xA21305F8	RGB	24-bit depth	300 dpi	asm06500000180001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/7	7	17.jp2	/asm0650/image/17.jp2
Jimmy Douglas defeats Bobby Sher in the 100 yard dash		Simms, Bob, 1927-		Douglas, a George Washington Carver Senior High School senior, defeats Sher, the University of Miami southeast United States champion, in a dual track meet at the University of Miami held on June 22, 1960.	This 100 yard dash, though unofficial, represented the first track competition between black and white athletes in the state of Florida. This photograph was part of the Glory in the Grove Exhibit.	Douglas, Jimmy; Sher, Bobby; George Washington Carver Senior High School (Coconut Grove, Florida); University of Miami; Glory in the Grove Exhibit; African American athletes -- Florida -- Miami; Runners (Sports)	Photographs		1960-06-22	1960-1970	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000100001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		6657.206 KB	6759	5461	0x6242A66B	RGB	24-bit depth	300 dpi	asm06500000100001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/9	9	9.jp2	/asm0650/image/9.jp2
Resolution of Tribute for Aubrey Watkins Simms				Memorial tribute from the University of Miami to commemorate Aubrey Watkins Simms, wife of Bob Simms		Simms, Aubrey Watkins, 1924-2006; University of Miami; African American leadership -- Florida	Certificates		2006-10-27	2000-2010	Miami (Florida)	1 page	eng		University of Miami Libraries. Special Collections.	Bob Simms Collection	ASM0650			Simms, Bob, 1927-	Simms, Robert H.	JRR; AL		© 2007 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm06500000260001001		2007-11-27	image/tiff	Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		4263.491 KB	3942	5760	0xC6872166	RGB	24-bit depth	300 dpi	asm06500000260001001.tif		2007-11-27	2010-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0650/id/10	10	28.jp2	/asm0650/image/28.jp2
