Title	Translated Title	Title Variation	Uniform Title	IBISweb Catalog Link	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Publication Date	Publication Place	Coverage Temporal	Coverage Spatial	Call Number	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Full Text	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The Carrell: Journal of the Friends of the University of Miami Library, Vol. 1, No. 1, June 1960								Cover art: Wood engraving by Richard L. Merrick.																								asu0660000001	r  ~zC  -c C-&lt;J^L4s&gt;  CC^fe^  .*&lt;***^^  THE  CARRE LL  JOURNAL 0FTHE FRIENDS  of the UNIVERSITY OF MIAMI LIBRARY  Volume 1  June 1960  Number 1 	asu06600000010001001							66726292 Bytes	3900	5700	1021573428	RGB	8	600	asu06600000010001001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/240	240	241.jp2	/asu0660/image/241.jp2
Contents																																asu0660000001	THE CARRELL  JOURNAL OF THE FRIENDS OF THE  UNIVERSITY OF MIAMI LIBRARY  Coral Gables 46, Florida  Editor  Malcolm Ross f/  Assistant Editors  Charles L. Morgan, Jr. George W. Rosner  Editorial Board  K. Malcolm Beal  Clayton Charles Richard L. Merrick IS  William Frederick Shaw Charlton W. Tebeaufx^  Archie L. McNeal Burton T. Wilson  CONTENTS  PAGE  The First Issue      1  Theodore Spicer-Simson 2  By Lawrence W. Hockey  The Eder Collection 9  By Mildred H. Selle  New Light on Voyages of John Cabot 13  By David O. True  Note on David O. True 15  ByM.S.D.  Hervey Allen |/ 16  By Edward Davison  Recent Gifts and Acquisitions 23  Contributors to This Issue 24  Copyright, 1960, by the  Friends of the University of Miami Library 	asu06600000010002001							64146328 Bytes	3750	5700	3186214178	RGB	8	600	asu06600000010002001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/241	241	242.jp2	/asu0660/image/242.jp2
The First Issue																																asu0660000001	THE  CARRE LL  Volume I JUNE   1960 Number I  THE FIRST ISSUE  The Volume I Number I imprint on a new journal declares  the birth of a purpose and promises to give it continuity. The  purpose of The Carrell is to make known the notable collections  in the University of Miami Library, to evaluate them through the  eyes of area scholars, to relate print to people.  Choice of the name carrell—a small alcove in a library for  individual study—reflects a resolve that the voice of the Friends  will sound the praise of reading and quiet reflection.  The lineage of The Carrell may be traced back to the beginning of the Century when Theodore Spicer-Simson turned  to medallic portraits as his metier. His 300 medallions, correspondence with the Edwardian sitters and his memoirs add the  durability of bronze to a literary epoch. Margaret Spicer-Simson,  companion of the sculptor's creative half century, has placed  the Collection in the hands of the University of Miami Library,  looking toward eventual acquisition.  This year four Spicer-Simson Lectures were held. Two of the  speakers, Padraic Colum and Robert Frost, were themselves  modelled in bronze by Spicer-Simson. Two other lecturers, Alis-  tair Cooke and Edward Davison spoke, respectively, on H. L;  Mencken and Hervey Allen, both of whom Spicer-Simson had  delineated in metal. The format of lectures based on those who  sat to Spicer-Simson will be continued.  Associations of Friends of the Library at older universities  have enriched the shelves of their institutions. To them we are  indebted both for the concept of a band of brothers in literature  and for the Chronicle and Journal prototypes of The Carrell.  M.R. 	asu06600000010003001							63349024 Bytes	3750	5629	1131756879	RGB	8	600	asu06600000010003001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/242	242	243.jp2	/asu0660/image/243.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	THEODORE SPICER-SIMSON  By Lawrence W. Hockey  TTHEODORE SPICER-SIMSON was in his early thirties, and already secure in his standing as a sculptor, when,  in 1903, he made his decision to concentrate on medallic  portraiture. Although he continued to work in stone from time  to time, the transition was abrupt and permanent. Few artists  have such disparate works in their repertory as Spicer-Simson's  eight-foot statue of the Maharajah of Bobbili, done in his first  period, and the four-inch medallic portrait of Frederick Watts,  R.A., which he modelled from life in 1904.  We must applaud that choice to revive the art of medallic  portraiture, lost since the Renaissance. From the artist it demanded all the skill of draftsmanship and modelling acquired  since boyhood. For him it opened up half a century of an entirely congenial pursuit, the delineation of character on the miniature yet enduring surface of a bronze medallion.  Posterity thereby gained more than 300 medallic portraits  of the great and near great of Europe and America, from the  Victorian era to our own times. In the palm of one's hand one  may let the light play on the strong features of Joseph Conrad,  the broad brow of George Meredith, the living likeness of Robert Frost or Alexander Graham Bell.  I am given to understand that Theodore Spicer-Simson will  be memorialized in a forthcoming book. In reporting here my  impressions of Spicer-Simson, acquired over the years of our  friendship, I shall confine myself to what I learned from him  of his objectives and methods in creating medallic portraits.  Spicer-Simson was a perfectionist, taking a proper pride and  pleasure only in first class work. On one occasion, dissatisfied  with a completed bronze medallic portrait of the Prime Minister  of Saxe Coburg and Gotha, he threw it into the Thames from  Battersea Bridge, thereby ensuring that it would be of no avail  to alter his judgment.  Before he found his metier, he had turned his versatile hand  to many forms of art, including book-plates, illustration, designs,  inscriptions and drawing. Most of these endeavors were con- 	asu06600000010004001							65521480 Bytes	3829	5702	2828547634	RGB	8	600	asu06600000010004001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/243	243	244.jp2	/asu0660/image/244.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	genial pot boiling. His first love was sculpture, and in that profession he had been encouraged by such masters as Jean Paul  Lawrens, Jean Dampt and Auguste Rodin.  Protected by his own stern self-criticism from releasing anything but his finest work, and amply possessed of skill, his foray  into the field of medallic portraits won immediate approval. Of  the 1904 Watts medallion, L. Forrer's Biographical Dictionary  of Medallists states:  The Watts medallion, executed in the style of the  early Renaissance school, is a bold piece of work,  which reminds one of a portrait by Pisanello. The  likeness is highly realistic and dignified, and  might have been designed by Watts himself. The  lofty forehead, the eyes in their deep sockets, the  strong Roman nose, every feature expressive of  keenness of mind, denote the great artist.  From 1903 onward, Spicer-Simson went from strength to  strength; and many great men, of world wide fame, were portrayed in enduring bronze. Statesmen, artists, poets, authors,  musicians, philosophers, scientists, inventors, business men, industrialists and lovely women had their essential character depicted in relief. Among a distinguished company may be mentioned: President William Howard Taft and President Franklin  D. Roosevelt, King Albert and Queen Elizabeth of Belgium,  Ignace Paderewski, General Horace Porter, Henri Caro Del-  vaille, Lyonel Feininger, Robert Bridges, Thomas Hardy, George  Meredith, John Masefield, W. B. Yeats, Lady Gregory, James  Joyce, James Stephens, G. Bernard Shaw, Walter de la Mare,  G. K. Chesterton, H. G. Wells, Arnold Bennett, John Galsworthy, Joseph Conrad, W. H. Hudson, W. H. Davies, C. M.  Doughty, Edwin Arlington Robinson, Sherwood Anderson, Her-  vey Allen, Robert Frost, J. H. Fabre, Count Hermann Keyserling,  Selma Lagerlof, Pol Neveux, George Courteline, Wilbur Wright,  Alexander Graham Bell, Thomas A. Watson, Lord Rutherford,  Frederick Soddy, John B. White, Henry Ford, Andrew Carnegie,  Rudolph H. Wurlitzer, and Abdu'l Baha, the religious leader.  This is a representative list—one hardly to be rivaled as it stands  —yet there are many other equally famous people who have  been finely portrayed by Spicer-Simson. 	asu06600000010005001							65917452 Bytes	3900	5632	3223515889	RGB	8	600	asu06600000010005001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/244	244	245.jp2	/asu0660/image/245.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	Let us consider his methods, technique and effects. First, there  is a valid artistic reason for the circular shape of the setting,  about which Spicer-Simson wrote:  Visually, the shape of a coin or medal is very  important, for no form attracts the sight so strongly to itself as the circle. The eye is held within that  shape, for the outline has no angle to draw the  attention away from the centre. This is all to the  advantage of the subject depicted therein, but the  form that can rotate like a wheel has no natural  position or angle from which it can be examined,  unless the design possesses a real feeling of gravity. This attribute should be obtained by the artist  through the lines and space-divisions of the composition to give it counterpoise and a static  quality.  Before he actually started on a portrait, Spicer-Simson used  to take a small plaquette of wood (or aluminium, in climates  where wood might warp or buckle), and this he covered with  a thin layer of plasticine, as foundation. He considered that the  Italian product was best for his purpose, as it does not harden  or dry out like clay, nor does it get a thin skin like wax, but  remains and retains the same consistency throughout.  Then, he drew the profile of the sitter. The placing of the  portrait in the circle, forward or back, based on the rim or above,  depended upon his interpretation of the character of the person  portrayed. The portrait is not placed exactly in the centre. Its  positioning is a matter of careful consideration and demands  meticulous judgment. If it is wrongly placed in the circle, the  portrait looks wrong; it is to Spicer-Simson's credit that all his  portraits look just right. The proportion of the head to the circle  is also carefully judged, while the head is represented in a characteristic attitude. The profile is selected because it has more  angles than a three-quarter or full face, which is simply an oval,  and an oval in a circle has not much character or interest. It is  also more natural to depict the profile, for prominent features  can be better reproduced in relief in this position.  For modelling, Spicer-Simson used wooden or ivory tools,  of his own devising and shaping, the result of experiment, and 	asu06600000010006001							66712660 Bytes	3900	5700	23531163	RGB	8	600	asu06600000010006001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/245	245	246.jp2	/asu0660/image/246.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	of course, a good deal of delicate work with his long, fine, sensitive fingers. In building up the portrait relief, he used tiny pieces  of plasticine, sometimes no bigger than a pin head; and, working  with skill, care and patience, he obtained those subtle and lifelike effects which give his subjects immortality.  In working in the plastic materia—plasticine, wax or clay—  the artist must be able to visualize the final effect desired when  the work is cast in the metal. He must also decide which metal  will give the best result. Therefore, he must have the skill and  judgment to know how far to go and when to stop. Spicer-Simson  had this power.  When the plasticine portrait was completed to his satisfaction,  a plaster case was made. Then came the process of the lettering  or inscription. This was cut, in reverse, in the plaster; and, once  this was done, the portrait was ready for casting in metal.  How did he obtain his effects? By necessity, he relied to a great  extent on his excellent draughtsmanship and his exceptionally  fine and subtle modeling. Much of his power lay in his technique  which made intelligent use of suggestion in his medallic portraits.  To suggest something of the sitter's character or personality, he  employed high or low relief. Generally speaking, a masculine  portrait should have bolder relief than a feminine one in which  low relief should suggest womanly qualities, for low relief gives  "extremely delicate tone and shadow to the features"; while a  strong, virile or aggressive character should be portrayed in more  vigorous relief than that of a person of gentle disposition.  The style and placing of the lettering were also carefully considered in order to convey the greatest suggestive effect. Whether  it was small or large, severe or plain or ornate or decorative,  light or heavy, was decided by the artist in accordance with his  idea of the character of the sitter, and this affected the general  style of the portrait. Usually, the lettering was placed around the  rim, as in a coin; but, occasionally, it was cut at right angles to  the portrait. Rarely, as in the George Meredith portrait, there  was no lettering or inscription. It was a matter for the artist's  discretion.  Suggestive use was also made of the background. Medallic  portraiture is well adapted for peoples of all ages. What the artist  sought was character, and character is more obvious in mature 	asu06600000010007001							64162416 Bytes	3750	5700	3852107657	RGB	8	600	asu06600000010007001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/246	246	247.jp2	/asu0660/image/247.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	persons than in youth. Spicer-Simson had a highly developed  memory for form and construction. I have known him to do the  portrait of a lady whom he met casually at tea-time and surprise  her with the result. For a young face the background was smooth;  by these contrasts Spicer-Simson was able to give an effect of  beauty to the whole relief.  One of the greatest difficulties in sculpture and medallic portraiture is to convey the effect and illusion of sight. When an  artist works in pencil or in colour, it is easy enough to suggest  sight, mainly through representing the open eyes with light shining upon the iris. This is impossible in sculpture and medallic  portraiture, in stone or metal, where light cannot be so represented. As a consequence, many statues and busts appear blind.  Except in the case of Herr Gootlieb, who actually was blind,  Spicer-Simson's portraits, whether in sculpture or medallic work,  always appear to be endowed with sight; for he had learnt the  secret of suggesting sight by the true and correct setting of the  eyes-—the suggestive use of lines, wrinkles and muscles, and the  sitter's concentration upon a distant object beyond the immediate  frame of the portrait. His sitters appear to be looking at something. Thus, in the Bernard Shaw portrait, a twinkle is suggested  in the eye by the wrinkles around it. Caro Delvaille is gazing at  something in the near distance. Lyonel Feininger is looking intently and with concentration at a nearer object just outside the  actual frame.  In his treatment of hair, Spicer-Simson had to convey a general impression, for it is impossible to delineate hair in detail;  therefore, he had to suggest it by depicting it in strands, locks,  waves or a characteristic fall. His suggestion of hair is invariably  finely done, as may be observed in the portraits of Ada Galsworthy, Selma Lagerlof, Mrs. Cyrus H. McCormick, Louise  Strong Hammond, Sherwood Anderson, G. K. Chesterton, Robert Bridges and Thomas A. Watson; while his treatment of beards  is also excellent, as is revealed in the representative portraits of  Robert Bridges, C. M. Doughty and AE (George Russell).  Here, it is interesting to note how favourable are medallic portraits to the bald-headed person. Spicer-Simson's treatment of the  dome is very attractive, giving an appearance of dignity.  Theodore Spicer-Simson sometimes employed symbols to sug- 	asu06600000010008001							64513436 Bytes	3821	5626	4285122632	RGB	8	600	asu06600000010008001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/247	247	248.jp2	/asu0660/image/248.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	gest work or interests of his sitters. With the portrait of John  Masefield appears a ship, suggesting his love of the sea and his  sea poetry. James Stephens is pictured with a crock and a shamrock, representing his Crock of Gold, his initials and his Irish  origin. The work of W. H. Davies is symbolized by a daisy, for  his simple nature poetry; and Wilbur Wright is depicted against  a background of birds and the sky, suggesting his interest in flight  and his work as an aeronaut. Spicer-Simson deplored the passing  of symbols, for they speak a language of their own: the lion indicating courage; the dove, peace; the anchor, hope; the oak  tree, strength and endurance; the cross, the Christian religion;  and so on; and, though many symbols have vanished, he revived  their use in some of his portraits.  Theodore Spicer-Simson put a power of expression, meaning  and character into his medallic portraits of which some of the  special attributes should be mentioned. Consider the delicate  and life-like texture of the ageing skin of Lady Gregory; the  eye, nose, beard, complexion and gentle expression of Robert  Bridges; the knit brows of Paderewski, suggesting intense concentration; the meditative attitude, the noble dome and hawk-like  nose of Thomas Hardy; the gaze into space and the stiff thrust  of shoulders and arms of the one-time sea-farer, Joseph Conrad;  the human kindness of Selma Lagerlof; the womanly loveliness  of his wife, Margaret Spicer-Simson; the resemblance of George  Meredith to an old biblical prophet; and the finely moulded,  dainty lips of the women and some of the men. These are but  a few of the many excellences of the work of Spicer-Simson and  they serve to draw attention to some of the particular aspects  and beauties of his portraits which are all worth separate study,  so that each one may be analyzed, examined, and appreciated  on its own intrinsic merits.  As I have indicated, the ideal way to examine a medallic portrait is to take it in the hand; then, by allowing the light to play  upon its surface, to notice how the relief changes, so that the  different planes and aspects of the modelling are revealed, bringing different features into prominence, thus changing the expression of the portrait.  The Biographical Dictionary of Medallists and Engravers Ancient and Modern carries this authoritative opinion: 	asu06600000010009001							65479328 Bytes	3827	5700	1805645335	RGB	8	600	asu06600000010009001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/248	248	249.jp2	/asu0660/image/249.jp2
Theodore Spicer-Simson					Hockey, Lawrence W.																											asu0660000001	Mr. Spicer-Simson is always vigorous without  being insensitive to the charms of detailed definition. He has a remarkable faculty for catching the  right moment and the right pose which, coupled  with a reserve in treatment and an absence of  anything pertaining to mannerism,  makes  his  portraits still more interesting . . . The various  sides of his art have been developed together; his  skill of craftsmanship is guided by his aesthetic  sentiment, based on the study of the great masters  of history. He is true to himself, and holds among  our modern masters a place which but few artists  can claim to share.  Theodore  Spicer-Simson  was  tall, thin,  dignified,  ascetic-  looking, with a noble face and the eyes of a mystic, penetrating,  all-seeing. He was a visionary who saw not only the outward  aspect of his subjects but  also something of their essential  character which he worked into his portraits.  He was a man of rectitude, kind, generous, sincere, a gentle  soul and a true friend. Cultured, widely and deeply read in many  branches of literature, he was intensely interested in poetry.  As an artist, Theodore Spicer-Simson took a proper pride in  his work and knew its merit. He loved his art and delighted in  it. It brought him many honors, and he was pleased when his  work was praised; but he never boasted about it, for he was  modest and had the humility of greatness.  Four of the 300 medallic portraits  by Theodore Spicer-Simson.  (opposite and page following)  ■  ■ 	asu06600000010010001							64594812 Bytes	3825	5626	2341406783	RGB	8	600	asu06600000010010001.tif		2012-11-29	2012-11-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asu0660/id/249	249	250.jp2	/asu0660/image/250.jp2
