Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ethel Barrymore Theatre		Bolton, Theodore, b. 1889			Written on front: "Ethel Barrymore Theater"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Identified theaters; Theaters; Barrymore Theatre (New York, New York); New York (New York)	Sketches				New York (New York)	1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 10; Folder Title: Identified theaters			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340000990001001	image		image/tiff				37401374 Bytes	1917	3250	3193936820	RGB	16	240	asm00340000990001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/0	0	54.jp2	/asm0034/image/54.jp2
The Gondoliers		Bolton, Theodore, b. 1889			Written on front: "The gondoliers"; "June 12 1931"; "T. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous theaters; Theaters; Operas -- Performances	Sketches		1931-06-12	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 8; Folder No. 1; Folder Title: Miscellaneous theaters			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340002080001001	image		image/tiff				38029274 Bytes	1932	3279	137830563	RGB	16	240	asm00340002080001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/1	1	25.jp2	/asm0034/image/25.jp2
Woman with hat facing down		Bolton, Theodore, b. 1889			Written on front: "June 1930"; "T. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous people	Sketches		1930-06	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 14; Folder Title: Miscellaneous people			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001640001001	image		image/tiff				37805876 Bytes	3285	1917	2168969076	RGB	16	240	asm00340001640001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/2	2	65.jp2	/asm0034/image/65.jp2
Man speaking in front of people		Bolton, Theodore, b. 1889			Written on front: "Aug 1930"; "Th. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous people	Sketches		1930-08	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 14; Folder Title: Miscellaneous people			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001720001001	image		image/tiff				37530034 Bytes	3261	1917	3323904169	RGB	16	240	asm00340001720001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/3	3	31.jp2	/asm0034/image/31.jp2
Sketch of a man		Bolton, Theodore, b. 1889			Written on front: "April 1930"; "T. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous people	Sketches		1930-04	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 14; Folder Title: Miscellaneous people			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001520001001	image		image/tiff				35760082 Bytes	2005	2971	3311054081	RGB	16	240	asm00340001520001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/4	4	103.jp2	/asm0034/image/103.jp2
People in Loew's Lexington Theatre		Bolton, Theodore, b. 1889			Written on front: "Sept 6 1932"; "Loew's Lexington"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Identified theaters; Theaters; Loew's Lexington Theatre (New York, New York); New York (New York)	Sketches		1932-09-06	1930-1940	New York (New York)	1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 10; Folder Title: Identified theaters			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001220001001	image		image/tiff				35812508 Bytes	2984	1999	174905531	RGB	16	240	asm00340001220001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/5	5	117.jp2	/asm0034/image/117.jp2
Woman lying down on the floor		Bolton, Theodore, b. 1889			Written on front: "T. Bolton"; "Sept 1930"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous people	Sketches		1930-09	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 14; Folder Title: Miscellaneous people			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001740001001	image		image/tiff				38310686 Bytes	3205	1991	3245528034	RGB	16	240	asm00340001740001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/6	6	34.jp2	/asm0034/image/34.jp2
People in Music Box Theatre		Bolton, Theodore, b. 1889			Written on front: "Music Box Theater"; "Feb 1931 T. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Identified theaters; Theaters; Music Box Theatre (New York, New York); New York (New York)	Sketches		1931-02	1930-1940	New York (New York)	1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 10; Folder Title: Identified theaters			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001090001001	image		image/tiff				39582078 Bytes	2020	3264	843547173	RGB	16	240	asm00340001090001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/7	7	105.jp2	/asm0034/image/105.jp2
New Amsterdam Theatre		Bolton, Theodore, b. 1889			Written on front: "Th. Bolton"; "New AmsterdamTheatre Feb 1932"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Identified theaters; Theaters; New Amsterdam Theatre (New York, New York); New York (New York)	Sketches		1932-02	1930-1940	New York (New York)	1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 10; Folder Title: Identified theaters			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001190001001	image		image/tiff				37737524 Bytes	1917	3279	1428933316	RGB	16	240	asm00340001190001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/8	8	53.jp2	/asm0034/image/53.jp2
Young woman with hand to her chin		Bolton, Theodore, b. 1889			Written on front: "June 19, 1931"; "T. Bolton"	Drawing, American -- 20th century; Pencil drawing, American; Pencil drawing -- 20th century; Bolton, Theodore, b. 1889; Art historians -- United States; Artists -- United States; Illustrators -- United States; Miscellaneous people	Sketches		1931-06-19	1930-1940		1 sketch	eng		University of Miami Libraries. Special Collections.	Theodore Bolton Papers	ASM0034	Series II: Sketches, Illustrations and Sketchbooks	Box No. 7; Folder No. 14; Folder Title: Miscellaneous people			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00340001790001001	image		image/tiff				37734974 Bytes	1917	3279	3933357434	RGB	16	240	asm00340001790001001.tif		2011-09-26	2011-10-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0034/id/9	9	119.jp2	/asm0034/image/119.jp2
