Title	Translated title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000003		asm05690000030001001	Text		image/tiff				145445972 Bytes	6048	8015	3515468774	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05690000030001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/0	0	1.jp2	/asm0569/image/1.jp2
Transcript															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000003		asm05690000030002001	Text		image/tiff				20228884 Bytes	2054	3020	3420982714	RGB	8 Bits Per Sample	300 Pixels Per Inch	asm05690000030002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/1	1	2.jp2	/asm0569/image/2.jp2
Letter from Thomas Jefferson to Caesar Augustus Rodney		Jefferson, Thomas, 1743-1826		After the 1803 Louisiana Purchase, a dispute arose between the United States and Spain over the Western boundary of the United States. In this letter to Caesar Augustus Rodney (1772-1824), a Jefferson supporter who served as Attorney General of the United States from 1807 to 1811, Jefferson refers to the "occurences at Natchitoches and the Sabine" where the Western border tensions were most heated. 		Jefferson, Thomas, 1743-1826 -- Correspondence; Presidents -- United States -- 1800-1810; Rodney, C.A. (Caesar Augustus), 1772-1824; Attorneys general -- United States; Boundary disputes; Natchitoches (Louisiana); Sabine Parish (Louisiana)	Correspondence		1806-03-24	1800-1810	Washington (D.C.)	1 letter; 1 transcript	eng		University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569		Box No. 1; Folder No. 2; Folder Title: Signed letter from Thomas Jefferson to Caesar Augustus Rodney, March 24, 1806			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0569000003			Text		image/tiff													2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/2	2	3.cpd	/asm0569/supp/2/index.pdf
Page 1															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000002		asm05690000020001001	Text		image/tiff				108045296 Bytes	4819	7472	3960604186	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05690000020001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/3	3	4.jp2	/asm0569/image/4.jp2
Page 2															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000002		asm05690000020002001	Text		image/tiff				110805536 Bytes	4929	7492	2899732939	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05690000020002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/4	4	5.jp2	/asm0569/image/5.jp2
Transcript															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000002		asm05690000020003001	Text		image/tiff				16760820 Bytes	2285	2239	3458386524	RGB	8 Bits Per Sample	300 Pixels Per Inch	asm05690000020003001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/5	5	6.jp2	/asm0569/image/6.jp2
Letter from Thomas Jefferson to Juan Nepomuceno de Quesada		Jefferson, Thomas, 1743-1826		As Secretary of State, Thomas Jefferson wrote to Juan Nepomuceno de Quesada on August 12, 1790, shortly after Quesada assumed the office of Governor of East Florida. 		Jefferson, Thomas, 1743-1826 -- Correspondence; Presidents -- United States -- 1800-1810; Secretaries of State (State governments) -- United States; United States. Dept. of State; Quesada, Juan Nepomuceno de; Florida. Governor	Correspondence		1790-08-12	1790-1800	New York (New York)	1 letter; 1 transcript	eng		University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569		Box No. 1; Folder No. 1; Folder Title: Signed letter from Thomas Jefferson to Juan Nepomuceno de Quesada, Spanish Governor of Florida, August 12, 1790			JL			http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0569000002			Text		image/tiff													2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/6	6	7.cpd	/asm0569/supp/6/index.pdf
Page 1															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000001		asm05690000010001001	Text		image/tiff				93524144 Bytes	5110	6099	1828643063	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05690000010001001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/7	7	8.jp2	/asm0569/image/8.jp2
Page 2															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000001		asm05690000010002001	Text		image/tiff				90311852 Bytes	6091	4941	1175554123	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05690000010002001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/8	8	9.jp2	/asm0569/image/9.jp2
Transcript															University of Miami Libraries. Special Collections	Thomas Jefferson Collection	ASM0569									asm0569000001		asm05690000010003001	Text		image/tiff				18815632 Bytes	2038	2870	336730098	RGB	8 Bits Per Sample	300 Pixels Per Inch	asm05690000010003001.tif		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0569/id/9	9	10.jp2	/asm0569/image/10.jp2
