Title	Creator	Note	Subject	Genre	Publisher	Date	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Rights	Object No.	Directory	Digital ID	Type	Format	Width	Height	Checksum	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
La nota del día						[1906]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 4 Folder Title: Clippings. Folder Date: 1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006130001001	Text	image/tiff	2958	6450	0xFF84DE2B	04600006130001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/158	158	224.jp2	/chc0460/image/224.jp2
Telegram: Havana, from Antonio San Miguel to Genoveva Guardiola de Estrada Palma, [Santiago de Cuba?]	San Miguel, Antonio	Condolence telegram.				6 Nov. 1908	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series III. Estrada Palma Family Papers, 1905-1999 (bulk dates, 1908-1944).	Box No.: 1 Folder No.: 17 Folder Title: Correspondence. Folder Date: n.d.  1905-1966	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005070001001	Text	image/tiff	4640	2970	0xB8A046DF	04600005070001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/159	159	214.jp2	/chc0460/image/214.jp2
Letter: Havana, to [Helen (Douglas Browne) Estrada Palma], Halifax [Nova Scotia]	Estrada Palma, Tomás Douglas, 1911-1999	Typed letter signed.		Letter (Correspondence)		15 Aug. 1935	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series III. Estrada Palma Family Papers, 1905-1999 (bulk dates, 1908-1944).	Box No.: 1 Folder No.: 18 Folder Title: Tomás Douglas Estrada Palma III: Correspondence. Folder Date: ca. 1919-1944	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001100001001	Text	image/tiff	5064	6492	0x382041FE	04600001100001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/160	160	162.jp2	/chc0460/image/162.jp2
Letter: Havana, to Tomás Estrada Guardiola [Tomás Andrés Estrada Palma II], Santiago de Cuba				Letter (Correspondence)		7 Nov. 1908	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 12 Folder Title: Correspondence. Folder Date: 1904-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001040001001	Text	image/tiff	4902	6414	0x91A83392	04600001040001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/161	161	160.jp2	/chc0460/image/160.jp2
Genoveva Guardolia de Estrada Palma and Carlos Estrada Palma			Estrada Palma, Genoveva Guardolia de	Photograph		[191-?]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 27 Folder Title: Genoveva Guardiola de Estrada Palma. Folder Date:	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001430001001	Image	image/tiff	2046	2230	0x55922F04	04600001430001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/162	162	181.jp2	/chc0460/image/181.jp2
Candelaria Estrada Palma			Estrada Palma, Candelaria; Estrada Palma, Candita	Photograph		[ca. 1902]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 28 Folder Title: Candelaria Estrada Palma. Folder Date: ca. 1890 ca. 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001390001001	Image	image/tiff	1368	1758	0x3CEC4905	04600001390001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/163	163	179.jp2	/chc0460/image/179.jp2
20 de Mayo - 1946						20 May 1946	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 7 Folder Title: Clippings. Folder Date: 1935-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007070001001	Image	image/tiff	5376	4344	0xE27AB3C1	04600007070001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/164	164	232.jp2	/chc0460/image/232.jp2
Letter: Havana, to [Tomás Andrés Estrada Palma II], s.l.		Typed letter signed.		Letter (Correspondence)		31 Dec. 1960	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 12 Folder Title: Correspondence. Folder Date: 1904-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001190001001	Text	image/tiff	5292	6762	0xBAB37EDA	04600001190001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/165	165	166.jp2	/chc0460/image/166.jp2
At school in Central Valley, New York		Identified in photo are from left: Emiliano A., Cespedes, unidentified, and Serena C.	Estrada Palma, Tomás, I	Photograph		[ca. 1900]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 31 Folder Title: Unidentified Persons Central Valley New York. Folder Date: n.d. 1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001820001001	Image	image/tiff	2498	1728	0xA2BA0FD3	04600001820001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/166	166	204.jp2	/chc0460/image/204.jp2
Certification of birth and baptism of Tomás Andrés Estrada Palma II	Hunter, Clarence W.		Estrada Palma, Tomás, II	Legal Document		12 Dec. 1941	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 13 Folder Title: Documents. Folder Date: 1902-1944	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001210001001	Text	image/tiff	3870	3162	0x78E40B8	04600001210001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/167	167	167.jp2	/chc0460/image/167.jp2
