Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Oscar Dooley, Trustee				Written on verso: "Oscar Dooley; Trustee"		Portrait photographs	1963	1960-1970	Coral Gables, Florida	1 b&w photograph; 18.1 x 12.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 11; Folder Title: Donor: Dooley, Oscar. Folder Date: 1963	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350340001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/0	0	91.jp2	/umsupport/image/91.jp2
James Sottile, Jr.				Photo of Mr. Sottile which hung in Coral Gables first National Bank when he was President sent to Lowe Gallery for retention by Eugene Cohen on 6/12/62.		Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 17.9 x 12.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 14; Folder Title: Trustee: Sottile, James Jr..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420351000001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/1	1	76.jp2	/umsupport/image/76.jp2
Richard B. Plumer Receiving Award from President Stanford				Written on verso: "This award is presented in grateful recognition to Richard B. Plumer, member of the Citizens Board, University of Miami, for Outstanding Achievement in Fund Raising."		Photographs	05-30		Coral Gables, Florida	1 b&w photograph; 25.3 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 17; Folder Title: Citizens Board (N.D.): Individual Photos.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350140001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/2	2	30.jp2	/umsupport/image/30.jp2
Dr. Albert Howe Lybyer				Written on verso: "Photo of Dr. Albert Howe Lybyer"		Portrait photographs	1946-01-06	1940-1950	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 27; Folder Title: Donor: Lybyer, Albert Howe.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350540001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/3	3	60.jp2	/umsupport/image/60.jp2
William H. Kerdyk, Alumni President						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 12; Folder Title: Alumni (N.D.): Alumni President.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350080001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/4	4	81.jp2	/umsupport/image/81.jp2
Hugh P. Emerson, Trustee				Written on verso: "Ibis 1961 p.25"		Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 12.8 x 17.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 16; Folder Title: Trustee: Emerson, Hugh P. Folder Date: 1961	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350610001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/5	5	51.jp2	/umsupport/image/51.jp2
William Carey Coffin, Trustee				Photographers signature is on right corner of the photograph.		Portrait photographs		1930-1940	Coral Gables, Florida	1 b&w photograph; 20.2 x 25.2 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 3; Folder Title: Trustee: Coffin, William Carey. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350370001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/6	6	34.jp2	/umsupport/image/34.jp2
J. Neville McArthur and Wife at Annual Alumni Dinner	Blakeley, Ron			Written on verso: "Alumni (1962) - Annual Dinner"		Photographs	1962	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 8; Folder Title: Citizens Board (1962): Annual Dinner. Folder Date: 1962	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350190001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/7	7	46.jp2	/umsupport/image/46.jp2
Sam Blank, Trustee						Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 4; Folder No. 19; Folder Title: Trustee: Blank, Sam.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350810001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/8	8	49.jp2	/umsupport/image/49.jp2
Dr. John W. Snyder, Trustee						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 17.9 x 12.5 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 13; Folder Title: Trustee: Snyder, Dr. John W..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350980001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/9	9	23.jp2	/umsupport/image/23.jp2
