Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Mary B. Merritt, Dean of Women			Dean Mary B. Merritt speaking at an event.			Photographs		1950-1960	Coral Gables (Florida)	1 B&W photograph; 20.6 x 25.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 2; Folder No. 28; Folder Title: Dean: Merritt, Mary B. - Dean of Women. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250680001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/0	0	373.jp2	/umpeople/image/373.jp2
Lewis Leary, Professor of English	Coral Gables News Bureau			On verso: "Dr. Lewis Leary Engl. Dept Now at Columbia U"		Photographs			Coral Gables (Florida)	1 b&w photograph; 16.7 x 21.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 6; Folder Title: Faculty: Individual Photos (L). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254310001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/1	1	130.jp2	/umpeople/image/130.jp2
Kendal Paul Morton, founder of the University fo Miami Morton Collectanea, one of the world's largest botanical information centers				On verso: "Kendal Paul Morton Biology"		Portrait photographs	1964-02-01	1960-1970	Coral Gables (Florida)	1 b&w photograph; 18.2 x 12.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 7; Folder Title: Faculty: Individual Photos (M).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251610001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/2	2	174.jp2	/umpeople/image/174.jp2
Jay F. W. Pearson, President of the University of Miami, in his office						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 12; Folder No. 15; Folder Title: Pearson, Jay W. F. - President n.d-2.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253490001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/3	3	91.jp2	/umpeople/image/91.jp2
Jay F. W. Pearson, 2nd President of the University of Miami, painting						Photographs			Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.4 cm.		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 3; Folder Title: President: (n.d.) Pearson, J. W. 7. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252850001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/4	4	167.jp2	/umpeople/image/167.jp2
University of Miami President's medal and sash						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 15; Folder No. 3; Folder Title: Presidential Medal.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253100001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/5	5	220.jp2	/umpeople/image/220.jp2
Irving Musket, Vice President for Research	Blakeley, Ron					Portrait photographs	1961-03	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 16; Folder No. 6; Folder Title: Vice President Musket, Irving. Folder Date: 1961-03			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253180001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/6	6	196.jp2	/umpeople/image/196.jp2
Jay F. W. Pearson, President of the University of Miami and Robert Frost, American poet, at commencement						Photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 20 x 25.3 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 2; Folder Title: President: (n.d.) Pearson, J. W. 6. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252830001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/7	7	76.jp2	/umpeople/image/76.jp2
Jay F. W. Pearson, President of the University of Miami; Bowman Foster Ashe, 1st President of the University of Miami; Denman Fink, artist; McMarty, and Harry H.Provin, Director of Athletics				Jay F. W. Pearson, President of the University of Miami (top left); Bowman Foster Ashe, 1st President of the University of Miami (top right); Denman Fink, artist (bottom left); McMarty (bottom center), and Harry H.Provin, Director of Athletics (bottom right)		Photographs	1953	1950-1960	Coral Gables (Florida)	1 b&w photograph; 18.1 x 12.1 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 11; Folder No. 36; Folder Title: President: (1953) Pearson, J. W. Folder Date: 1953	cm		http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253610001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/8	8	214.jp2	/umpeople/image/214.jp2
William C. Knopf, Dean of the School of Engineering			On verso: "Knopf, William C."			Portrait photographs	1964	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.3 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 2; Folder No. 20; Folder Title: Dean: Knopf, William C. - Engineering. Folder Date: 1964			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250630001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/10	10	518.jp2	/umpeople/image/518.jp2
