Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage  Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Aerial view of the Coral  Gables campus				Written on verso: "Center horizontal building is Merrick Bldg; building on left is student center; building with blue tile is library bldg; building with yellow facade is engineering bldg; building to the left of engineering bldg is science bldg; roung bldg is learning & instructional bldg; 11-46"		Aerial photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000560001001	Image	image/tiff	296.943 KB	958	768	0xE20F80	RGB	24-bit depth	600 dpi	asu06420000560001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/5	5	22.jpg	/umphotos/image/22.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Blue tile bldg Richter Library; bldg to right of library is Ashe Bldg; buildings on left of photo: Computer-Math Bldg, Science Bldg, Engineering; building in background with white ball on roof is Merrick Bldg; 11-57"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000480001001	Image	image/tiff	295.534 KB	965	768	0xFE14A1EB	RGB	24-bit depth	600 dpi	asu06420000480001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/6	6	14.jpg	/umphotos/image/14.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Dorm apartment; 11-68"		Aerial Photographs			Coral Gables, Florida	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000410001001	Image	image/tiff	263.888 KB	966	768	0x9AE01EA3	RGB	24-bit depth	600 dpi	asu06420000410001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/7	7	7.jpg	/umphotos/image/7.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Horizontal bldg is Merrick Bldg; Building on left is student center; Building with blue tile is Richter Library; Building with yellow facade is Engineering Bldg; horizontal bldg in background is science bldg; 11-65"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000420001001	Image	image/tiff	249.747 KB	966	768	0x3AB233F1	RGB	24-bit depth	600 dpi	asu06420000420001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/8	8	8.jpg	/umphotos/image/8.jpg
Aerial view of the Coral  Gables campus				"Aerial view of Main Campus in 1929 as it stood from 1926 to 1946. The Merrick Building skeleton and the Don Carlos Apartments (now the Student Health Center)",  "Main Campus-Aerial Views- (1927?), (1926), (1929) Archives: Photo File",  "Rediscovered in "the dungeon" by GR Nov.16, 1972." written on verso of photo. Memorandum accompanying this film from Eugene E. Cohen (VP ) to Dr. Stanford dated Sept. 25, 1962 reads "The attached Aerial photo shows the campus when lots were $150 for 100 feet of good frontage. Suggest this be forwarded to the library for the archives." As of 10/26/2007, the original image is on loan to the Bass Museum of Art.		Aerial Photographs	1929	1920-1930	Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 8;  Folder Title: Main Campus: Aerial views (7 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000880001001	Image	image/tiff	437.323 KB	985	768	0x85B0FABE	RGB	24-bit depth	600 dpi	asu06420000880001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/9	9	54.jpg	/umphotos/image/54.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Building with blue tile is Richter Library; round building with white roof is Ring Theatre; buildings on right are dorm bldgs; 11-37"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000630001001	Image	image/tiff	279.035 KB	960	768	0xBF8C18FD	RGB	24-bit depth	600 dpi	asu06420000630001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/10	10	29.jpg	/umphotos/image/29.jpg
Aerial view of Coral Gables campus				Written on verso: "Note by GWR 10/18/72; Photo no. 9488 is shown on card record as having been shot 3/27/62. If so, this scene is not a 9488, because bldgs on it are identifiable as vintage 1960 (Library, for example) My guess is that this belongs to Photo file 8743, Nov. 1960"		Aerial Photographs	1960-11	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 9;  Folder No. 3;  Folder Title: Main Campus: Aerial views (10 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000820001001	Image	image/tiff	404.584 KB	962	768	0xCA5D36F1	RGB	24-bit depth	600 dpi	asu06420000820001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/11	11	48.jpg	/umphotos/image/48.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Bldg on right is dorm bldg; round bldg with white roof is Ring Theatre; bldg with blue tile is Richter Library; bldgs on far right are dorms; 11-55"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000490001001	Image	image/tiff	253.392 KB	962	768	0xBB20C684	RGB	24-bit depth	600 dpi	asu06420000490001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/12	12	15.jpg	/umphotos/image/15.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Intramural fields; tower bldg on far left are dorms; 11-53"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000510001001	Image	image/tiff	221.516 KB	954	768	0xE457FFA0	RGB	24-bit depth	600 dpi	asu06420000510001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/13	13	17.jpg	/umphotos/image/17.jpg
Aerial view of the Coral  Gables campus				Written on verso: "Buildings on left are dorm bldg; on the right is swimming pool & student center; round bldg with white roof is Ring Theatre; 11-47"		Aerial Photographs			Coral Gables (Florida)	1 color photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series I: Buildings and Grounds	Box No. 8;  Folder No. 2;  Folder Title: Main Campus: Aerial views (1 of 18)	http://merrick.library.miami.edu/digitalprojects/copyright.html	© 2006 University of Miami. All rights reserved.	mem		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420000530001001	Image	image/tiff	279.176 KB	963	768	0xCDDB2264	RGB	24-bit depth	600 dpi	asu06420000530001001.tif		2007-10-09	2011-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/umphotos/id/14	14	19.jpg	/umphotos/image/19.jpg
