Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Statue in Key West	Fried, Larry			Statue inscription reads: "In memory of the victims of the disaster of U.S. Battle-Ship "Maine" in Havana Harbor Feb. 15, 1898- Erected by the citizens of Key West, Fla." Written on verso: "Key West feature Oct 1949 Tempo (photo by Larry Fried)"		Photographs	1949-10	1940-1950	Key West (Florida)	1 b&w photograph; 25.8 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 8; Folder Title: Non-UM Photos of Miami 3- Key West, 1949 Tempo, 1949	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450180001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/0	0	30.jp2	/umiscel/image/30.jp2
Malcolm Ross signing a book				Written on verso: "Malcolm Ross November 1950"; Written on front bottom: "Black line"		Photographs	1950-11	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.8 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 10; Folder Title: UM Related Misc. Photos- Animals.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450330001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/1	1	60.jp2	/umiscel/image/60.jp2
Map of the Miami area highlighting new site for the Coral Gables campus	Davis, Walter			Written on verso: "Main Campus - Site - Location Map"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 16; Folder Title: UM Related Misc. Photos: Maps, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450360001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/2	2	51.jp2	/umiscel/image/51.jp2
Horse race in Hialeah	Fried, Larry			Written on verso: "A Day at Hialeah March 1950 Tempo (photo by Larry Fried)"		Photographs	1950-03	1950-1960	Hialeah (Florida)	1 b&w photograph; 25.7 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 9; Folder Title: Non-UM Photos of Miami 4- A Day at Hialeah, 1950	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450240001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/3	3	34.jp2	/umiscel/image/34.jp2
Miami News Editorial Cartoonist Don Wright				Written on bottom right: "2A", "39%"		Photographs			Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 2; Folder No. 6; Folder Title: People: Non-UM Group and Individual Photos: photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450420001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/4	4	46.jp2	/umiscel/image/46.jp2
Horse race in Hialeah	Fried, Larry			Written on verso: "A Day at Hialeah March 1950 Tempo (photo by Larry Fried)"		Photographs	1950-03	1950-1960	Hialeah (Florida)	1 b&w photograph; 25.7 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 9; Folder Title: Non-UM Photos of Miami 4- A Day at Hialeah, 1950	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450250001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/5	5	49.jp2	/umiscel/image/49.jp2
John Phillip Sousa and unknown man				Written on verso: "John Phillip Sousa (Left) and [unintelligible name]" and "John Philip [sic] Sousa (1854-1932) Composer - Battle Hymn of the Republic"		Photographs			Coral Gables (Florida)	1 b&w photograph; 20.4 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 2; Folder No. 6; Folder Title: People: Non-UM Group and Individual Photos: photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450460001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/6	6	23.jp2	/umiscel/image/23.jp2
Aerial photograph of Miami Beach	Blakeley, Ron			Written on verso: "Aerials of Miami Beach 8/24/62, RB"		Photographs	1962-08-24	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 6; Folder Title: Non-UM Photos of Miami 1.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450120001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/7	7	64.jp2	/umiscel/image/64.jp2
Andy Warhol	Tighe, Mike			Written on front-bottom: "Andy Warhol"; "Photo: Mike Tighe"		Photographs			Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 2; Folder No. 6; Folder Title: People: Non-UM Group and Individual Photos: photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450410001001												2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/8	8	33.jp2	/umiscel/image/33.jp2
Young girl and a dog in University of Miami apparel			They pose with a cheerleader's megaphone.			Photographs			Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series X: Miscellaneous Photos	Box No. 1; Folder No. 11; Folder Title: UM Related Misc. Photos: Children: photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420450350001001	Image	image/tiff										2009-07-06	2011-03-03	http://merrick.library.miami.edu:80/cdm/ref/collection/umiscel/id/9	9	41.jp2	/umiscel/image/41.jp2
