Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
President Stanford speaking at the American Society for Public Administration				Stanford was honorary chairman of the American Society for Public Administration.		Photographs	1969	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.5 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 6;  Folder Title: Administration - American Society for Public Administration.   Folder Date: 1969	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300720001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/0	0	91.jp2	/umservice/image/91.jp2
Students eating lunch on the stairs	Schulke, Flip			Written on verso: "Student Lunch Period - North Campus"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 2;  Folder Title: Cafeteria (n.d) 3.	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300010001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/1	1	76.jp2	/umservice/image/76.jp2
Working in the Computer Center			A man working with a large IBM 7040 Data Processing System.			Photographs	1965	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.8 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 9;  Folder Title: Computer Center- Computer Machines in Communications.   Folder Date: 1965	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300140001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/2	2	30.jp2	/umservice/image/30.jp2
Dorothy Hipps, computer operator, working in the Ungar Computer Center	Schnier, Sanford			Written on paper attached to verso: "--University of Miami Photo; Miss Dorothy Hipps, computer operator at the Ungar Computer Center, University of Miami, answers computer commands at the console. The Center utilizes a UNIVAC 1106 system. 10/11/72--University of Miami News Bureau; Sanford Schnier 284-4073"		Photographs	1972-10-11	1970-1980	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 10;  Folder Title: Computer Center.   Folder Date: 1972	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300800001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/3	3	60.jp2	/umservice/image/60.jp2
Five parked school buses	Fleming, Fred B.					Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4x20.7cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 41;  Folder Title: Transportation- n.d 2. Folder Date: n.d	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300410001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/4	4	81.jp2	/umservice/image/81.jp2
Original administration and faculty members at time of Silver Anniversary			Front row, left to right: Bertha Foster, Bowman F. Ashe, Mary B. Merritt. Back row, left to right: John Thom Holdsworth, Dorothy Havens Wedderspoon, Eugene E. McCarty, Jay F.W. Pearson, Denman Fink, Harry H. Provin.			Photographs	1951	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.8 x 20.3cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 1;  Folder Title: Administration.   Folder Date: 1951	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300440001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/5	5	51.jp2	/umservice/image/51.jp2
Inside the University of Miami bookstore				Written on front: "2"; Written on verso: "First Floor, University of Miami, Coral Gables, Florida 33124"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 29;  Folder Title: Bookstore (n.d.) 2.	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300510001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/6	6	34.jp2	/umservice/image/34.jp2
Cafeteria staff serving students				Written on verso: "Cafeteria (1961)"		Photographs	1961	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 31;  Folder Title: Cafeteria.   Folder Date: 1961	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300990001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/7	7	46.jp2	/umservice/image/46.jp2
William T. Brady speaking at the Top Management Seminar				Written on verso: "Left to right: Mr. William T. Brady, President, Corn Products Company; Dr. Harold B. Maynard, President, H.B. Maynard and Co., Inc.; Mrs. Ramsey, and Mrs. Maynard"		Photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.6 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 3;  Folder Title: Administration - Top Management Seminar.   Folder Date: 1959	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300650001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/8	8	49.jp2	/umservice/image/49.jp2
President Stanford and others at Development Office dinner						Photographs	1967-09	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 16;  Folder Title: Development Office- Development Retreat- University Inn.   Folder Date: 1967	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300210001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/9	9	23.jp2	/umservice/image/23.jp2
"Eddie the Cop"	Greenfield, David		"Eddie the Cop" in the kitchen, wielding a gun and a frying pan	Written on verso: "Eddie the Cop, Hurricane August 22, 52"		Photographs	1952-08-22	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 3;  Folder Title: Campus Police.	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300100001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/10	10	64.jp2	/umservice/image/64.jp2
