Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Members of the Lambda Chi Alpha fraternity with a trophy						Photographs	1962	1960-1970	Coral Gables (Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Activities and Organizations	Box No. 1; Folder No. 48; Folder Title: Fraternities: Lambda Chi - Pictures for Fraternity Publication, 1962	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420051510001001	Image	image/tiff	4543.376 KB	3451	2324	0xABD5FEC2	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/0	0	152.jp2	/umstudents/image/152.jp2
Members of the Kappa Epsilon fraternity						Photographs			Coral Gables (Florida)	1 b&w photograph; 10 x 12.9 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 42; Folder Title: Fraternities: Kappa Epsilon - Group Photos.	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420051360001001	Image	image/tiff	2315.931 KB	3096	2428	0x66A9FD13	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/1	1	137.jp2	/umstudents/image/137.jp2
Four members of a choral group performing for the camera						Portrait photographs			Coral Gables (Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 7; Folder Title: Choral Group: Individual and Group Photos	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050210001001	Image	image/tiff	5080.288 KB	3512	2360	0xA901AF	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/2	2	22.jp2	/umstudents/image/22.jp2
Faculty in costume at the Baptist Student Center	Newman					Photographs	1958-10	1950-1960	Coral Gables (Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 3; Folder Title: Baptist Student Center Group Photos	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050130001001	Image	image/tiff	7635.69 KB	5386	5409	0x5D0D7E1E	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/3	3	14.jp2	/umstudents/image/14.jp2
Leon Shultz participating in the shot put at Field Day	Hamilton			Written on separate note: "Leon Shultz - Winner of the Shot put - 45' 9""		Photographs	1948	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 c 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 26; Folder Title: Field Day: Activity Photos.	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050930001001	Image	image/tiff	6080.745 KB	5065	6171	0x8DD26B6F	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/4	4	94.jp2	/umstudents/image/94.jp2
Students participating in a race during Derby day						Photographs	1964-10-24	1960-1970	Coral Gables (Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 21; Folder Title: Derby Day: Activity Photos (3 of 3), October 24, 1964	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050690001001	Image	image/tiff	5120.222 KB	2244	3273	0x6F31A950	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/5	5	70.jp2	/umstudents/image/70.jp2
Members of the Engineers Club				Written on right: "925"; Written on verso: "Engineers Club; March 17, 1950; Hurricane"		Photographs	1950-03-17	1950-1960	Coral Gables (Florida)	1 b&w photograph; 12.7 x 18 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 23; Folder Title: Engineers Club: Group Photos.	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050860001001	Image	image/tiff	5169.332 KB	4368	3078	0xDAEF3EC4	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/6	6	87.jp2	/umstudents/image/87.jp2
Engineer's Club Picnic				Written on verso: "Tempo - April, 1951; Engineer's Picnic"		Photographs	1951-04	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 24; Folder Title: Engineers Picnic: Group Photos.	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420050880001001	Image	image/tiff	10285.021 KB	6129	4855	0xEAB4A280	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/7	7	89.jp2	/umstudents/image/89.jp2
Members of the Beta Gamma Sigma honor society	Mainor					Photographs	1959-11	1950-1960	Coral Gables (Florida)	1 negative	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 1; Folder No. 34; Folder Title: Fraternities: Beta Gamma Sigma, November 1959	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420051160001001	Image	image/tiff	10041.22 KB	5697	4384	0xF41C2A2E	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/8	8	117.jp2	/umstudents/image/117.jp2
Members of the Phi Kappa Tau fraternity choir				Written on verso: "PKT"		Photographs			Coral Gables (Florida)	1 b&w photograph; 12.7 x 18 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series III: Student Organizations and Activities	Box No. 2; Folder No. 2; Folder Title: Fraternities: Miscellaneous Group Photos	http://merrick.library.miami.edu/digitalprojects/copyright.html				EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420051610001001	Image	image/tiff	3414.724 KB	4348	3051	0x52B24DA3	RGB	24-bit depth	600 dpi			2008-06-23	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umstudents/id/9	9	162.jp2	/umstudents/image/162.jp2
