Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Alpha Phi Omega banquet in honor of James E. West				Written on verso.: "Banquet [unintelligible] to Jas [sic] E. West by Alpha Phi Omega Natl Service Fraternity 3/18/42"		Photographs	1942-03-18	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 19.9 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 10; Folder Title: Students: 1940s, 1940s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201060001001	Image	image/tiff										2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/0	0	130.jp2	/um_students/image/130.jp2
Student walking on campus	Schulke, Flip			Written on verso: "Students on Campus"		Photographs	1961-02-10	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 17.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 6; Folder No. 5; Folder Title: Students on Campus, 1961	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200670001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/1	1	174.jp2	/um_students/image/174.jp2
Berta Montalvo receiving Borden prize from Mr. Mangowi.				The Borden prize is given to the freshman with the highest GPA. Written on verso: "Miss Berta Montalvo  Borden Prize Winner with Mr. Mangowi 1965"		Photographs	1965	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.5 x 25.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 11; Folder Title: Students: Scholarship and Award Recipients, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200890001001	Image	image/tiff										2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/2	2	91.jp2	/um_students/image/91.jp2
Student doing organic chemistry homework in her dorm room	Gill, Henry					Photographs			Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3; Folder No. 6; Folder Title: Students in Dorms (3 of 3) photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201640001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/3	3	167.jp2	/um_students/image/167.jp2
Annette Jones and another female student playing football				Written on verso: "Annette Jones"		Photographs		1930-1940	Coral Gables (Florida)	1 b&w photograph; 14.9 x 19.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 8; Folder Title: Students: Recreation, Game or Playing Sports, v.d	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200850001001	Image	image/tiff										2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/4	4	196.jp2	/um_students/image/196.jp2
Group photograph of female students				Written on verso: "Standing: Frances Sausone, Rita Grossman, Betty Batchelor. Sitting: Joanne Faudrey, Audrey Goldwyn, Charlotte Mottes, Mary Ruth Hayes"		Photographs			Coral Gables (Florida)	1 b&w photograph; 18.1 x 12.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 9; Folder Title: Students: Group Photos (2 of 2), v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201210001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/5	5	76.jp2	/um_students/image/76.jp2
Female student	Greenfield, David		A portrait shot of a female student.	Written on verso: "1950s"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 5; Folder Title: Students: Fashion Pictures.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200060001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/6	6	214.jp2	/um_students/image/214.jp2
Nora De Paulis				Written on verso: "Nora De Paulis"		Photographs	1950-10-20	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 5; Folder No. 13; Folder Title: Students: on Campus 1950-1953, 1950-53	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420202000001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/7	7	30.jp2	/um_students/image/30.jp2
Fran Bloom	Greenberg, Jerry			Written on verso: "Fran Bloom May 52, Tempo"		Photographs	1952	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3; Folder No. 9; Folder Title: Students: Individuals (B) photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201740001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/8	8	205.jp2	/um_students/image/205.jp2
Freshmen playing cards on train				Written on verso: "Frosh on train; Freshman welcome"		Photographs	1950-10	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.7 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 12; Folder Title: Students: Arrival, 1940s-1950s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201360001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/9	9	60.jp2	/um_students/image/60.jp2
Students playing records on train				Written on verso: "Students play records on train; Freshman Welcome"		Photographs	1950-10	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.7 x 20.2 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 12; Folder Title: Students: Arrival, 1940s-1950s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201380001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/10	10	212.jp2	/um_students/image/212.jp2
