Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage-Temporal	Coverage-Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Full Text	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																																	asm01880000010001001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/0	0	1.pdfpage	/wtswingle/image/1.pdfpage
Page 2																										CHINESE BOOKS AND LIBRARIES ·  By WALTER T. SWINGLE, Ohairman Library Oommittee, D. S. Department 01 Agriculture,  Washington, D. O.  Printing from blocks is said to have been  invented in China in 592 A. D. However,  although printing may have been invented  as early as this, printed books did not  compete with manuscripts until the middle  of the tenth century, when the printing of  the Nine Classics was completed. Possibly  periods when old precedents could be safely  broken favored the rise of revolutionary  new inventions. It is worthy of note that  the first invention of printing as well as  its final successful application took place  during unsettled periods of Chinese his ·  tory.  From the middle of the tenth century  block printing developed very rapidly, re­sulting  in a wide diffusion of books and  the decline of the copyist's trade. No doubt  the rapid dissemination of learning this en ·  tailed had much to do with the great intel­lectual  progress made in China during the  Sung dynasty, from 960- 1280 A. D., which  has been called the " protracted Augustan  age of Chinese literature." This was con ·  temporaneous with the darkest period of  the Middle Ages of Europe, when western  learning fell to its lowest ebb. Even the  conquest of China by the illiterate Mon ·  gols did not lead to the extinction of learn ·  ing. During the purely Chinese Ming dy ·  nasty, 1368- 1644 A. D., the writing and  printing of books llourished anew, while  the early Manchu emperors cultivated lit­erature  with zeal and during the reigns  of the enlightened Manchu emperors  K'ang Hsi ( 1662- 1723) and Ch'ien Lung  ( 1736- 1796) a series of great literary and  encyclopedic works that would do credit to  any country were published under imperial  patronage.  The nature of the Chinese printed Ian ·  guage is not nearly so favorable to. the use  of movable type as the vastly simpler al-  ' Paper read before the American Library Asso­ciation,  r ouisvi1le Conference. 1917. Reprinted  from the Proceedings.  phabetic tongues of the west. Still, movable  types, molded of clay, were invented in  the eleventh centur~. Even metal types  were made in Korea a half century before  they were " invented" in Europe.  Disregarding the manuscript works' of  the great T'ang dynasty ( 618- 907 A. D.),  which are dcubtless tenfold more numerous  and more important than the contempora­neous  literary works of the whole western  world, the Chinese printed books up to the  middle of the fifteehth century have no  counterpart at all in Europe. They ex­isted  in countless thousands of volumes.  In H06, the Imperial Ming Library can ·  tained printed works to' the extent of over  300,000 books, and more than twice as many  manuscripts, and already many printed  works of the Sung dynasty had been lost  during wars.  It is probably no exaggeration to say  that the number of printed books extant in  China at the time of the " discovery" of  printing in Europe exceeded those printed  in Europe during the first century after  Gutenberg. Printing became very wide-.  spread in China, and in addition to innum ·  erable privates presses, the provinces, dis­tricts  and even townships had their offi ·  cial presses. Undoubtedly more books were  printed in China than in all the rest of  the world up to the middle of the seven ·  teenth or the beginning of the eighteenth  century'.  It is thus evident that there exists in  China a vast accumulation of printed books  that have been plllng up for well- nigh a  thousand years. The pertinent question  now is, what value, if any, do these Chinese  works have? In answer to this query it  must be said, first of all, that not only are  1Even now one of the largest printing presses in  the world is to be found in China. The Commer­cial  Press at Shanghai as a part of its work prints  for the new schools of China elementary textbooks  which are often issued in editions of several  millions. 							asm01880000010002001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/1	1	2.pdfpage	/wtswingle/image/2.pdfpage
Page 3																										the Chinese literary standards very high,  but there is a strong prejudice against  frivolous works of any character. The great  bulk of Chinese works, aside from the  Confucian classics, are historical 01' liter­ary,  the latter being mostly essays, short  poems or critiques. There exists also a  vast Buddhistio literature and very many  Taoist works. Novels are not even classed  as literature, although famous ones exist  and some of them have been translated into  European languages. There are also many  famous dramas, but these, too, are excluded  from literature proper by Chinese bibliog­raphers.  The historical records of the Chinese are  of vast' bulk. Their study by western  scholars cannot fail to yield results of  great value to the whole world. In close  connection with the historical records  proper we should consider the great num­ber  of geographic treatises and especially  the so- called gazetteers. These latter are  official publications issued by the Empire,  as well as by every province, district and  township and treat not only geography and  topography proper, but are often volumin­ous  works of general information, of very  direct interest today. No other country in  the world has anything to compare with  this branch of Chinese literature, either  In extent or historical value.  During the past year the writer has been  studying the citrous fruits of China. In con­nection  with this work there have been  translated chapters bearing 011 citrous  fruits from all the Chinese topographic  works available in the Library of Con­gress  and in the John Crerar Library at  Chicago. These translations have proved  the great value of the Chinese gazetteers  in modern agricultural research. With­out  doubt a great amount of valuable in­formation  as to mines, mineral resources  and local industrial products, etc., lies  waiting in these same rich storehouses of  information.  The classified encyclopedias of China,  though not so overwhelmingly superior  to those of the western countries as are the  gazetteers, are nevertheless so ancient, so  2  numerous and so voluminous as fairly to  stagger the imagination. For 750 years at  least China has had excellently edited, well  arranged and well printed encyclopedic  works of reference covering well- nigh the  whole range of human knowledge. Em­perors  vied with one another in encourag'  ing works of this character, and as a result  no people in the world have so complete a  series of encyclopedic works covering so  long a period.  One of these works, the " Yung 10 ta  tien" completed in 1409, aimed to contain  all human knOWledge then available iIi  China. The equivalent of 8,000 years'  man labor was expended on it and it  filled some 23,000 folio volumes. It proved  to be too bulky to print and was pre­served  in manuscript until 1900, when it  was burned during the Boxer ins1lfrec­tion  in Peking- a catastrophe second only  to the burning of the Alexandrian Library.  Another only less gigantic encyclopedia  is the " T'u shu chi ch'eng," printed in 1728,  in 5,026 volumes, from large movable cop­per  type. This is the largest printed book  in the world and is still today invaluable  in the study of any phase of Chinese sci­ence,  political economy or history, and II  constantly quoted by all slnologists.  Scores uPon scores of smaller encyclopedic  works, some dating back 600 years or more,  and some of the nineteenth century, are of  the utmost value to the students of things  Chinese.  China has always been proud of her  scholars, who have for ages outranked war­riors.  Over twelve hundred years ago an  examination system was devised that  placed the highest administrative offices  of the Empire within reach of the poorest  peasant's son it only he had sufficient abil ·  ity. This and the absence of any heredi­tary  nobility gave China the first efficient  civil service and the first enlightened and  pacific government. The arts and sciences  were cultivated so assiduously under this  favoring condition as to make the whole  world a heavy debtor to the great Middle  Kingdom.  As was to be expected from a nation of 							asm01880000010003001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/2	2	3.pdfpage	/wtswingle/image/3.pdfpage
Page 4																										llcholars, we find in China an unrivaled  series of historical records of all state mat­ters,  and also the earliest comprehensive  biographical and bibliographical works  known. Besides this, we find every effort  made to preserve the writings of famous  scholars, usually in the form of collected  works, so that as a result there awaits the  student of almost every phase of human  activity a wealth of authentic documentary  material that has as yet been almost en­tirely  neglected.  China has been for millenniums a labora­tory  wherein political, economic, agricul­tural,  artistic and industrial experimenta­tion  has been carried on under unusually  favorable circumstances. A wealth of rna ·  terial awaits the investigator competent to  utilize these priceless records. Such inves­tigation  should be done soon, before the  Chinese become so westernized as to lose  the power of interpreting the records of  their own past. We are living in an age  that bids fair to witness the complete  transformation of the only remaining an­cient  civilization.  In China there are very few great libra­ries.  The wide diffusion of learning and  the complete decentralization of the print­Ing  and publishing industries, and most of  all the clan type of family organization,  have favored the creation of large private  or family libraries scattered all over China.  No adequate survey of the library resources  of China has ever been made, but there can  be no doubt that they are of enormous ex ·  tent.  The Chinese Imperial Court has always  maintained a large library, and sometimes  several at the various capitals, and there  has recently been established in Peking a  national library which a catalog pub­lished  in 1912 shows to be rich in rare old  Chinese books.  Japan is rich in old Chinese works treas­ured  in the private and public libraries dur­ing  the many centuries when Chinese learn­ing  was held in the highest reverence.  Doubtless the Japanese libraries rank  second only to those of China in their con­tent  of Chinese books.  In Ji, urope tnere are a few good Chinese  libraries. The oldest and best is that of  Paris, which includes a collection of an­cient  Chinese manuscripts unsurpassed  even in China. The collection at the Brit­ish  Museum ranks second. There are also  large collections at Berlin, Petrograd,  Cambridge and Leiden.  In America, the Library of Congress was  the first to secure a notable Chinese collec­tion  which now numbers close to 45,000  volumes, Chinese style. It is by far the  largest in the new world and probably  ranks second or third among the Chinese  libraries outside of China and Japan. The  collection is not only pre- eminent in geo­graphical  works and gazetteers, but als( j  in treatises on agricultural, botanical and  related subjects. It is very rich in bio­graphical  and bibliographical literature and  has a large and rapidly growing collection  of works on Chinese art and archaeology  It includes also a large number of ChinesEi  Collectanea which often contain reprints  of works no longer obtainable in the orig­inal.  The second largest Chinese collection in  America is that of the Newberry Library  in Chicago, comprising over 600 works in  about 18,000 volumes. The John Crerar  Library in Chicago also has a Chinese col ·  lection, including about 600 works In about  12,000 volumes. The two Chicago collec ·  tions so complement each other without  duplication as to constitute together a  very large and complete Chinese library of  some 30,000 volumes, rivaling or even ex­celling  that of the Library of Congress in  many fields.  The next largest Chinese library In  America is the collection donated to the  University of California, by Prof. S. C.  Kiang. It is rich in belles- lettres, contain­ing  many rare works, and comprises about  1,600 works in 13,600 volumes. Unfor­tunately  about one- fourth of the works  are more or less imperfect, as the Kiang  family library suffered greatly during the  Boxer Insurrection.  The New York Public Library contains  3 							asm01880000010004001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/3	3	4.pdfpage	/wtswingle/image/4.pdfpage
Page 5																										a valuable Chinese library collected by  Dr. James Legge, the famous translator of  the Chinese classics. This special collec­tion  is very rich in the Chinese classics  and their commentaries, and contains val­uable  manuscript concordances pr, epared  by Dr. Legge in the course of his monu­mental  translations. The library of Co­lumbia  University is now cataloging its  small but select collection of Chinese  books, which it hopes to expand into a  good Chinese reference library in the near  future. The Metropolitan Museum of New  York City has a good collection of works  on Chinese art; and the libraries of Har­vard  and Yale have some very valuable Chi­nese  works, but none of these collections  are as yet complete enough to be of more  than very limited service to the student  of Chinese books.  The Library of Congress has originated  and carried through a plan of classifying  Chinese books in accordance with Ch'ien  Lung's " Imperial catalog," using modern  library notations for the various classes.  Then, too, the works reprinted in the col­lectallea,  amounting to nearly 10,000 in all,  have been entered in the catalog in the  place they would occupy In the classifica­tion  if they were separate works. No other  Chinese library has so many collectanea  rendered accessible in this way. The re­sult  is a systematic shelf list of all the  Chinese works and reprints in the library,  some 12,000 in all. A photostat reproduc­tion  of the Chinese titles has been made  up in the form of a compact small folio  volume about an inch and a half thick, in­cluding  the outline of the classification  and forming a valuable guide to the col­lection.  The hundred thousand or so volumes of  Chinese works now in American libraries  ar- e only a small part of what should be  secured in order to give any adequate Idea  of tpe stupendous intellectual activity of  the greatest and oldest nation of the  Orient. Revolutions, political reorganiza-tion,  and the progress of western educa­tion  alike threaten the literary treasures  of China. If not purchased and stored  in our fireproof and wormproof libraries  many of them will be lost forever. The  quantity of Chinese books now being  thrown on the market is so large that no  single library can hope to buy more than  a tithe of what Is offered. It would seem  wise to follow here the old adage divide et  impera. Each purchasing library, after se­curing  such general works as needed for  its own special requirements, could spe­cialize  on some one field of Chinese liter­ature  and become the leader in that  branch. By a system of Inter- library loans,  based on a union catalog, it would be pos­sible  to pool the resources of the whole  country and thus accompllsh by united  effort what singly would be Impossible.  It should be remembered that so many Chi­nese  students are attending our leading  educational institutions that it Is easy to  secure expert help in the cataloging of  Chinese books now that a workable system  has been devised by the Library of Con­gress  to classify the Chinese works merely  by looking up the titles In the " Imperial  catalog."  Now, when the Chinese problem looms  large, would seem to be a good time to  learn something at first hand about China', s  history, her present needs, and her prob­able  future development. Besides the com­mercial  traveler and the missionary, we  need another class In Chinese affairs- the  scientifically trained scholar. We need a  band of such men who shall make acces­sible  for us the wonderful storehouses of  Chinese learning available In the printed  records. The effect of adequate investiga­tions  would be to arouse general Interest  In the political, social, moral, religious and  agricultural experiences of the most sta ·  ble nation on earth. It would become ap­parent  that we have as much to learn  from China as China has to learn from us. 							asm01880000010005001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/4	4	5.pdfpage	/wtswingle/image/5.pdfpage
Page 6																																	asm01880000010006001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/5	5	6.pdfpage	/wtswingle/image/6.pdfpage
Chinese books and libraries		Swingle, Walter T. (Walter Tennyson), 1871-1952		This article reviews the history of printing in China highlighting the vast quantity of literary works and historical records. The highlighted historical materials include many geographic treatises and gazetteers that have importance for agricultural research.  The review mentions that in contrast to the United States, the majority of Chinese literature is in large private libraries.  Swingle ends by describing library collections of Chinese works in the United States.	Reprint: Swingle, Walter T. 1917.  Article was a paper read before the American Library Association, Louisville Conference. Reprinted from the Proceedings.	China; Preservation books; Encyclopedias; Libraries; Printing			1917	1910-1920	Washington (D.C.)	6 pages	eng		University of Miami Libraries.  Special Collections.	Walter Tennyson Swingle Collection	ASM0188	Swingle Articles	Box No. 1; Folder No. 3; Folder Title: Ca - Cl			LMC; AL	physical description, genre		http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0188000001	Text						application/pdf										2010-02-22	2010-02-22	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/6	6	7.cpd	/wtswingle/supp/6/index.pdf
Page 1																											asm0188000002						asm01880000020001001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/7	7	8.pdfpage	/wtswingle/image/8.pdfpage
Page 2																										CHII ESE HISTORICAL SOURCES  THE Qinese have the longest and most continuous historical  Tecorc1s of any existing nation. Possibly the ancient Egyptians  might once have rivalled them, · but certainly no other people,  ancient or modern. From the sixth century before Christ until the  present time, historical records of unsurpassed completeness tell  the story of the greatest civilization of Asia.  01ina might very properly be called the paradise of the his­torian,  since for ages the leadership of the empire has been in:  the hands of men deeply grounded in the history of their country..  Confucius ( born B. c. 551) edited the Book of History ( Shu:  Ching), one of the five classics, covering the period from the twenty­fourth  to the eighth centuries B. C. l and himself wrote the Spring  and Autumn Annals ( Ch'un Ch'iu) , another of the five classics,  which details the principal events of his native state, Lu, from 722  to 484 B. C.  Ssu- ma Ch'ien ( born B. C. 145), the father of Chinese history  in the modern sense, wrote the Historical Record ( Shih Chi) cov­ering  the history of China from the earliest recorded times down  to 122 B. C., a period of more than three thousand years. 2 This  work has been the model for all subsequent official histories of the  Chinese dynasties', of which there are twenty- four, including the  Historical Record of Ssu- ma Ch'ien. The Dynastic Histories,  properly so called, begin with the Book of the Former Han by  1 The Book of History has been translated into English three times. The  first translation, by W. H. Medhurst, was published in Shanghai in 1846; the  second, by Dr. James Legge, was published by the Clarendon Press, Oxford,  in 1878. These two translations give also the original text in Chinese char­acters.  The third translation, by Walter G. Old, was completed in 1878. It was  reprinted later by John Lane ( New York) and Murray ( London).  There is also a French translation entitled Le ChO't-! liJ1{ J, etc., by Father  Gaubil, revised and corrected by De Guignes, and published in Paris in 1720.  Dr. Legge's translation contains in the prolegomena a translation of the  Annals of the Bamboo Books, an ancient record covering the period from the  oldest times down to B. c. 299.  2 The Shih Chi of Ssu- ma Ch'ien has been translated by the famous sinol­ogist  E. Chavannes, under the title Les Menloires Historiq1tliS de Se- ma Ts'ien,  tradnits et annotes par Edonard Chavannes, and published at Paris by  Ernest Leroux. Of the one hundred and thirty chapters, vols. I.- V., 1891- 1905,  with 3052 pages in all, covers chs. I.- XLVII. 	asm0188000002						asm01880000020002001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/8	8	9.pdfpage	/wtswingle/image/9.pdfpage
Page 3																										718 w. T. Swingle  Pan Ku ( completed after his death by his gifted sister, Pan  Chao), covering the period from B. C. 206 to A. D. 24.  The last of the twenty- four official Dynastic Histories to be  issued was the Ming History ( Ming Shih) by Chang Ting- yii  covering the period from 1368 to 1643 A. D., and submitted to the  emperor in 1742, just a century after the fall of the Ming dynasty.  Five years later, in 1747, the Twenty- Four Dynastic Histories of  China were issued in an uniform series of which Professor Herbert  Giles in his History of Chinese Literature says they" show a record  such as can be produced by no other country in the world".  Several other uniform series of the Dynastic Histories were  issued before this. During the Ming dynasty the Twenty- One  Dynastic Histories were published and still may be purchased in  China.  The Twenty- Four Dynastic Histories have been reprinted in  photographic facsimile by the Commercial Press, at Shanghai,  and so are obtainable without difficulty. This reprint is bound  in 711 volumes of the Chinese style.  The Dynastic Histories are very. voluminous and are rather  historical material than · histories in the Western sense. They con­tain,  in addition to a vast number of documents, biographies of  famous men and even notices of famous books published during  each dynasty. 3  It is a noteworthy proof of the stability of the civilization of  the Chinese and their high regard for historical accuracy that  official censors have for ages commented freely on every action  of the emperor and of the great governing boards of the central  government without any fear of punishment. These censors'  3 A good idea of the character and arrangement of the matter contained in a  dynastic history is given by Bretschneider's account of the Yiian Shih or official  record of the Mongol dynasty in his Mediaeval Researches. This work, like  Yule's famous edition of Marco Polo's travels ( see full citations at the end of  this article), gives a vivid picture of life in China at the end of the thirteenth and  beginning of the fourtl! enth centuries. It should be noted that in many ways the  contacts of Europeans with China were closer during the Yiian dynasty than at  any time before or since. Regular trade routes existed between Europe and  C'ina frequented not only by merchants but by adventurers, missionaries, scholars,  ,,, 11 envoys as well. The Mongol empire covered all eastern, central, and northern  Asia and extended far into Europe; the emperors were always ready to take into  their service talented Westerners such as Marco Polo. As a result of all this the  Great Khans of Cathay loomed large in the minds of contemporary Europeans and  their fame persisted long after the downfall of the Yiian dynasty, as witness the  efforts of Columbus shortly after reaching the New \; Yorld to send envoys to the  Great Khan a full century and a quarter after the accession of the Ming emperors  - in China! 	asm0188000002						asm01880000020003001											2009-05-18	2009-05-18	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/9	9	10.pdfpage	/wtswingle/image/10.pdfpage
