Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Barnacle boathouse and waterfront					Written on front: "92"	Barnacle (Miami, Florida); Munroe family; Coconut Grove (Miami, Florida) -- History; Coconut Grove (Miami, Florida) -- Pictorial works; Boathouses	Photographs		1892	1890-1900	Coconut Grove (Miami, Florida)	1 b&w photograph			University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 2			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150000680001001	Image		image/tiff				81207700 Bytes	5966	4536	2147905839	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150000680001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/0	0	798.jp2	/asm0015/image/798.jp2
Front of Kirk Munroe's house					Written on front: "Kirk front"; written on verso: "Kirk Munroe's front"; stamped on verso: "A. Munroe, Concord, Mass."	Munroe, Kirk, 1850-1930; Munroe family	Photographs				Coconut Grove (Miami, Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 3			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150001180001001	Image		image/tiff				81860544 Bytes	4533	6018	572190897	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150001180001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/1	1	566.jp2	/asm0015/image/566.jp2
Patty Munroe in front of House of Three Sisters					Written on verso: "Patty Munroe in front of House of Three Sisters"; "1928"	Munroe family; Munroe, Patty; Portrait photography	Photographs		1928	1920-1930		1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150007480001001	Image		image/tiff				13707960 Bytes	1682	2715	4077726532	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150007480001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/2	2	373.jp2	/asm0015/image/373.jp2
William M. Meigs					Written on verso: "Wm M. Meigs  Phila. Pa."		Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 14			ccg; jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005140001001	Image		image/tiff				20389712 Bytes	2023	3356	3253141181	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005140001001.tif		2009-10-22	2010-05-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/3	3	130.jp2	/asm0015/image/130.jp2
Geo. A. Pool					Written on verso: "Geo A Poole" and post card info	Antique and classic cars; Munroe family	Postcards					1 postcard	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 14			jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005170001001	Image		image/tiff				20687508 Bytes	3255	2116	2745256922	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005170001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/4	4	710.jp2	/asm0015/image/710.jp2
Letter to Com. Ralp M. Munroe from Fredk S. Morse regarding Brown Loan		Morse, Fredk S.				Munroe family	Correspondence		1909-08-24	1900-1910			eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					ccg			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150008750001001	Text		image/tiff				103033010 Bytes	5054	6534	2832990433	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150008750001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/5	5	980.jp2	/asm0015/image/980.jp2
Woman feeding dog						Munroe family; Dogs	Photographs								University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					ccg			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150010470001001	Image		image/tiff				16540932 Bytes	2683	2052	853645473	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150010470001001.tif		2009-10-22	2010-11-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/6	6	174.jp2	/asm0015/image/174.jp2
Smack in Bimini Harbor					Written on verso: "Smack in Bimini Harbor"	Munroe family; Boats and boating	Photographs				Bimini, Bahamas	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 10			ccg ; jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003670001001	Image		image/tiff				20121740 Bytes	2918	2296	3981111657	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003670001001.tif		2009-10-22	2010-11-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/7	7	891.jp2	/asm0015/image/891.jp2
Vineyard Haven					Imprinted on front: "T.A. Hine Photo."; written on verso: "Vineyard Haven", "12"		Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.9			jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003000001001	Image		image/tiff				23504400 Bytes	3576	2189	3850878397	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003000001001.tif		2009-10-22	2010-05-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/8	8	574.jp2	/asm0015/image/574.jp2
B.C. Davis					Written on verso: "Nov. 1927"; "B.C. Davis"	Munroe family	Photographs		1927-11	1920-1930		1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 14			ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005040001001	Image		image/tiff				8823380 Bytes	1450	2023	3975092984	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005040001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/9	9	91.jp2	/asm0015/image/91.jp2
Bimini, North & South, Utilis					Written on verso: "Bimini, North & South Utilis, "Could be Bahamas"	Bimini Islands (Bahamas); Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box 22			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150011300001001	Image		image/tiff				22230428 Bytes	3258	2272	3606883572	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150011300001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/10	10	706.jp2	/asm0015/image/706.jp2
Norris Cut					Written on verso: "Norris Cut 1887"	Beaches; Munroe family	Photographs		1887	1880-1890	Virginia	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 6			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002110001001	Image		image/tiff				26290490 Bytes	3610	2427	3600812385	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002110001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/11	11	167.jp2	/asm0015/image/167.jp2
View Of Wall Street sub-treasury in the distance					Printed on front: "View of Wall Street Sub-Treasury In The Distance", "204", publisher information		Postcards				New York	1 postcard	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 16			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150006330001001	Image		image/tiff				20493948 Bytes	3282	2079	82019989	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150006330001001.tif		2009-10-22	2010-05-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/12	12	766.jp2	/asm0015/image/766.jp2
