Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Letter from Marjory Stoneman Douglas to Governor Bob Graham, September 27, 1984		Douglas, Marjory Stoneman		Douglas greets Governor Graham with a reference to hearing his speech at the East Everglades Conference and argues that agriculture should not be allowed in the Everglades.		Land use; Agriculture; Wetland conservation; Graham, Bob, 1936-	Correspondence		1984-09-27	1980-1990	Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 24, Folder Title: East Everglades.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000070001001	image/tiff	23816.856 KB	5129	6638	0xB097748F	RGB	24 bit-color	600 dpi	asm00600000070001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/0	0	4.jp2	/asm0060/image/4.jp2
National Park Service news release: No lobstering in Everglades National Park		Tolle, Pat		Sportsmen are reminded that the Florida spiny lobster may no longer be taken from Everglades National Park waters as of March 17, 1980.		Spiny lobsters; Wetland conservation; Fishing; Environmental protection	Government publications	United States. National Park Service	1980	1980-1990	Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 25, Folder Title: Everglades National Park.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000180001001	image/tiff	11534.999 KB	4960	7946	0x7E75F07A	RGB	24 bit-color	600 dpi	asm00600000180001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/1	1	7.jp2	/asm0060/image/7.jp2
National Park Service news release, March 13, 1980: New fishing regulations for Everglades National Park		Tolle, Pat		Fishermen and boaters in Everglades National Park are reminded that new federal fishing regulations went into effect, limiting fishermen to 20 fish per person per day, no more than 10 of any one species. The regulations called for the elimination of commercial fishing in the park by December 31, 1985.		Fishing; Wetland conservation	Government publications	United States. National Park Service	1980	1980-1990		1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 25, Folder Title: Everglades National Park.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000190001001	image/tiff	11481.208 KB	4960	7901	0xEF88C257	RGB	24 bit-color	600 dpi	asm00600000190001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/2	2	8.jp2	/asm0060/image/8.jp2
Letter from Marjory Stoneman Douglas to Kathy Abrams with an attached letter by Nathaniel Pryor Reed, June 6, 1985		Douglas, Marjory Stoneman		Douglas decries the practice of farming in the Everglades and South Dade County. She writes in part, "We cannot sacrifice our water supply to any visionary claims to provide winter vegetables for the entire country. That fast-food chain, Burger King, is already buying all its tomatoes from Mexico. We should get all our winter vegetables from Mexico and thus keep the Mexicans at home on their vegetable farms."		Land use; Agriculture; Wetland conservation; Environmental protection	Correspondence		1985-06-08	1980-1990	Everglades (Florida)	2 typewritten leaves	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 24, Folder Title: East Everglades.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000050001001	image/tiff	22224.514 KB	5149	6638	0x2E3B6BC6	RGB	24 bit-color	600 dpi	asm00600000050001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/3	3	3.jp2	/asm0060/image/3.jp2
A program for the Florida Everglades		Graham, Bob, 1936-		Florida Governor Bob Graham issued this statement describing the importance of the Everglades and declaring it his goal to conserve and revitalize the wetlands.		Wetland conservation; Environmental protection	Government publications				Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 24, Folder Title: East Everglades.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000030001001	image/tiff	28319.896 KB	4288	5134	0xE3A4534A	RGB	24 bit-color	600 dpi	asm00600000030001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/4	4	1.jp2	/asm0060/image/1.jp2
Letter from Marjory Stoneman Douglas to unknown recipient, October 19, 1981		Douglas, Marjory Stoneman		Letter from Douglas on Friends of the Everglades stationery endorses the position of the  South Florida Water Management District in discouraging agriculture in the Everglades.		Land use; Agriculture; Wetland conservation; South Florida Water Management District (Florida)	Correspondence		1981-10-19	1980-1990	Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 24, Folder Title: East Everglades.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000080001001	image/tiff	25035.037 KB	5129	6638	0xBC5612A2	RGB	24 bit-color	600 dpi	asm00600000080001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/5	5	5.jp2	/asm0060/image/5.jp2
Letter from Arthur R. Marshall to Marjory Stoneman Douglas, January 4, 1974		Marshall, Arthur R., 1919-1985	Douglas, Marjory Stoneman	Environmental activist Arthur Marshall wrote this letter to advise raising the level of Lake Okeechobee in order to reduce the water shortage problems in South Florida.		Water-supply; Land use; Environmental protection	Correspondence		1974-01-04	1970-1980	Okeechobee Lake (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 23, Folder Title: Coalition for Water.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000140001001	image/tiff	20323.254 KB	5149	6658	0x79170245	RGB	24 bit-color	600 dpi	asm00600000140001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/6	6	6.jp2	/asm0060/image/6.jp2
To save the Everglades		Fascell, Dante B.		Florida state representative Dante Fascell describes how important it is to conserve and revitalize the Everglades.		Wetland conservation; Water-supply; Environmental protection	Government publications				Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 24, Folder Title: East Everglades.						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm00600000040001001	image/tiff	27911.476 KB	4288	5134	0x1E3B3AA9	RGB	24 bit-color	600 dpi	asm00600000040001001.tif		2008-06-09	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/7	7	2.jp2	/asm0060/image/2.jp2
Page 1																											asm0060000021						asm00600000210001001	image/tiff	10668.384 KB	5272	6778	0x9778E480	RGB	24 bit-color	600 dpi	asm00600000210001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/8	8	19.jp2	/asm0060/image/19.jp2
Page 2																											asm0060000021						asm00600000210002001	image/tiff	10219.431 KB	5272	6778	0xAB95443C	RGB	24 bit-color	600 dpi	asm00600000210002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/9	9	20.jp2	/asm0060/image/20.jp2
Letter from Dante Fascell to James Watt, April 6, 1982, concerning fishing in the Everglades		Fascell, Dante B.		Florida Representative Dante B. Fascell writes to Department of the Interior Secretary James Watt concerning the case of Organized Fishermen of Florida vs. the Department of the Interior. This case would reverse regulations set in 1980 which would phase out all commercial fishing in the Everglades National Park by 1985. Fascell points out the overwhelming public opinion that fishing should be banned in the Park and urges Watt to protect the Everglades.		Fishing; Land use; Environmental protection	Correspondence		1982-04-06	1980-1990	Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 25, Folder Title: Everglades Protection Association.						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0060000021	Text						image/tiff										2013-03-26	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/10	10	21.cpd	/asm0060/image/21.cpd
Page 1																											asm0060000022						asm00600000220001001	image/tiff	9888.374 KB	5242	6808	0xB7E8B475	RGB	24 bit-color	600 dpi	asm00600000220001001.tif		2013-03-26	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/11	11	22.jp2	/asm0060/image/22.jp2
Page 2																											asm0060000022						asm00600000220002001	image/tiff	9666.53 KB	5317	6778	0xD48CECDF	RGB	24 bit-color	600 dpi	asm00600000220002001.tif		2013-03-26	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/12	12	23.jp2	/asm0060/image/23.jp2
Letter from Governor Bob Graham to Marjory Stoneman Douglas regarding the restoration of the Everglades, September 2, 1983		Graham, Bob, 1936-		Letter from Governor Bob Graham to Marjory Stoneman Douglas, Deptember 2, 1983, regarding the restoration of the Everglades, the first step of which was to ensure that the Governing Board of the South Florida Water Management District be committed to the program. The SFWMD agreed to purchase the 50,000-acre "Aerojet" tract in the East Everglades, and to acquire 32,000 acres of wetlands adjacent to the Everglades National Park. Graham hopes that the District will begin to restore the Kissimmee River by early 1984.		Land use; South Florida Water Management District (Florida)	Correspondence		1983-09-02	1980-1990	Everglades (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 25, Folder Title: Everglades Restoration.						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0060000022	Text						image/tiff										2013-03-26	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/13	13	24.cpd	/asm0060/image/24.cpd
Page 1																											asm0060000023						asm00600000230001001	image/tiff	11635.692 KB	5242	6763	0x1010E44	RGB	24 bit-color	600 dpi	asm00600000230001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/14	14	25.jp2	/asm0060/image/25.jp2
Page 2																											asm0060000023						asm00600000230002001	image/tiff	9986.711 KB	5242	6763	0xFB109115	RGB	24 bit-color	600 dpi	asm00600000230002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/15	15	26.jp2	/asm0060/image/26.jp2
Letter from the United Methodist Women of the First United Methodist Church of Miami to Marjory Stoneman Douglas endorsing the restoration of the Kissimmee River, April 5, 1982		United Methodist Women (U.S.)		The United Methodist Women of the First United Methodist Church of Miami write to Marjory Stoneman Douglas endorsing the restoration of the Kissimmee River, thereby to restore the natural flow of sheet water and prevent salt water intrusion into the aquifer which provides Dade County's water. The letter contains the signatures of dozens of women.		Kissimmee River (Florida); Land use; Wetland conservation	Correspondence		1982-04-05	1980-1990	Kissimmee (Florida)	1 typewritten leaf	eng		University of Miami Libraries. Special Collections.	Marjory Stoneman Douglas Papers	ASM0060	Series II. Topical Files	Box No.: 25, Folder Title: Everglades Restoration.						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0060000023	Text						image/tiff										2013-03-26	2013-03-26	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/16	16	27.cpd	/asm0060/image/27.cpd
Page 1																											asm0060000012						asm00600000120001001	image/tiff	26003.373 KB	5149	6658	0x74398E48	RGB	24 bit-color	600 dpi	asm00600000120001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0060/id/17	17	28.jp2	/asm0060/image/28.jp2
