Title	Translated Title	Creator	Recipient	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Web Site	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000265						asm00750002650001001	image/tiff	12420.74 KB	5152	6643	0x61CC9E12	RGB	24-bit depth	600 dpi	asm00750002650001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/750	750	751.jp2	/asm0075/image/751.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000265						asm00750002650002001	image/tiff	11820.685 KB	5182	6673	0x5E463EEC	RGB	24-bit depth	600 dpi	asm00750002650002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/751	751	752.jp2	/asm0075/image/752.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000265						asm00750002650003001	image/tiff	11726.943 KB	7150	5711	0x8A22CC4B	RGB	24-bit depth	600 dpi	asm00750002650003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/752	752	753.jp2	/asm0075/image/753.jp2
Correspondence regarding purchase of lands south of Florida City and agriculture, drainage, and road construction to Key Largo		Ehrehart, J. H.	Ingraham, J. E. (James E.)	New York Central Railroad Company employee J.H. Ehrehart writes to Model Land Company president J.E. Ingraham asking whether he can purchase MLC lands at $5 an acre in order to build roads to Key Largo.		Land use; Roads	Commercial correspondence		1924-03-10	1924		3 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 41, Folder Title: Proposed drainage, road construction: Key Largo (Special file 1304).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000265	Text					asm0075000265	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/753	753	754.cpd	/asm0075/image/754.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296						asm00750002960001001	image/tiff	13704.355 KB	5260	7886	0xEEDE475C	RGB	24-bit depth	600 dpi	asm00750002960001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/754	754	755.jp2	/asm0075/image/755.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296						asm00750002960002001	image/tiff	12504.952 KB	5155	7886	0x6EB8676A	RGB	24-bit depth	600 dpi	asm00750002960002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/755	755	756.jp2	/asm0075/image/756.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296						asm00750002960003001	image/tiff	12675.712 KB	5155	7886	0x9F09B17F	RGB	24-bit depth	600 dpi	asm00750002960003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/756	756	757.jp2	/asm0075/image/757.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296						asm00750002960004001	image/tiff	12952.811 KB	5155	7886	0x5F00F933	RGB	24-bit depth	600 dpi	asm00750002960004001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/757	757	758.jp2	/asm0075/image/758.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296						asm00750002960005001	image/tiff	12085.59 KB	5155	7886	0x4E307EBD	RGB	24-bit depth	600 dpi	asm00750002960005001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/758	758	759.jp2	/asm0075/image/759.jp2
Memorandum of agreement concerning the appointment of Pepper and Potter to serve as sales agents for the Model Land Company		Model Land Company		Memorandum of agreement concerning the appointment of Pepper and Potter, Inc., to serve as sales agents for the Model Land Company. Written in pencil at the top: "This was not used - signed copy in Model Drawer in safe."		Pepper, Frank J., b. 1880; Potter, Burr S.; Model Land Company	Commercial correspondence		1929-04-01	1929	Florida. Miami-Dade county. Miami.	5 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 61, Folder Title: Pepper and Potter Agency (Special File 1684).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000296	Text					asm0075000296	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/759	759	760.cpd	/asm0075/image/760.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000228						asm00750002280001001	image/tiff	15933.2 KB	5242	6808	0x32D24293	RGB	24-bit depth	600 dpi	asm00750002280001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/760	760	761.jp2	/asm0075/image/761.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000228						asm00750002280002001	image/tiff	15860.662 KB	5242	6808	0x9DA1C2E2	RGB	24-bit depth	600 dpi	asm00750002280002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/761	761	762.jp2	/asm0075/image/762.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000228						asm00750002280003001	image/tiff	15151.469 KB	5242	6808	0xBD610462	RGB	24-bit depth	600 dpi	asm00750002280003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/762	762	763.jp2	/asm0075/image/763.jp2
Letter from P.L. Watson to F.S. Morse, June 6, 1917, regarding a survey of property east of Biscayne Bay		Watson, P. L.	Morse, Frederick S., 1859-1920	Surveyor Watson of Llewellyn Engineering Co. informs Frederick Morse of difficulties surveying an area of 3,250 acres east of Biscayne Bay. He theorizes that the original governmental survey of the township was "faked" rather than properly mapped. Watson proposes that his company undertake a survey of the whole township of Miami Beach as a service to the various parties interested in the division of its properties.		Land use	Commercial correspondence		1917-06-06	1917	Florida. Miami-Dade county. Miami Beach.	3 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 15, Folder Title: Quit claim deed: riparian rights, Cutler, 1917 (Special file 490).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000228	Text					asm0075000228	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/763	763	764.cpd	/asm0075/image/764.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000264						asm00750002640001001	image/tiff	11108.3 KB	5077	6613	0xA499B2D	RGB	24-bit depth	600 dpi	asm00750002640001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/764	764	765.jp2	/asm0075/image/765.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000264						asm00750002640002001	image/tiff	13598.644 KB	5197	6718	0xD53481EA	RGB	24-bit depth	600 dpi	asm00750002640002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/765	765	766.jp2	/asm0075/image/766.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000264						asm00750002640003001	image/tiff	13628.429 KB	5197	6718	0xF9FDF02F	RGB	24-bit depth	600 dpi	asm00750002640003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/766	766	767.jp2	/asm0075/image/767.jp2
Correspondence regarding purchase of lands south of Florida City and agriculture, drainage, and road construction to Key Largo		Ingraham, J. E. (James E.)	Pepper, Frank J., b. 1880; Potter, Burr S.	Two letters: one from New York Central Railroad Company employee J.H. Ehrehart to Model Land Company president J.E. Ingraham asking whether he can purchase MLC lands at $5 an acre in order to build roads to Key Largo, and one from Ingraham to MLC sales agents Pepper and Potter advising them that the lands are worth more like $25 an acre.		Land use; Roads	Commercial correspondence		1924-03-14	1924		2 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 41, Folder Title: Proposed drainage, road construction: Key Largo (Special file 1304).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000264	Text					asm0075000264	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/767	767	768.cpd	/asm0075/image/768.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440001001	image/tiff	16522.953 KB	5230	8487	0x157B551	RGB	24-bit depth	600 dpi	asm00750002440001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/768	768	769.jp2	/asm0075/image/769.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440002001	image/tiff	17091.187 KB	5245	8637	0xAE3AEF93	RGB	24-bit depth	600 dpi	asm00750002440002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/769	769	770.jp2	/asm0075/image/770.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440003001	image/tiff	16794.026 KB	5275	8637	0x1B8BC04F	RGB	24-bit depth	600 dpi	asm00750002440003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/770	770	771.jp2	/asm0075/image/771.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440004001	image/tiff	16549.759 KB	5275	8637	0x59EA34E7	RGB	24-bit depth	600 dpi	asm00750002440004001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/771	771	772.jp2	/asm0075/image/772.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440005001	image/tiff	16770.182 KB	5245	8637	0x4EA08B41	RGB	24-bit depth	600 dpi	asm00750002440005001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/772	772	773.jp2	/asm0075/image/773.jp2
Page 6																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440006001	image/tiff	16800.264 KB	5245	8637	0xAE775C3A	RGB	24-bit depth	600 dpi	asm00750002440006001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/773	773	774.jp2	/asm0075/image/774.jp2
Page 7																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440007001	image/tiff	16250.198 KB	5245	8637	0x3629A36C	RGB	24-bit depth	600 dpi	asm00750002440007001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/774	774	775.jp2	/asm0075/image/775.jp2
Page 8																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244						asm00750002440008001	image/tiff	16446.818 KB	5245	8637	0x23E857F5	RGB	24-bit depth	600 dpi	asm00750002440008001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/775	775	776.jp2	/asm0075/image/776.jp2
Contract between the Model Land Company and George Merrick concerning the sale of the Flagler Grove Property		Model Land Company	Merrick, George E.	Contract between the Model Land Company and George Merrick concerning the sale of the Flagler Grove property, which included the packing-house and side-track facilities of the Florida East Coast Railway Company, for $110,000.  The contract includes discussion of the planting of orange and grapefruit groves.		Land use; Agriculture; Florida East Coast Railway	Contracts		1920-10-25	1920	Florida. Miami-Dade county. Flagler Grove.	8 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 32, Folder Title: Sale: Flagler Grove Property to George Merrick, 1920-1925 (Special file 950).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000244	Text					asm0075000244	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/776	776	777.cpd	/asm0075/image/777.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000292						asm00750002920001001	image/tiff	11965.455 KB	5182	6643	0xC3EF9DCE	RGB	24-bit depth	600 dpi	asm00750002920001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/777	777	778.jp2	/asm0075/image/778.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000292						asm00750002920002001	image/tiff	13230.202 KB	5182	6643	0x6B6F462	RGB	24-bit depth	600 dpi	asm00750002920002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/778	778	779.jp2	/asm0075/image/779.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000292						asm00750002920003001	image/tiff	11086.034 KB	5182	6658	0x2A9F94EE	RGB	24-bit depth	600 dpi	asm00750002920003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/779	779	780.jp2	/asm0075/image/780.jp2
Letter from Coffrin to Bemis, June 28, 1927, concerning Royal Palm Hotel property		Coffrin, Milo O.	Bemis, H. E.	Model Land Company sales agent Milo Coffrin writes to H.E. Bemis, Vice-President of the Florida East Coast Railway Company, concerning "the property on the ground which the City of Miami wishes to acquire across the West end of the Royal Palm Hotel Property, for the purpose of extending Southeast Second Avenue across the River to connect with Brickell Avenue." Coffrin estimates that the land is worth $176,250, but offers to negotiate.		Land use; Streets	Commercial correspondence		1927-06-28	1927	Florida. Miami-Dade county. Miami.	3 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 61, Folder Title: Royal Palm Hotel (Special File 1678).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000292	Text					asm0075000292	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/780	780	781.cpd	/asm0075/image/781.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000262						asm00750002620001001	image/tiff	15119.873 KB	5152	6703	0xB80DCD7C	RGB	24-bit depth	600 dpi	asm00750002620001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/781	781	782.jp2	/asm0075/image/782.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000262						asm00750002620002001	image/tiff	15454.131 KB	5152	6703	0xED127F7	RGB	24-bit depth	600 dpi	asm00750002620002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/782	782	783.jp2	/asm0075/image/783.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000262						asm00750002620003001	image/tiff	15137.827 KB	5152	6703	0x3F184D71	RGB	24-bit depth	600 dpi	asm00750002620003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/783	783	784.jp2	/asm0075/image/784.jp2
Letter from Pepper to Ingraham, February 3, 1923, regarding a Norwegian colony in the Lake Worth District		Pepper, Frank J., b. 1880	Ingraham, James Edmundson, 1850-1924	Model Land Company sales agent Frank Pepper writes to president James Ingraham that a Mr. D. P. Council of Lake Worth and Boynton wishes to sell his property because the Drainage District taxes are too high, and that he has found a possible buyer, Alfred Minsos of Christiana, Norway, who desires the land to have Norwegian settlers build a colony of farmers there. Mr. Council plans to donate 40 acres to be developed into a community center, with houses, a store, a club-house, a fruit and vegetable packing shed, and a lighting plant. Council and Minsos request the Company to donate land on which they can build a rock road.		Land use	Commercial correspondence		1923-02-23	1923	Florida. West Palm Beach county.	3 typewritten leaves			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 39, Folder Title: Norwegian colony: Lake Worth District, 1923 (Special file 1257).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000262	Text					asm0075000262	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/784	784	785.cpd	/asm0075/image/785.cpd
