Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The Atlantis, Miami Beach		"The Atlantis Hotel * Pool * Cabana Club on the Ocean at 27th Street, Miami Beach, Florida. Dining room - Cocktail lounge - 150 rooms - Open year 'round." --Caption on verso.	The Atlantis was built by Art Deco architect L. Murray Dixon and was demolished in 1973. Inscription on verso. P1432.	Atlantis Hotel (Miami Beach, Fla.); Hotels; Swimming pools; Art deco (Architecture); Suntan; Bathing suits	Postcards	Colourpicture Publishers, Inc.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000400001001	Still Image	image/tiff	1023	685	0xB32B4646	24bit color	asm02990000400001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/593	593	633.jpg	/asm0299/image/633.jpg
Beautiful Point View from the clouds, Miami, Florida		Aerial view of the Point View residential complex.	R-83010.	Point View (Miami, Fla.)	Postcards;Aerial views	J. N. Chamberlain; CurtTeich and Co.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001770001001	Still Image	image/tiff	1023	679	0xF2212BC1	24bit color	asm02990001770001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/594	594	769.jpg	/asm0299/image/769.jpg
Miami's International Airport, gateway to Latin American countries		A City of Miami News Bureau photograph of Miami International Airport, showing the Pan American terminal and National Airlines planes. A few travelers walk between the main terminal entrance and the airplanes.	Inscription on verso: Genuine Curteich-Chicago "C. T. Photochrom" post card. 1C-P1519.	Miami International Airport; Airplanes; Airports; Pan American World Airways, Inc.	Postcards;Aerial views	Gulf Stream Card and Distributing Co.; Curt Teich and Co.			Florida	Miami-Dade county	Miami		1 color photograph	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000050001001	Still Image	image/tiff	1023	658	0x9AF2E27A	24bit color	asm02990000050001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/595	595	598.jpg	/asm0299/image/598.jpg
Roney Plaza Hotel and Roman Pools, Miami Beach, Florida		"The Roney-Plaza Hotel on Miami Beach overlooks the Atlantic Ocean and is a gathering place for the socially prominent during the winter season. As an added attraction for its bathers it has twin swimming pools, known as the Roman Pools of Salt Water." --Caption on verso.	14214N-113.	Roney Plaza Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture; Roman Pools (Miami Beach, Fla.)	Postcards;Aerial views	Pictorial Centre			Florida	Miami-dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001310001001	Still Image	image/tiff	1023	671	0x3C43C571	24bit color	asm02990001310001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/596	596	723.jpg	/asm0299/image/723.jpg
Coral Gables City Hall		"Coral Gables, Florida - The dramatic beauty of Coral Gables City Hall would be thoroughly at home in Seville, Spain which lent the inspiration for the lovely tower and bronze belfry. Much of 'The City Beautiful' carries this Mediterranean theme." --Caption on verso.	Coral Gables City Hall was designed in 1927 in the Mediterranean Revival style by local architect Phineas Paist and artistic advisor Denman Fink. The building is constructed largely of coral rock and features three stories made from limestone quarried from Venetian Pool, a classic tile roof, and three stage clock tower. It is listed on the National Register of Historic Places. 86351.	City Hall (Coral Gables, Fla.)	Postcards	Hannau-Robinson Color Productions, Inc.			Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002240001001	Still Image	image/tiff	1022	666	0xDB973777	24bit color	asm02990002240001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/597	597	813.jpg	/asm0299/image/813.jpg
Coral Gables Country Club, Coral Gables, Florida	Romer, Gleason Waite, 1887-1971	Flowering trees and palms in bloom around the Coral Gables Country Club.	Inscription on verso. Postmark: Jan 29, 1941. Genuine Curteich-Chicago "C. T. Art-Colortone" post card. L. 40.	Coral Gables Country Club; Country clubs	Postcards	Thomas R. West; Curt Teich and Co.		1940s	Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002810001001	Still Image	image/tiff	1023	656	0xC669B191	24bit color	asm02990002810001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/598	598	868.jpg	/asm0299/image/868.jpg
S. S. Florida		Aerial view of the S.S. Florida, a "fully air conditioned" member of the Nassau Cruises fleet, owned by the P. & O. Steamship Co., Miami.	"Tichnor quality views." 90445.	S.S. Florida (Steamship); Cruise ships	Postcards;Aerial views	Tichnor Bros., Inc.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000240001001	Still Image	image/tiff	1023	681	0x7EAAAE05	24bit color	asm02990000240001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/599	599	617.jpg	/asm0299/image/617.jpg
Ormond, Fla., Hotel Ormond from the Halifax River		Visitors in boats and canoes enjoy a good day on the Halifax River by the Ormond Hotel.	The first wing of the Ormond Hotel (originally called the Hotel Ormond) was built by John Anderson and Joseph Downing Price; it opened January 1, 1888. Price and Anderson sold it to Henry M. Flagler circa 1890; he added more rooms to it until it was the largest wooden structure in the United States. The building was located at 15 E. Granada Blvd. It was placed on the National Register of Historic Places on November 24, 1980. Six years later, the hotel was closed down as a fire hazard; it was demolished in 1992 and replaced by a condominium. Postmark: Mar 29, 1909.	Ormond Hotel (Ormond, Fla.); Boats and boating; Hotels	Postcards	Hugh C. Leighton Co.		1900s	Florida			Halifax River	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001980001001	Still Image	image/tiff	1023	662	0x3291B3A7	24bit color	asm02990001980001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/600	600	790.jpg	/asm0299/image/790.jpg
Hotels along Biscayne Boulevard from Bayfront Park, Miami, Florida		Beautifully landscaped lawns, flowerbeds, and royal palms adorn the neighborhood of hotels including the Mediterranean Revival-style McAllister (1916-1989), at 10 Biscayne Blvd., and the Columbus.	D26. 45176.	Color in architecture; Bayfront Park (Miami, Fla.); Parks; Hotels; Columbus Hotel (Miami, Fla.); McAllister Hotel (Miami, Fla.)	Postcards	Dade County Newsdealers Supply Co.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000330001001	Still Image	image/tiff	1023	699	0x95E77257	24bit color	asm02990000330001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/601	601	626.jpg	/asm0299/image/626.jpg
Bird's eye view of Biscayne Bay, Florida from First National Bank Building		Downtown buildings reveal Miami's unusual color scheme and antique automobiles.	"Magic City series." A-93762.	Central business districts; Color in architecture	Postcards;Aerial views	Curt Teich and Co.		1920s	Florida	Miami-Dade county		Biscayne Bay	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000110001001	Still Image	image/tiff	1023	675	0xCC0D901B	24bit color	asm02990000110001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/602	602	604.jpg	/asm0299/image/604.jpg
