Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	Full Text	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
First clubhouse					Written on verso: "Original photo of 1st Clubhouse c 1910"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Clubhouses	Photographs		1910	1910-1920		1 b&w photograph; 13.2 x 8.1 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000640001001	image/tiff		19071720 Bytes	3211	1978	3854700489	RGB	8	600	asm04000000640001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/0	0	54.jp2	/asm0400/image/54.jp2
Flora McFarlane's memorial pergola						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); McFarlane, Flora; Pergolas	Photographic postcards				Miami (Florida)	1 b&w photographic postcard; 13.7 x 8.7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000750001001	image/tiff		22675606 Bytes	3402	2220	316886886	RGB	8	600	asm04000000750001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/3	3	31.jp2	/asm0400/image/31.jp2
Mrs. Treat and the Housekeepers Club members sitting on grass					Written on verso: "[Mrs. TREAT?], [1/67?]"; Housekeepers Club is the original name of the Woman's Club of Coconut Grove	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Treat, F.E., Mrs.	Photographs					1 b&w photograph; 25.4 x 20.7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000810001001	image/tiff		96916508 Bytes	6284	5140	3136517114	RGB	8	600	asm04000000810001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/10	10	87.jp2	/asm0400/image/87.jp2
Oriental tea service from the pageant, "Trip around the world"					Imprint on front: "No 1084"; Written on verso: "Oriental Tea Service"; "TRIP AROUND THE WORLD, 1922"; "[COCONUT GROVE WOMAN'S CLUB]"; Stamped on verso: "The photo Shop 145 1-2 N.E. Second Street MIAMI, FLA Phone 6143"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930		1 b&w photograph; 24.5 x 19.4 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs : "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000940001001	image/tiff		89899894 Bytes	6071	4935	2777737540	RGB	8	600	asm04000000940001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/11	11	17.jp2	/asm0400/image/17.jp2
Ralph Munroe with a woman at Old Cutler Road						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Munroe, Ralph, 1851-1933	Photographs				Miami (Florida)	1 b&w photograph; 22.8 x 17.6 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000790001001	image/tiff		75029796 Bytes	5675	4406	2453963066	RGB	8	600	asm04000000790001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/12	12	8.jp2	/asm0400/image/8.jp2
Flora McFarlane, founder of the Housekeepers Club					Written on verso: "[Flora McFarlane ca 1890]"; Housekeepers Club is the original name of the Woman's Club of Coconut Grove	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); McFarlane, Flora	Photographs; Portrait photographs		1890	1890-1900		1 b&w photograph; 21.6 x 27.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000760001001	image/tiff		100309952 Bytes	4963	6736	1507898677	RGB	8	600	asm04000000760001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/14	14	50.jp2	/asm0400/image/50.jp2
Nellie Eckert, Pearl Potter, Teat Pent, Irvin Potter, Rev. Jernigan, Chas Frow, and Dick Peacock on a boat					Written on paper slip inserted by the club: "1st man Bobby Thompson or Ikey Perry, Mrs. Robert E. Lee, 2 Nellie Eckert, hidden Mrs. Pearl Potter, 3 Teat Pent (or Teet Pent), 4 Irvin Potter, 5 Rev. Jernigan (Nazarene Church), 6 Chas Frow, 7 Dick Peacock, no one seems to agree upon the first man, Ida Archer"; Written on verso: "Charlie Frow, __? Baby? Elley-Willuis Sturrup-Sturrup"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Eckert, Nellie; Potter, Pearl; Potter, Irvin; Pent, Teat; Jernigan, C. B. (Charles Brougher), 1863-1930; Frow, Chas; Peacock, Dick	Photographs					1 b&w photograph; 22.8 x 17.7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000680001001	image/tiff		73393064 Bytes	5646	4332	3152395919	RGB	8	600	asm04000000680001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/16	16	94.jp2	/asm0400/image/94.jp2
Coconut Drive, Miami Beach					Written on front: "Cocoanut Drive Miami"; Written on verso: "8"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Florida -- Tours; Miami Beach (Florida) -- Pictorial works; Picnics; Voyages and travels	Photographs		1915	1910-1920	Miami Beach (Florida)	1 b&w photograph; 12.1 x 7.5 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 8; Folder Title: Photographs: Miami Beach picnic trip, ca 1915						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000001410001001	image/tiff		17300216 Bytes	3013	1912	1148506246	RGB	8	600	asm04000001410001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/20	20	42.jp2	/asm0400/image/42.jp2
Housekeepers Club entry at Palm Fete Parade					Stamped on verso: "DEVINE & HAYNES Commercial Photographers 300 Second St., MIAMI, FLA"; Written on verso: "Housekeepers Club car loaned by Mr. Commers for the officers Miss Flora McFarlane President, Mrs. Clinkenbeard Vice-President, Mrs. Wade Secretary Mrs. Commers Treasurer. At the Parade in Miami Florida, January 12th 1915 First prize"; Housekeepers Club is the original name of the Woman's Club of Coconut Grove	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Parades	Photographs		1915-01-12	1910-1920	Miami (Florida)	1 b&w photograph; 25 x 19.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 3; Folder Title: Photographs: "Palm Fete" Parade 1915						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000860001001	image/tiff		89987060 Bytes	6148	4878	148684607	RGB	8	600	asm04000000860001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/22	22	66.jp2	/asm0400/image/66.jp2
Clubhouse		Crawford, A.			Written on verso: "House Keepers Club taken Feb 1923 By A.R. Crawford"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Clubhouses	Photographs		1923	1920-1930		1 b&w photograph; 11.6 x 6.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000660001001	image/tiff		15323948 Bytes	2860	1784	2626558530	RGB	8	600	asm04000000660001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/24	24	33.jp2	/asm0400/image/33.jp2
