Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											asm0491000004						asm04910000040001001		122718572 Bytes	5315	7695	4279405748	RGB	8	600	asm04910000040001001.tif		2012-12-18	2012-12-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/0	0	2.jp2	/asm0491/image/2.jp2
Page 2																											asm0491000004						asm04910000040002001		122585972 Bytes	5328	7668	3227257447	RGB	8	600	asm04910000040002001.tif		2012-12-18	2012-12-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/1	1	3.jp2	/asm0491/image/3.jp2
Juan Delgado letter to Lázaro Moreno de León, governor of Tenerife and La Palma		Delgado, Juan			Written from Lisbon.	Moreno de León, Lázaro; Canary Islands -- Politics and government; Spain -- Politics and government	Correspondence; Manuscripts;		1582-11-13	1580-1590	Canary Islands	2 leaves	spa		University of Miami Libraries. Special Collections	Canary Islands Collection	ASM0491		Box No. 1; Box Title: Letters and official documents			tat			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0491000004	Text						image/tiff										2013-05-02	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/2	2	4.cpd	/asm0491/supp/2/index.pdf
Page 1																											asm0491000018						asm04910000180001001		130723916 Bytes	5615	7759	2769527495	RGB	8	600	asm04910000180001001.tif		2013-01-03	2013-01-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/3	3	5.jp2	/asm0491/image/5.jp2
Page 2																											asm0491000018						asm04910000180002001		134768896 Bytes	5794	7752	2734389502	RGB	8	600	asm04910000180002001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/4	4	6.jp2	/asm0491/image/6.jp2
Page 3																											asm0491000018						asm04910000180003001		131235388 Bytes	5629	7770	783716175	RGB	8	600	asm04910000180003001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/5	5	7.jp2	/asm0491/image/7.jp2
Page 4																											asm0491000018						asm04910000180004001		133199564 Bytes	5728	7750	75458631	RGB	8	600	asm04910000180004001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/6	6	8.jp2	/asm0491/image/8.jp2
Page 5																											asm0491000018						asm04910000180005001		129797028 Bytes	5634	7678	1134584693	RGB	8	600	asm04910000180005001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/7	7	9.jp2	/asm0491/image/9.jp2
Page 6																											asm0491000018						asm04910000180006001		131286348 Bytes	5724	7644	1276831331	RGB	8	600	asm04910000180006001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/8	8	10.jp2	/asm0491/image/10.jp2
Page 7																											asm0491000018						asm04910000180007001		130496740 Bytes	5682	7654	2648003075	RGB	8	600	asm04910000180007001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/9	9	11.jp2	/asm0491/image/11.jp2
Page 8																											asm0491000018						asm04910000180008001		127324228 Bytes	5604	7572	1464720671	RGB	8	600	asm04910000180008001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/10	10	12.jp2	/asm0491/image/12.jp2
Page 9																											asm0491000018						asm04910000180009001		128293208 Bytes	5634	7589	2714203056	RGB	8	600	asm04910000180009001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/11	11	13.jp2	/asm0491/image/13.jp2
Page 10																											asm0491000018						asm04910000180010001		131630320 Bytes	5748	7632	197800430	RGB	8	600	asm04910000180010001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/12	12	14.jp2	/asm0491/image/14.jp2
Page 11																											asm0491000018						asm04910000180011001		128235100 Bytes	5610	7618	3808020836	RGB	8	600	asm04910000180011001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/13	13	15.jp2	/asm0491/image/15.jp2
Page 12																											asm0491000018						asm04910000180012001		130114736 Bytes	5664	7656	3554965050	RGB	8	600	asm04910000180012001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/14	14	16.jp2	/asm0491/image/16.jp2
Page 13																											asm0491000018						asm04910000180013001		129547460 Bytes	5660	7628	3695611099	RGB	8	600	asm04910000180013001.tif		2012-12-03	2012-12-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/15	15	17.jp2	/asm0491/image/17.jp2
Page 14																											asm0491000018						asm04910000180014001		128070276 Bytes	5583	7645	3652597197	RGB	8	600	asm04910000180014001.tif		2012-12-18	2012-12-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/16	16	18.jp2	/asm0491/image/18.jp2
Page 15																											asm0491000018						asm04910000180015001		127277324 Bytes	5599	7576	2298042432	RGB	8	600	asm04910000180015001.tif		2012-12-18	2012-12-18	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0491/id/17	17	19.jp2	/asm0491/image/19.jp2
