Title	Alternate Title	Photographer	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Drinking at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Lummus Park (Miami, Florida);	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000370001001	Image		image/tiff				84749444 Bytes	5972	4729	1666065809	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000370001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/0	0	91.jp2	/asm0530/image/91.jp2
Man at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000810001001	Image		image/tiff				84611780 Bytes	4754	5931	3517770690	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000810001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/1	1	76.jp2	/asm0530/image/76.jp2
Man at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000830001001	Image		image/tiff				85323860 Bytes	4794	5931	3485963526	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000830001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/2	2	30.jp2	/asm0530/image/30.jp2
Fancy room at Tip Top Hotel		Carlebach, Michael L.			Written on verso: "Fancy room at the Tip Top Hotel"; "72032C227"	Alcoholism; Florida; Photography, artistic; Photojournalism; Tip Top Hotel	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000400001001	Image		image/tiff				85523532 Bytes	4794	5945	3801003362	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000400001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3	3	60.jp2	/asm0530/image/60.jp2
Dade County stockade		Carlebach, Michael L.			Written on verso: "Dade County stockade"; "73387C126A"	Alcoholism; Florida; Photography, artistic; Photojournalism; Dade County (Florida). Alcohol Rehabilitation Program	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000210001001	Image		image/tiff				85952688 Bytes	5972	4796	2189866870	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000210001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/4	4	81.jp2	/asm0530/image/81.jp2
Mr. Ledbetter		Carlebach, Michael L.			Written on verso: "Mr. Ledbetter"; "Lummus Park"	Florida; Photography, artistic; Photojournalism; Alcoholism; Portrait photography; Lummus Park (Miami, Florida);	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000820001001	Image		image/tiff				85324216 Bytes	4794	5931	535592916	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000820001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/5	5	51.jp2	/asm0530/image/51.jp2
Men's room at Lummus Park		Carlebach, Michael L.			Written on verso: "Men's room at Lummus Park Miami"	Florida; Photography, artistic; Photojournalism; Restrooms; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000770001001	Image		image/tiff				85589012 Bytes	5952	4792	2962396974	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000770001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/6	6	34.jp2	/asm0530/image/34.jp2
Mr. Skin		Carlebach, Michael L.			Written on verso: "Mr. Skin- sells patches of himself for skin grafts"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000020001001	Image		image/tiff				85913220 Bytes	4794	5972	1751678915	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000020001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/7	7	46.jp2	/asm0530/image/46.jp2
Mr. Ledbetter		Carlebach, Michael L.			Written on verso: "Mr. Ledbetter, Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Portrait photography	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000260001001	Image		image/tiff				86178384 Bytes	4820	5958	4243486553	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000260001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/8	8	49.jp2	/asm0530/image/49.jp2
AA barracks, Dade County stockade		Carlebach, Michael L.			Written on verso: "AA barracks, Dade County stockade"; "73387C124A"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000520001001	Image		image/tiff				85524272 Bytes	4794	5945	230884604	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000520001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/9	9	23.jp2	/asm0530/image/23.jp2
