Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																										asm0570000011		asm05700000110001001								4917	5841	98317711	RGB	8	600	asm05700000110001001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/0	0	10.jp2	/asm0570/image/10.jp2
Page 2																										asm0570000011		asm05700000110002001								4925	5881	4160478207	RGB	8	600	asm05700000110002001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/1	1	11.jp2	/asm0570/image/11.jp2
Page 3																										asm0570000011		asm05700000110003001								4934	5865	117586430	RGB	8	600	asm05700000110003001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/2	2	12.jp2	/asm0570/image/12.jp2
Page 4																										asm0570000011		asm05700000110004001								4862	5889	2175612164	RGB	8	600	asm05700000110004001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/3	3	13.jp2	/asm0570/image/13.jp2
Page 5																										asm0570000011		asm05700000110005001								4886	5881	4077754611	RGB	16	600	asm05700000110005001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/4	4	14.jp2	/asm0570/image/14.jp2
Page 6																										asm0570000011		asm05700000110006001								4902	5857	2063861563	RGB	16	600	asm05700000110006001.tif		2011-05-02	2011-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/5	5	15.jp2	/asm0570/image/15.jp2
Letter from Richard Dale					This folder also contains an illustration of Richard Dale as well as newspaper clippings that include a short biography.	Letters; Dale, Richard, 1756-1826; Martinique	Correspondence		1793-07-09	1790-1800		1 letter, 6 pages	eng		University of Miami Libraries. Special Collections.	Caribbean Documents Collection	ASM0570		Box No. 1; Folder No. 11; Folder Title: Richard Dale 1756-1826 ALS -, 1793			jrn; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0570000011			Text	2011-03-12	image/tiff													2012-04-02	2012-04-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/6	6	16.cpd	/asm0570/supp/6/index.pdf
Page 1																										asm0570000029		asm05700000290001001								7694	4960	3053806054	RGB	8	600	asm05700000290001001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/7	7	17.jp2	/asm0570/image/17.jp2
Page 2																										asm0570000029		asm05700000290002001								7737	4993	467106208	RGB	8	600	asm05700000290002001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/8	8	18.jp2	/asm0570/image/18.jp2
Balance of account of the deceased, Justin Casamayor				This document shows balance due from the estate of Justinian Casmayor from 1820 to 1822		Finance; Accounting	Documents		1822-12-04	1820-1830		1 original document, 2 pages	eng		University of Miami Libraries. Special Collections.	Caribbean Documents Collection	ASM0570		Box No. 2; Folder No. 5; Folder Title: Account with late Justinian Casamayor balanced (c.1822), 1822			jrn; sr			http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0570000029			Text	2011-03-12	image/tiff													2012-04-02	2012-04-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/9	9	19.cpd	/asm0570/supp/9/index.pdf
Page 1																										asm0570000044		asm05700000440001001								9621	7762	296165355	RGB	8	600	asm05700000440001001.tif		2011-05-02	2011-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/10	10	20.jp2	/asm0570/image/20.jp2
Page 2																										asm0570000044		asm05700000440002001								4930	7704	3904422379	RGB	8	600	asm05700000440002001.tif		2011-03-12	2011-03-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0570/id/11	11	21.jp2	/asm0570/image/21.jp2
