Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Members of Iglesia de Florida (Church of Florida) in Sierpes					Item No. 199	Rivers; Central America; Church membership; Boats; Sierpe (Costa Rica)	Photographs				Sierpe (Costa Rica)	1 b&w photograph; 7 x 11.3 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001320001001	Image	2010-11-10	image/tiff				14440720 Bytes	2748	1749	3434405083	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001320001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/0	0	44.jp2	/chc0126/image/44.jp2
Construction of a concrete tank in Amapala, Honduras					Item No. 86; Amapala is a municipality in the Honduran department of Valle.	Amapala (Honduras); Water tanks; Construction workers; Construction projects	Photographs				Amapala (Honduras)	1 b&w photograph; 8.3 x 12.4 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000690001001	Image	2010-11-10	image/tiff				18302376 Bytes	3000	2031	3530604269	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000690001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/1	1	99.jp2	/chc0126/image/99.jp2
Construction site					Item No. 138	Construction projects; Rocks; Central America; Children	Photographs				Central America	1 b&w photograph; 6.4 x 9 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001150001001	Image	2010-11-10	image/tiff				9959672 Bytes	2158	1535	1362742758	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001150001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/2	2	49.jp2	/chc0126/image/49.jp2
View of a river in Central America					Item No. 220	Rivers; Central America; Trees; Canoes	Photographs				Central America	1 b&w photograph; 4.3 x 6.5 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001400001001	Image	2010-11-10	image/tiff				5196968 Bytes	1606	1074	478620991	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001400001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/3	3	62.jp2	/chc0126/image/62.jp2
Water intake in Amapala, Honduras					Item No. 92	Waterworks; Water-supply; Rivers; Amapala (Honduras)	Photographs				Amapala (Honduras)	1 b&w photograph; 6.3 x 11.2 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000740001001	Image	2010-11-10	image/tiff				13392436 Bytes	2706	1647	1815817529	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000740001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/4	4	53.jp2	/chc0126/image/53.jp2
View of houses in Stann Creek, Belize					Item No. 123	Dwellings; Stann Creek (Belize)	Photographs				Stann Creek (Belize)	1 b&w photograph; 8 x 12.1 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001030001001	Image	2010-11-10	image/tiff				17584704 Bytes	2996	1954	635213479	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001030001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/5	5	40.jp2	/chc0126/image/40.jp2
Vegetation blocking canal at Itambi, Brazil					Item No. 26; Written on verso: "Vegetation blocking canal at Itamby"	Rivers; Plants; Canals; Canoes; Itaboraí (Brazil); Itambi (Brazil)	Photographs				Itaboraí (Brazil)	1 b&w photograph; 4.4 x 6.7 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000280001001	Image	2010-11-10	image/tiff				5115480 Bytes	1609	1055	2647388532	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000280001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/6	6	126.jp2	/chc0126/image/126.jp2
Men standing on a sidewalk at Magé, Brazil					Item No. 32	Streets -- Brazil; Men; Trees; Dwellings; Magé (Brazil)	Photographs		1922-12-11	1920-1930	Magé (Brazil)	1 b&w photograph; 6.6 x 10.8 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000290001001	Image	2010-11-10	image/tiff				12398132 Bytes	2591	1592	1592832922	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000290001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/7	7	71.jp2	/chc0126/image/71.jp2
View of El Tigre Island in Amapala, Honduras					Item No. 95; Written on verso: "Amapala, Honduras, El Tigre Island, 31/III/1935"	Mountains; Valle (Honduras : Dept.); Volcanoes; Amapala (Honduras)	Photographs		1935-03-31	1930-1940	Amapala (Honduras)	1 b&w photograph; 5 x 6.8 cm.	eng		University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000770001001	Image	2010-11-10	image/tiff				6010404 Bytes	1650	1210	218012424	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000770001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/8	8	22.jp2	/chc0126/image/22.jp2
Statue in a park in Amapala, Honduras					Item No. 94; Written on verso: "Statue in a park in Amapala, Honduras	Amapala (Honduras); Statues; Parks	Photographs				Amapala (Honduras)	1 b&w photograph; 7 x 5 cm.	eng		University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000760001001	Image	2010-11-10	image/tiff				6353084 Bytes	1242	1699	1449090764	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000760001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/9	9	111.jp2	/chc0126/image/111.jp2
