Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage - Temporal	Coverage - Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											chc0184000130						chc01840001300001001		88738164 Bytes	4858	6087	2916703473	RGB	8	600	chc01840001300001001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/0	0	1.jp2	/chc0184/image/1.jp2
Page 2																											chc0184000130						chc01840001300002001		89393268 Bytes	4870	6117	3955132888	RGB	8	600	chc01840001300002001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/1	1	2.jp2	/chc0184/image/2.jp2
Nathanael Greene letter to Edward Spalding, March 12, 1823		Greene, Nathanael			Written on verso: "Nath. Greene, Matanzas, 11 & 12 uc 13th & ans 14 Mar 1823; Edward Spalding Esq., care of Mefs. Gutierrez & Morland, Merchants, Havanah"	Letters; Greene, Nathanael; Matanzas (Cuba); Spalding, Edward; Havana (Cuba); Gutierrez and Morland	Correspondence		1823-03-12	1820-1830	Matanzas (Cuba)	1 letter	eng		University of Miami Libraries. Cuban Heritage Collection.	Edward Spalding Papers	CHC0184		Box No. 1; Folder No. 5; Folder Title: Correspondence; Folder Date: 1823 - April 1st 1923						http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0184000130	Text	2012-02-03					image/tiff										2012-02-23	2012-02-23	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/2	2	3.cpd	/chc0184/image/3.cpd
Page 1																											chc0184000267						chc01840002670001001		87309164 Bytes	4918	5916	992864251	RGB	8	600	chc01840002670001001.tif		2012-02-23	2012-02-23	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/3	3	4.jp2	/chc0184/image/4.jp2
Page 2																											chc0184000267						chc01840002670002001		87148852 Bytes	4935	5885	2071749091	RGB	8	600	chc01840002670002001.tif		2012-02-23	2012-02-23	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/4	4	5.jp2	/chc0184/image/5.jp2
Ephraim Bowen letter to Edward Spalding, January 13, 1825		Bowen, Ephraim			Written on verso: "Ephraim Bowen, Prov. 13 Jany. u 1 & ans 5 Mar. 1825; Mr. Edward Spalding, merch, Matanzas, Cuba; Brig George, capt Monro via Havana; Bristol RI 26  Jany 1825. forwarded by Mr. mo obt Jl G. Walker Jun"	Letters; Bowen, Ephraim; Spalding, Edward; Providence (Rhode Island); Matanzas (Cuba)	Correspondence		1825-01-13	1820-1830	Providence (Rhode Island)	1 letter	eng		University of Miami Libraries. Cuban Heritage Collection.	Edward Spalding Papers	CHC0184		Box No. 1; Folder No. 8; Folder Title: Correspondence; Folder Date: 1825						http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0184000267	Text	2012-02-03					image/tiff										2012-02-23	2012-02-23	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/5	5	6.cpd	/chc0184/image/6.cpd
Page 1																											chc0184000330						chc01840003300001001		74434960 Bytes	5146	4820	3525114037	RGB	8	600	chc01840003300001001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/6	6	7.jp2	/chc0184/image/7.jp2
Page 2																											chc0184000330						chc01840003300002001		74930376 Bytes	4857	5141	536360778	RGB	8	600	chc01840003300002001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/7	7	8.jp2	/chc0184/image/8.jp2
Page 3																											chc0184000330						chc01840003300003001		88429380 Bytes	4879	6040	882683078	RGB	8	600	chc01840003300003001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/8	8	9.jp2	/chc0184/image/9.jp2
Page 4																											chc0184000330						chc01840003300004001		88814784 Bytes	4880	6065	3725637262	RGB	8	600	chc01840003300004001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/9	9	10.jp2	/chc0184/image/10.jp2
Page 5																											chc0184000330						chc01840003300005001		88565104 Bytes	6063	4868	1460149139	RGB	8	600	chc01840003300005001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/10	10	11.jp2	/chc0184/image/11.jp2
Page 6																											chc0184000330						chc01840003300006001		93253260 Bytes	5152	6032	1076562991	RGB	8	600	chc01840003300006001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/11	11	12.jp2	/chc0184/image/12.jp2
Page 7																											chc0184000330						chc01840003300007001		87726888 Bytes	4892	5976	1576152708	RGB	8	600	chc01840003300007001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/12	12	13.jp2	/chc0184/image/13.jp2
Page 8																											chc0184000330						chc01840003300008001		87363032 Bytes	5993	4858	1549003975	RGB	8	600	chc01840003300008001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/13	13	14.jp2	/chc0184/image/14.jp2
Page 9																											chc0184000330						chc01840003300009001		88232788 Bytes	4881	6024	3181515877	RGB	8	600	chc01840003300009001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/14	14	15.jp2	/chc0184/image/15.jp2
Page 10																											chc0184000330						chc01840003300010001		89614364 Bytes	6096	4899	515745016	RGB	8	600	chc01840003300010001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/15	15	16.jp2	/chc0184/image/16.jp2
Page 11																											chc0184000330						chc01840003300011001		87463904 Bytes	4926	5917	599691426	RGB	8	600	chc01840003300011001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/16	16	17.jp2	/chc0184/image/17.jp2
Page 12																											chc0184000330						chc01840003300012001		56232268 Bytes	5206	3599	1865682685	RGB	8	600	chc01840003300012001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/17	17	18.jp2	/chc0184/image/18.jp2
Page 13																											chc0184000330						chc01840003300013001		57421228 Bytes	3643	5252	2115063701	RGB	8	600	chc01840003300013001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/18	18	19.jp2	/chc0184/image/19.jp2
Page 14																											chc0184000330						chc01840003300014001		59514580 Bytes	3813	5201	795159455	RGB	8	600	chc01840003300014001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/19	19	20.jp2	/chc0184/image/20.jp2
