Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											chc0347000001						chc03470000010001001	image/tiff	15023.693 KB	5400	6792	0xCB775676	RGB	24-bit depth	600 dpi	chc03470000010001001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/243	243	244.jp2	/chc0347/image/244.jp2
Page 2																											chc0347000001						chc03470000010002001	image/tiff	13382.138 KB	5400	6792	0x98059B59	RGB	24-bit depth	600 dpi	chc03470000010002001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/244	244	245.jp2	/chc0347/image/245.jp2
Eduardo Abela letter to José María Chacón y Calvo, October 29, 1934		Abela, Eduardo		In this letter Eduardo Abela congratulates José María Chacón y Calvo on his appointment as Cuba's Director of Culture. Abela informs his friend of his desire to participate in a competition organized by the agency Chacón y Calvo directs to purchase works by Cuban artists which will form part of the permanent collection of the museum in Havana. Abela also mentions that the Secretary of Education, Jorge Mañach, asked him to purchase copies of classic art works in Italy and his need to obtain the appropriate funds to be able to carry on this assignment.		Abela, Eduardo; Chacón y Calvo, José María, 1893-1969; Mañach, Jorge, 1898-1961; Artists -- Cuba; Authors, Cuban -- 20th century -- Correspondence	Typescripts; Correspondence		1934-10-29	1930-1940	Milan (Italy)	1 letter, 2 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Historical & Literary Manuscripts Collection	CHC0347		Box No. 1; Folder No. 1; Folder Title: Abela, Eduardo.		Martínez Cuéllar, Juan Víctor	oxe; axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000001			EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A													2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/245	245	246.cpd	/chc0347/image/246.cpd
Page 1																											chc0347000002	Text					chc03470000020001001	image/tiff	6288.623 KB	3426	5183	0x67E62574	RGB	24-bit depth	600 dpi	chc03470000020001001.tif		2012-07-13	2012-07-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/246	246	247.jp2	/chc0347/image/247.jp2
Page 2																											chc0347000002	Text					chc03470000020002001	image/tiff	6803.39 KB	3426	5183	0x13D2D41D	RGB	24-bit depth	600 dpi	chc03470000020002001.tif		2012-07-13	2012-07-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/247	247	248.jp2	/chc0347/image/248.jp2
Page 3																											chc0347000002	Text					chc03470000020003001	image/tiff	6695.476 KB	3426	5183	0xBAD5BCC	RGB	24-bit depth	600 dpi	chc03470000020003001.tif		2012-07-13	2012-07-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/248	248	249.jp2	/chc0347/image/249.jp2
Page 4																											chc0347000002	Text					chc03470000020004001	image/tiff	5819.972 KB	3426	5183	0x5640AC9D	RGB	24-bit depth	600 dpi	chc03470000020004001.tif		2012-07-13	2012-07-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/249	249	250.jp2	/chc0347/image/250.jp2
Luis Estévez y Romero and his wife Marta Abreu de Estévez letter to Tomás Estrada Palma, December 31, 1907		Estévez y Romero, Luis, 1846-1909; Abreu y Arencibia, Marta, 1845-1909		In this letter Luis Estévez wishes Tomás Estrada Palma health and well-being for the new year. Estévez also mentions to his friend his preoccupation and pessimism about the morale in Cuba. His wife, Marta Abreu, a philanthropist and eminent citizen born in Santa Clara, Cuba, also writes a few lines to Estrada Palma and family wishing them success for the coming year.		Abreu y Arencibia, Marta, 1845-1909; Estévez y Romero, Luis, 1846-1909; Estrada Palma, Tomás, 1835-1908; Authors, Cuban -- 20th century -- Correspondence	Manuscripts; Correspondence		1907-12-31	1900-1910	Paris (France)	1 letter, 4 pages	spa		University of Miami Libraries. Cuban Heritage Collection.	Cuban Historical and Literary Manuscripts Collection	CHC0347		Box No. 1; Folder No. 2; Folder Title: Abreu de Estévez, Marta.		Martínez Cuéllar, Juan Víctor	mcz; axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000002	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A			image/tiff										2012-11-14	2012-11-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/250	250	251.cpd	/chc0347/image/251.cpd
Page 1																											chc0347000013						chc03470000130001001	image/tiff	8289.277 KB	5194	6756	0x4350F1D9	RGB	24-bit depth	600 dpi	chc03470000130001001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/251	251	252.jp2	/chc0347/image/252.jp2
Page 2																											chc0347000013						chc03470000130002001	image/tiff	7994.03 KB	5194	6756	0x712A9FCF	RGB	24-bit depth	600 dpi	chc03470000130002001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/252	252	253.jp2	/chc0347/image/253.jp2
Page 3																											chc0347000013						chc03470000130003001	image/tiff	2156.301 KB	3987	2281	0x2BC1BCD2	RGB	24-bit depth	600 dpi	chc03470000130003001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/253	253	254.jp2	/chc0347/image/254.jp2
Page 4																											chc0347000013						chc03470000130004001	image/tiff	2057.562 KB	3987	2281	0xB54C6CBC	RGB	24-bit depth	600 dpi	chc03470000130004001.tif		2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/254	254	255.jp2	/chc0347/image/255.jp2
Francisco Arredondo Morando letter to José Germán Miret, October 18, 1957		Arredondo Morando, Francisco		In this letter Francisco Arredondo Morando, mayor of Camagüey, writes to José Germán Miret, director of the Abraham Lincoln Library in Havana, Cuba. Arredondo tells Miret that he is gladly sending the patriotic books "Arpas y Clarines" and "El Lugareño y Otros Próceres", published by his office, so that they will become part of the holdings of the Abraham Lincoln Library.	Letterhead: "República de Cuba, Alcaldía Municipal de Camagüey [Camagüey's coat of arms]" appears at the top left of the first page. Embossed: "Alcaldía Municipal de Camagüey."	Miret, José Germán; Arredondo Morando, Francisco; Biblioteca Abraham Lincoln (Camagüey, Cuba); Mayors; Libraries -- Cuba; Camagüey (Cuba); Havana (Cuba)	Typescripts; Correspondence		1957-10-18	1950-1960	Camagüey (Cuba)	1 letter, 2 pages, 1 envelope	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Historical & Literary Manuscripts Collection	CHC0347		Box No. 1; Folder No. 13; Folder Title: Arredondo Morado, Francisco.	Varona, Lesbia Orta	Varona, Lesbia Orta	rml; axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000013			EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A													2012-07-12	2012-07-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/255	255	256.cpd	/chc0347/image/256.cpd
Page 1																											chc0347000004						chc03470000040001001	image/tiff	10007.333 KB	5221	6772	0xE732AAF5	RGB	24-bit depth	600 dpi	chc03470000040001001.tif		2012-11-14	2012-11-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/256	256	257.jp2	/chc0347/image/257.jp2
Page 2																											chc0347000004						chc03470000040002001	image/tiff	9418.584 KB	5221	6772	0x9B0446AC	RGB	24-bit depth	600 dpi	chc03470000040002001.tif		2012-11-14	2012-11-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/257	257	258.jp2	/chc0347/image/258.jp2
Page 3																											chc0347000004						chc03470000040003001	image/tiff	9459.797 KB	5221	6772	0xC389794C	RGB	24-bit depth	600 dpi	chc03470000040003001.tif		2012-11-14	2012-11-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0347/id/258	258	259.jp2	/chc0347/image/259.jp2
