Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Digital ID	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Jennings Cox		Mac Donald, Pirie			Written on front: "Pirie Mac Donald, Photographer-of-men, New York"; Written on verso: "Jennings Cox "Pica"	Cox, Jennings	Portrait photographs				New York, New York	1 b&w photograph; 22.8 x 15.2 cm.	eng		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 4; Folder Title: Ramsden de la Torre family; Folder Date: 1800s, 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840000880001001	Image	2010-06-04				image/tiff	60672776 Bytes	5470		311656954	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840000880001001.tif		2010-06-04	2011-02-03	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/0	0	44.jp2	/chc0484/image/44.jp2
Lucy Schumann Ramsden					Written on verso: "Momou"	Schumann, Lucy	Photographs					1 b&w photograph; 15 x 10 cm.			University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 2; Folder Title: Puig Family; Folder Date: 1913, 1917, 1925, 1940, 1962, 1990				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840000260001001	Image	2010-06-04				image/tiff	25864368 Bytes	3585		3359749595	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840000260001001.tif		2010-06-04	2011-02-03	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/1	1	99.jp2	/chc0484/image/99.jp2
Susana de la Torre					Written on verso: "Susana de la Torre vda. de Ramsden (cousin of Carlos de la Torre)	de la Torre, Susana; de la Torre de Ramsden, Susana	Portrait photographs					1 b&w photograph; 17.8 x 13 cm			University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 4; Folder Title: Ramsden de la Torre family; Folder Date: 1800s, 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840000940001001	Image	2010-06-04				image/tiff	40145636 Bytes	4250		2082870317	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840000940001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/2	2	49.jp2	/chc0484/image/49.jp2
Lucy Schumann, 1915						Schumann, Lucy	Photographic postcards; Postcards		1915-10-14	1910-1920		1 b&w photograph; 9 x 8.6 cm			University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 5; Folder Title: Schumann family; Folder Date: 1800s - 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840001050001001	Image	2010-06-04				image/tiff	13915864 Bytes	2196		3827530788	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840001050001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/3	3	62.jp2	/chc0484/image/62.jp2
Guillermo Schumann Poveda, father of Lucy Schumann		Argemi, Perez			Written on verso: "Guillermo Schumann Poveda, padre de Lucy Schumann Ramsden - murío en Stgo. de Cuba, Feb. 22 - 1898; murío de un ataque de apendicitis - su hija Lucy tenía solo 5 horas de nacida; Guillermo Schumann y Poveda esposo de Isabel Ramsden y de la Torre"	Schumann Poveda, Guillermo	Portrait photographs				Santiago de Cuba (Cuba)	1 b&w photograph; 16.5 x 10.7 cm.	spa		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 5; Folder Title: Schumann family; Folder Date: 1800s - 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840001110001001	Image	2010-06-04				image/tiff	31274880 Bytes	3990		2840718212	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840001110001001.tif		2010-06-04	2011-02-03	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/4	4	53.jp2	/chc0484/image/53.jp2
Isabel Ramsden with her son Freddy Schumann		Arango, M.L.			Written on verso: "Mamá y Freddy"	Ramsden, Isabel;  Schumann, Federico	Portrait photographs				Santiago de Cuba (Cuba)	1 b&w photograph; 18.3 x 13 cm.	spa		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 6; Folder Title: Schumann Ramsden family; Folder Date: 1918				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840001190001001	Image	2010-06-04				image/tiff	40627760 Bytes	4348		499061175	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840001190001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/5	5	40.jp2	/chc0484/image/40.jp2
Carmen Puig dressed for a costume ball		Larreño			Written on front: "Larreño"; Written on verso: "Carmen Puig, baile de disfraz gitana, Cuba"	Puig, Carmen	Portrait photographs				Cuba	1 color photograph; 25.7 x 19.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 1; Folder Title: Carmen Puig Portraits; Folder Date: 1923, 1934				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840000050001001	Image	2010-06-04				image/tiff	79444616 Bytes	5920		3147531909	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840000050001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/6	6	71.jp2	/chc0484/image/71.jp2
Susana de la Torre					Written on verso: "Susana de la Torre y Soler casada con Frederick W. Ramsden. Murió a los 102 años en Santiago de Cuba"	de la Torre, Susana; de la Torre de Ramsden, Susana	Portrait photographs					1 b&w photograph; 16.8 x 11.9 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 5; Folder Title: Schumann family; Folder Date: 1800s - 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840001020001001	Image	2010-06-04				image/tiff	61326438 Bytes	4866		400214216	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840001020001001.tif		2010-06-04	2011-02-03	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/7	7	22.jp2	/chc0484/image/22.jp2
Susana de la Torre de Ramsden					Written on verso: "Susana de la Torre"	de la Torre, Susana; de la Torre de Ramsden, Susana	Portrait photographs					1 b&w photograph; 10.6 x 6.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 3; Folder Title: Ramsden Family; Folder Date: 1800s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840000480001001	Image	2010-06-04				image/tiff	11590796 Bytes	2529		3382477529	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840000480001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/8	8	43.jp2	/chc0484/image/43.jp2
Lucy Schumann, 1917					Written on front: "Just a little love, a little kiss - Lucy, 11-1-1917"	Schumann, Lucy	Portrait photographs		1917-11-01	1910-1920		1 b&w photograph; 20.3 x 15.6 cm.	eng		University of Miami Libraries. Cuban Heritage Collection.	Carmen Puig Papers	CHC0484	Series I: Photographs and Postcards	Box No. 1; Folder No. 5; Folder Title: Schumann family; Folder Date: 1800s - 1900s				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04840001120001001	Image	2010-06-04				image/tiff	53365216 Bytes	4849		3502100016	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc04840001120001001.tif		2010-06-04	2010-10-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0484/id/9	9	86.jp2	/chc0484/image/86.jp2
